date,rno,rname,nichime,kimarite,wdir,wspd,santan,payout,ninki,win_course,win_teiban,zenzuke
2025-08-14,9,予選,1,逃げ,無,0,1-2-4,1140,2,1,1,0
2025-08-14,10,予選特別,1,逃げ,南東,2,1-3-2,700,1,1,1,0
2025-08-14,11,予選特別,1,逃げ,南東,3,1-2-3,890,2,1,1,0
2025-08-14,12,ウインビー選,1,逃げ,南東,1,1-3-5,6210,21,1,1,0
2025-08-15,1,予選,2,まくり,無,0,3-4-5,1440,3,3,3,0
2025-08-15,2,予選,2,抜き,南東,1,2-1-5,6530,25,2,2,0
2025-08-15,3,予選,2,抜き,無,0,5-6-3,5730,23,5,5,0
2025-08-15,4,予選,2,まくり,南東,1,5-1-6,2800,8,4,5,0
2025-08-15,5,ウインウイン,2,差し,南東,3,3-4-2,8030,30,3,3,0
2025-08-15,6,予選,2,逃げ,南,1,1-2-6,10990,32,1,1,0
2025-08-15,7,ウインウイン,2,抜き,南,2,2-1-4,8430,24,2,2,0
2025-08-15,8,予選,2,まくり,南,2,3-1-2,9610,39,3,3,0
2025-08-15,9,予選,2,逃げ,南西,3,1-2-5,500,1,1,1,0
2025-08-15,10,予選特別,2,差し,南,3,4-2-5,91690,96,4,4,0
2025-08-15,11,予選特別,2,まくり,南西,4,6-2-1,5890,19,6,6,0
2025-08-15,12,記者選抜戦,2,逃げ,南西,4,1-6-3,2840,12,1,1,0
2025-08-16,1,予選,3,差し,無,0,4-1-5,44410,93,4,4,0
2025-08-16,2,予選,3,抜き,南東,1,3-2-4,4790,16,3,3,0
2025-08-16,3,予選,3,差し,南東,2,2-1-6,3590,13,2,2,0
2025-08-16,4,予選,3,逃げ,南西,2,1-5-2,14780,52,1,1,0
2025-08-16,5,ウインウイン,3,まくり差し,東,4,4-1-5,1030,3,4,4,0
2025-08-16,6,予選,3,差し,東,3,2-3-6,2990,9,2,2,0
2025-08-16,7,ウインウイン,3,逃げ,東,3,1-2-5,710,1,1,1,0
2025-08-16,8,予選,3,逃げ,東,2,1-4-5,14250,57,1,1,0
2025-08-16,9,予選,3,まくり差し,東,3,6-4-3,4270,22,5,6,0
2025-08-16,10,予選特別,3,逃げ,東,2,1-2-4,770,1,1,1,0
2025-08-16,11,予選特別,3,逃げ,南,1,1-4-5,1380,5,1,1,0
2025-08-16,12,記者選抜戦,3,逃げ,南西,2,1-5-3,850,2,1,1,0
2025-08-17,1,予選,4,まくり,無,0,2-3-4,9010,38,2,2,0
2025-08-17,2,予選,4,まくり差し,無,0,5-2-6,1690,3,5,5,0
2025-08-17,3,予選,4,差し,無,0,3-2-4,1830,4,3,3,0
2025-08-17,4,予選,4,差し,無,0,2-1-5,4480,19,2,2,0
2025-08-17,5,ウインウイン,4,逃げ,無,0,1-4-6,2370,11,1,1,0
2025-08-17,6,予選,4,差し,南東,2,4-5-2,5350,21,4,4,0
2025-08-17,7,ウインウイン,4,逃げ,南西,1,1-4-5,930,4,1,1,0
2025-08-17,8,予選,4,差し,無,0,2-1-5,1850,6,2,2,0
2025-08-17,9,予選,4,差し,南,2,4-1-3,3560,13,4,4,0
2025-08-17,10,予選特別,4,まくり,南東,3,3-4-5,25580,56,3,3,0
2025-08-17,11,予選特別,4,逃げ,南東,3,1-6-2,3080,9,1,1,0
2025-08-17,12,記者選抜戦,4,まくり,南,3,5-1-6,7630,21,5,5,0
2025-08-18,1,一般戦,5,まくり,東,1,5-1-2,16380,49,5,5,0
2025-08-18,2,一般戦,5,逃げ,南西,1,1-3-2,3070,8,1,1,0
2025-08-18,3,一般戦,5,差し,南東,3,2-1-6,1060,2,2,2,0
2025-08-18,4,一般戦,5,まくり,南東,2,3-1-5,1270,2,3,3,0
2025-08-18,5,ウインウイン,5,まくり,無,0,4-5-1,4300,19,4,4,0
2025-08-18,6,一般戦,5,逃げ,無,0,1-3-2,900,3,1,1,0
2025-08-18,7,ウインウイン,5,逃げ,南東,1,1-2-3,600,2,1,1,0
2025-08-18,8,一般戦,5,まくり,北東,3,5-2-1,4080,14,5,5,0
2025-08-18,9,一般戦,5,まくり,東,3,4-2-6,23120,46,4,4,0
2025-08-18,10,準優勝戦,5,逃げ,東,6,1-2-5,2310,7,1,1,0
2025-08-18,11,準優勝戦,5,逃げ,東,6,1-5-4,15810,37,1,1,0
2025-08-18,12,準優勝戦,5,まくり,西,4,3-1-2,7860,23,3,3,0
2025-08-19,1,一般戦,6,抜き,南東,1,2-1-5,3980,17,2,2,0
2025-08-19,2,一般戦,6,抜き,無,0,2-4-3,10710,30,2,2,0
2025-08-19,3,一般戦,6,逃げ,無,0,1-4-2,1210,2,1,1,0
2025-08-19,4,一般戦,6,逃げ,無,0,1-2-3,430,1,1,1,0
2025-08-19,5,ウインウイン,6,逃げ,無,0,1-4-3,1040,2,1,1,0
2025-08-19,6,一般戦,6,まくり,無,0,2-4-5,3140,11,2,2,0
2025-08-19,7,ウインウイン,6,逃げ,南西,1,1-4-2,2420,10,1,1,0
2025-08-19,8,一般戦,6,逃げ,南,1,1-3-2,1330,3,1,1,0
2025-08-19,9,一般戦,6,逃げ,南,3,1-5-3,3200,11,1,1,0
2025-08-19,10,特別選抜戦,6,まくり差し,南,3,3-1-4,3220,13,3,3,0
2025-08-19,11,特別選抜戦,6,逃げ,南西,3,1-2-3,560,2,1,1,0
2025-08-19,12,優勝戦,6,逃げ,南東,1,1-5-4,3610,15,1,1,0
2025-08-22,1,予選,1,抜き,東,2,2-5-6,11030,53,2,2,0
2025-08-22,2,予選,1,まくり,無,0,6-2-3,2090,7,2,6,1
2025-08-22,3,予選,1,まくり,無,0,4-2-5,11180,52,4,4,0
2025-08-22,4,予選,1,逃げ,無,0,1-4-6,7310,33,1,1,0
2025-08-22,5,ウインウイン,1,まくり,北東,1,4-1-2,1360,4,4,4,0
2025-08-22,6,予選,1,逃げ,無,0,1-4-3,1700,2,1,1,0
