ym,touban,tot_n,tot_top3,c1n,c1w,c4n,c4w,c4mk,c4st_sum,c4st_n,c6n,c6w2,c6w3,c6st_sum,c6st_n,t4n,t4mk,t6n,t6_23
2025-07,3539,9,1,1,0,2,0,0,0.41,2,0,0,0,0,0,0,0,0,0
2025-07,3541,12,6,2,1,2,0,0,0.2,2,2,1,0,0.26,2,0,0,0,0
2025-07,3542,7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3546,12,3,1,1,2,0,0,0.38,2,2,0,0,0.28,2,0,0,0,0
2025-07,3548,8,6,1,1,2,1,0,0.11,2,1,0,1,0.26,1,0,0,0,0
2025-07,3550,10,6,2,2,1,0,0,0.19,1,1,0,0,0.1,1,0,0,0,0
2025-07,3551,4,4,1,0,1,0,0,0.21,1,0,0,0,0,0,0,0,0,0
2025-07,3554,10,9,4,3,3,1,1,0.63,3,0,0,0,0,0,0,0,0,0
2025-07,3556,9,6,3,2,3,0,0,0.37,3,1,0,1,0.06,1,0,0,0,0
2025-07,3557,7,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3558,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3562,11,7,2,1,3,0,0,0.31,3,1,0,0,0.14,1,0,0,0,0
2025-07,3563,10,4,1,0,2,1,1,0.39,2,0,0,0,0,0,0,0,0,0
2025-07,3566,9,3,1,0,2,0,0,0.3,2,1,0,0,0.18,1,0,0,0,0
2025-07,3567,9,3,2,0,2,0,0,0.23,2,1,0,0,0.1,1,0,0,0,0
2025-07,3568,10,7,1,0,3,1,1,0.37,3,0,0,0,0,0,0,0,0,0
2025-07,3572,8,4,1,1,1,0,0,0.14,1,2,0,0,0.77,2,0,0,0,0
2025-07,3574,10,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3577,10,7,1,0,2,0,0,0.33,2,1,0,0,0.2,1,0,0,0,0
2025-07,3578,10,5,2,0,3,1,1,0.59,3,1,0,0,0.17,1,0,0,0,0
2025-07,3579,5,3,1,1,0,0,0,0,0,1,0,0,0.21,1,0,0,0,0
2025-07,3580,10,7,3,2,2,0,0,0.33,2,1,0,0,0.14,1,2,0,1,0
2025-07,3581,9,7,1,1,2,0,0,0.34,2,0,0,0,0,0,0,0,0,0
2025-07,3582,10,9,2,2,1,1,1,0.15,1,0,0,0,0,0,0,0,0,0
2025-07,3584,9,3,1,0,1,0,0,0.18,1,1,0,0,0.22,1,0,0,0,0
2025-07,3587,10,6,2,2,2,1,1,0.19,2,1,0,0,0.18,1,0,0,0,0
2025-07,3589,9,5,1,0,1,0,0,0.12,1,1,0,0,0.11,1,0,0,0,0
2025-07,3590,12,7,2,2,2,1,0,0.28,2,2,0,1,0.33,2,0,0,0,0
2025-07,3591,8,0,1,0,2,0,0,0.54,2,1,0,0,0.15,1,0,0,0,0
2025-07,3602,6,2,1,1,1,0,0,0.14,1,1,0,0,0.18,1,0,0,0,0
2025-07,3604,4,2,1,0,0,0,0,0,0,1,0,0,0.21,1,0,0,0,0
2025-07,3605,8,4,2,1,0,0,0,0,0,1,0,0,0.13,1,0,0,0,0
2025-07,3606,5,2,1,1,1,0,0,0.23,1,1,0,0,0.22,1,0,0,0,0
2025-07,3611,6,2,1,0,1,0,0,0.06,1,0,0,0,0,0,0,0,0,0
2025-07,3612,9,2,2,0,2,0,0,0.29,2,0,0,0,0,0,0,0,0,0
2025-07,3613,9,4,2,1,0,0,0,0,0,1,0,0,0.11,1,0,0,0,0
2025-07,3614,5,1,0,0,2,0,0,0.27,2,1,0,0,0.13,1,0,0,0,0
2025-07,3615,6,5,1,0,1,0,0,0.07,1,0,0,0,0,0,0,0,0,0
2025-07,3617,5,0,0,0,1,0,0,0.04,1,2,0,0,0.55,2,0,0,0,0
2025-07,3618,4,2,1,0,1,1,1,0.1,1,1,0,0,0.17,1,0,0,0,0
2025-07,3619,2,2,0,0,1,0,0,0.13,1,0,0,0,0,0,0,0,0,0
2025-07,3621,5,0,1,0,0,0,0,0,0,1,0,0,0.18,1,0,0,0,0
2025-07,3623,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-07,3627,6,2,2,0,0,0,0,0,0,1,0,0,0.27,1,0,0,0,0
