登番,選手名,地力3連対,全国6走,実6_2着率,実6_3着率,実6_2_3,期待6_2_3,残し残差,補正2着率,全国6ST,当地6走,当地6_2_3
4520,高倉孝太,55.1,32,6.2,9.4,15.6,24.2,-5.9,6.7,0.135,2,0.0
5042,畑田汰一,64.2,28,10.7,14.3,25.0,34.0,-5.9,10.9,0.172,7,28.6
3842,星野太郎,45.1,25,0.0,8.0,8.0,17.6,-6.0,1.9,0.236,1,0.0
3863,海老澤泰行,38.3,27,3.7,3.7,7.4,16.8,-6.0,4.1,0.208,2,50.0
5261,岡暢祐,35.4,27,0.0,3.7,3.7,13.0,-6.0,1.4,0.207,1,0.0
3568,木村光宏,39.3,18,5.6,0.0,5.6,16.8,-6.1,5.2,0.171,0,
4182,吉田和仁,45.8,34,0.0,8.8,8.8,17.6,-6.1,1.6,0.248,1,0.0
4274,長畑友輔,44.2,34,2.9,5.9,8.8,17.6,-6.1,3.6,0.176,3,0.0
4365,盛本真輔,56.9,38,0.0,15.8,15.8,24.2,-6.1,2.1,0.215,2,0.0
5145,島川海輝,60.1,44,9.1,11.4,20.5,28.6,-6.1,9.0,0.171,2,50.0
3684,清水攻二,58.8,31,3.2,16.1,19.4,28.6,-6.2,5.0,0.244,1,0.0
3741,松尾基成,24.2,21,0.0,0.0,0.0,10.7,-6.2,1.5,0.216,2,0.0
4246,喜多那由夏,37.1,28,0.0,3.6,3.6,13.0,-6.2,1.3,0.178,2,0.0
4474,渡辺崇,49.6,31,6.5,6.5,12.9,22.1,-6.2,6.5,0.229,2,0.0
4789,古賀智之,55.8,33,9.1,6.1,15.2,24.2,-6.2,8.6,0.198,3,33.3
4903,吉田凌太朗,67.8,42,4.8,23.8,28.6,37.0,-6.2,7.0,0.173,4,25.0
4982,中村将隆,52.1,31,3.2,9.7,12.9,22.1,-6.2,4.3,0.19,1,0.0
5144,中尾彩香,48.0,31,3.2,9.7,12.9,22.1,-6.2,4.3,0.168,0,
5270,小玉啓太,42.3,37,0.0,8.1,8.1,16.8,-6.2,1.4,0.205,0,
5274,城間盛渚,48.1,31,3.2,9.7,12.9,22.1,-6.2,4.3,0.183,0,
3572,安田政彦,46.2,26,3.8,3.8,7.7,17.6,-6.3,4.3,0.216,5,0.0
3617,竹田広樹,30.8,22,0.0,0.0,0.0,10.6,-6.3,1.1,0.195,0,
3708,岡部貴司,46.0,35,2.9,5.7,8.6,17.6,-6.3,3.5,0.162,1,0.0
3831,安藤裕貴,42.5,28,3.6,3.6,7.1,16.8,-6.3,4.0,0.217,1,0.0
3976,内田圭,32.7,29,3.4,0.0,3.4,13.0,-6.3,3.6,0.198,1,0.0
3885,久田武,51.4,38,2.6,10.5,13.2,22.1,-6.4,3.8,0.214,1,0.0
4208,三浦永理,70.6,39,12.8,15.4,28.2,37.0,-6.4,13.0,0.154,0,
3353,前田光昭,23.6,22,0.0,0.0,0.0,10.7,-6.4,1.4,0.165,1,0.0
3497,後藤浩,41.4,29,0.0,6.9,6.9,16.8,-6.5,1.6,0.181,3,33.3
3866,木山誠一,41.4,29,3.4,3.4,6.9,16.8,-6.5,3.9,0.183,0,
4047,吉永浩則,34.5,30,0.0,3.3,3.3,13.0,-6.5,1.3,0.217,2,0.0
4765,野田部宏子,41.2,29,0.0,6.9,6.9,16.8,-6.5,1.6,0.124,0,
4842,山下昂大,57.9,45,6.7,13.3,20.0,28.6,-6.5,7.2,0.182,0,
5078,山川波乙,39.8,29,3.4,3.4,6.9,16.8,-6.5,3.9,0.212,0,
3953,志道吉和,23.3,24,0.0,0.0,0.0,10.7,-6.6,1.4,0.257,0,
4025,山本隆幸,71.0,23,13.0,13.0,26.1,37.0,-6.6,13.2,0.17,0,
