登番,選手名,地力3連対,全国4走,実4まくり率,期待まくり率,まくり力,実4_1着率,全国4ST,当地4走,当地4まくり率
4825,倉持莉々,67.3,35,17.1,11.0,4.3,20.0,0.136,3,33.3
5145,島川海輝,60.1,40,15.0,9.1,4.3,20.0,0.145,2,0.0
4313,西村美智子,57.5,25,16.0,9.1,4.3,24.0,0.132,2,0.0
3716,石渡鉄兵,57.4,41,14.6,8.8,4.2,17.1,0.139,3,0.0
3872,岡田憲行,57.1,41,14.6,8.8,4.2,14.6,0.184,0,
4028,田村隆信,55.3,41,14.6,8.8,4.2,17.1,0.168,2,50.0
4156,浜野孝志,56.9,49,14.3,8.8,4.2,16.3,0.15,0,
4286,平田さやか,55.1,49,14.3,8.8,4.2,20.4,0.15,0,
4705,吉川勇作,28.7,32,9.4,3.2,4.2,12.5,0.156,0,
4750,井上尚悟,45.8,41,12.2,6.5,4.2,17.1,0.171,4,25.0
3475,橋本久和,48.0,31,12.9,6.6,4.2,16.1,0.162,3,0.0
3556,田中信一郎,69.7,38,18.4,12.8,4.1,21.1,0.141,2,50.0
4025,山本隆幸,71.2,32,18.8,12.8,4.1,21.9,0.175,0,
4675,井手良太,52.9,26,15.4,8.8,4.1,19.2,0.127,1,0.0
4754,松尾充,59.8,41,14.6,9.1,4.1,17.1,0.15,1,0.0
5243,三馬崇史,50.7,41,12.2,6.6,4.1,17.1,0.17,2,0.0
5315,浅井翼,17.0,26,7.7,1.2,4.1,7.7,0.176,1,0.0
3459,中野和裕,24.3,31,9.7,3.7,4.0,9.7,0.153,0,
4109,谷津幸宏,58.8,49,14.3,9.1,4.0,14.3,0.123,6,50.0
4467,渡邉俊介,66.3,49,16.3,11.0,4.0,20.4,0.122,2,0.0
4994,山本梨菜,67.1,36,16.7,11.0,4.0,16.7,0.164,3,0.0
5341,山道諄也,13.2,27,7.4,1.2,4.0,7.4,0.202,4,0.0
5350,網代良芽,39.9,39,10.3,4.7,4.0,10.3,0.158,2,50.0
5255,藤原仙二,69.1,44,18.2,12.8,4.0,20.5,0.184,0,
3617,竹田広樹,31.0,34,8.8,3.2,3.9,11.8,0.173,0,
3825,宮嵜隆太郎,23.6,32,9.4,3.7,3.9,9.4,0.114,0,
4640,山ノ内雅人,63.5,43,16.3,11.0,3.9,16.3,0.135,1,0.0
4840,鈴木秀茉,48.4,42,11.9,6.6,3.9,14.3,0.173,2,0.0
4953,尾上雅也,67.0,43,16.3,11.0,3.9,18.6,0.151,4,25.0
5257,西丸侑太朗,64.2,43,16.3,11.0,3.9,20.9,0.152,0,
5156,坂野さくら,44.4,33,12.1,6.5,3.9,15.2,0.198,0,
3422,服部幸男,58.7,58,13.8,9.1,3.8,17.2,0.155,6,0.0
3516,吉原聖人,36.3,29,10.3,4.6,3.8,10.3,0.168,2,50.0
4383,竹田吉行,58.1,42,14.3,9.1,3.8,14.3,0.168,0,
4945,上村宏太,34.1,41,9.8,4.6,3.8,9.8,0.167,0,
5223,森清友翔,42.1,40,10.0,4.7,3.8,17.5,0.151,2,0.0
5278,田中駿兵,71.4,45,17.8,12.8,3.8,20.0,0.139,2,50.0
3895,堀本裕也,34.3,17,11.8,4.6,3.8,11.8,0.151,1,0.0
3497,後藤浩,43.6,34,11.8,6.5,3.7,14.7,0.167,6,0.0
3652,森下勇,27.4,33,9.1,3.7,3.7,9.1,0.172,1,0.0
4349,犬童千秋,41.9,29,10.3,4.7,3.7,13.8,0.16,0,
4385,鈴木祐美子,27.8,21,9.5,3.2,3.7,9.5,0.226,4,25.0
4683,向井田直弥,30.2,21,9.5,3.2,3.7,9.5,0.144,0,
4735,角山雄哉,42.5,34,11.8,6.5,3.7,14.7,0.128,0,
5079,大石真央,44.9,34,11.8,6.5,3.7,11.8,0.157,2,0.0
5264,登みひ果,46.3,34,11.8,6.5,3.7,14.7,0.174,1,0.0
3361,岡部浩,30.7,21,9.5,3.2,3.7,9.5,0.19,0,
4977,馬野耀,59.8,35,14.3,9.1,3.7,17.1,0.133,2,0.0
3612,馬袋義則,68.0,58,17.2,12.8,3.6,20.7,0.116,0,
3805,高橋英之,53.4,36,13.9,8.8,3.6,13.9,0.126,0,
4568,廣瀬真也,52.1,34,11.8,6.6,3.6,11.8,0.148,3,33.3
4703,森永隆,62.6,44,15.9,11.0,3.6,20.5,0.151,0,
5067,山田真聖,47.6,34,11.8,6.6,3.6,11.8,0.156,0,
5275,松田淳平,66.5,44,15.9,11.0,3.6,20.5,0.125,1,0.0
5319,近藤颯斗,51.2,24,12.5,6.6,3.6,16.7,0.109,3,33.3
5190,大月遊雅,38.7,30,10.0,4.7,3.5,10.0,0.185,2,0.0
5388,佐野優都,35.6,43,9.3,4.6,3.5,11.6,0.134,3,0.0
3993,永井聖美,51.8,35,11.4,6.6,3.4,11.4,0.169,0,
4216,星栄爾,50.8,45,11.1,6.6,3.4,11.1,0.151,0,
4359,横川聖志,52.2,35,11.4,6.6,3.4,11.4,0.121,0,
4414,大澤真菜,34.5,31,9.7,4.6,3.4,9.7,0.176,1,100.0
4950,高岡竜也,64.3,38,15.8,11.0,3.4,21.1,0.15,0,
5006,久保原秀人,23.3,35,8.6,3.7,3.4,8.6,0.174,1,0.0
5014,梶山涼斗,47.2,35,11.4,6.5,3.4,14.3,0.114,0,
5183,中野孝二,47.4,35,11.4,6.5,3.4,11.4,0.152,3,33.3
3340,池田雷太,31.0,38,7.9,3.2,3.4,7.9,0.185,0,
4131,原豊土,63.4,31,16.1,11.0,3.4,22.6,0.164,1,0.0
5036,福田翔吾,47.6,45,11.1,6.6,3.4,17.8,0.142,0,
3339,泉具巳,40.2,31,9.7,4.7,3.3,9.7,0.159,0,
4361,柳生泰二,73.8,42,19.0,14.6,3.3,28.6,0.144,0,
4635,峰重力也,49.2,25,12.0,6.6,3.3,24.0,0.117,1,0.0
5068,前田滉,73.6,42,19.0,14.6,3.3,31.0,0.148,0,
5352,西岡蒼志,41.9,44,9.1,4.7,3.3,9.1,0.141,0,
4163,山崎裕司,55.9,46,13.0,8.8,3.2,15.2,0.175,2,0.0
4302,西野翔太,68.0,41,17.1,12.8,3.2,19.5,0.141,2,50.0
4319,三宅潤,59.0,37,13.5,9.1,3.2,16.2,0.16,0,
4792,杉村賢也,44.2,26,11.5,6.5,3.2,11.5,0.161,2,50.0
4898,菊地敬介,43.8,26,11.5,6.5,3.2,11.5,0.142,0,
4932,新開航,68.2,41,17.1,12.8,3.2,17.1,0.139,5,40.0
5051,松本純平,67.8,41,17.1,12.8,3.2,17.1,0.155,4,50.0
5218,山田理央,64.3,53,15.1,11.0,3.2,22.6,0.154,2,0.0
4575,戸塚邦好,61.3,37,13.5,9.1,3.2,13.5,0.134,0,
4569,中澤宏奈,43.5,26,11.5,6.5,3.2,15.4,0.161,0,
