登番,選手名,級別,支部,年齢,期,全国勝率,出走(13か月),攻め,ST,型,メモ,攻め手5,カド消し,まくり屋,壁(2号艇),差し巧者,まくり系ゼロ,4走,4まくり系1着率,5走,5まくり系1着率,6走,6まくり系1着率,4まくり力,1着数,逃げ,差し,まくり,まくり差し,抜き,恵まれ,平均ST,F本数,L本数,F前ST,F後ST,F後ST変化,F後の走数,F慣れ候補
4581,吉村誠,A1,静岡,37,105,6.45,281,,,,,○,,,,●,,54,9.3,46,6.5,45,4.4,-1.2,70,37,10,5,13,4,1,0.14,1,0,0.14,0.15,+0.01,77,
3966,作間章,A1,東京,47,82,6.32,281,,,,,○,,,,,,50,14.0,48,8.3,42,2.4,2.5,75,41,8,12,9,5,0,0.17,0,0,0.17,,,0,
3983,須藤博倫,A1,埼玉,48,83,6.78,280,,,,,○,,,,,,51,7.8,51,9.8,40,2.5,-1.0,59,28,6,12,10,3,0,0.14,0,0,0.14,,,0,
4337,平本真之,A1,愛知,42,96,7.35,280,,,,,○,,,,,,46,8.7,66,15.2,34,2.9,-3.2,69,42,5,6,11,3,2,0.13,0,0,0.13,,,0,
4607,鶴田勇雄,A2,福岡,37,106,5.74,280,,,,,,○,,,,,50,2.0,50,4.0,48,10.4,-5.5,43,29,5,0,8,0,1,0.17,0,0,0.17,,,0,
4826,井上一輝,A1,大阪,32,114,7.02,280,,,,,○,,○,壁強●,,,39,25.6,52,15.4,46,6.5,9.2,90,50,7,17,11,5,0,0.13,1,0,0.13,0.14,+0.01,31,
4063,市橋卓士,A1,徳島,46,86,6.00,280,,,,,,,,,,,47,8.5,54,1.9,35,2.9,-1.7,68,46,5,3,10,4,0,0.13,0,0,0.13,,,0,
5058,前原大道,A1,岡山,29,123,6.58,279,,,,,○,,,,,,50,14.0,55,16.4,43,2.3,0.8,93,47,12,8,15,10,1,0.16,2,0,0.14,0.17,+0.03,157,
4122,安東幸治,A2,福岡,44,88,5.42,279,,,,,,,,,,,50,10.0,49,2.0,44,0.0,0.6,48,28,4,5,6,3,2,0.17,0,0,0.17,,,0,
4102,益田啓司,A1,福岡,47,88,6.49,279,,,,,○,,,,,,50,18.0,52,11.5,50,0.0,5.6,75,37,9,17,7,5,0,0.15,1,0,0.15,0.21,+0.06,30,慎重型
4387,平山智加,A1,香川,41,98,6.73,279,,,,,○,,,,,,53,9.4,43,9.3,36,0.0,-2.7,75,39,14,11,8,1,2,0.15,0,0,0.15,,,0,
4604,岩瀬裕亮,A1,愛知,38,106,7.37,279,,,,,,,,,,,48,6.2,55,1.8,39,2.6,-3.4,78,49,10,9,4,5,1,0.14,0,0,0.14,,,0,
5132,中野希一,A1,埼玉,27,126,6.61,279,,,,,○,,○,,,,50,24.0,41,9.8,40,0.0,8.5,82,40,12,11,12,6,1,0.13,1,0,0.13,0.13,-0.00,53,候補
4514,上條嘉嗣,A1,大阪,36,102,6.59,278,,,,,,,,壁弱●,●,,49,10.2,39,0.0,32,0.0,-2.1,88,48,19,14,5,2,0,0.19,1,0,0.18,0.19,+0.01,119,
4083,福島勇樹,A1,東京,47,87,6.92,278,,,,,○,,,壁弱●,●,,46,10.9,59,16.9,29,6.9,-3.3,96,46,10,25,10,5,0,0.13,1,0,0.13,0.14,+0.01,55,
4376,藤田靖弘,A2,静岡,42,98,5.66,278,,,,,,,,,,,46,8.7,47,4.3,56,0.0,-0.4,60,31,7,7,9,6,0,0.15,0,0,0.15,,,0,
4398,船岡洋一,A1,広島,39,98,6.68,278,,,,,○,,,,,,50,10.0,54,13.0,43,4.7,-0.6,78,48,4,4,17,4,1,0.14,0,1,0.14,0.16,+0.02,49,
4983,前田篤哉,A1,愛知,29,120,6.53,278,,,,,○,,,,●,,43,18.6,44,9.1,43,2.3,5.8,86,45,12,3,21,5,0,0.15,1,0,0.15,0.16,+0.01,35,
4172,森定晃史,A2,岡山,43,90,5.94,278,,,,,,○,,,,,49,0.0,47,4.3,43,0.0,-8.2,48,31,9,2,2,4,0,0.16,0,0,0.16,,,0,
4537,渡邉和将,A1,岡山,36,103,7.26,278,,,,,○,,,,●,,50,14.0,47,6.4,38,2.6,0.8,88,45,14,14,8,6,1,0.14,0,0,0.14,,,0,
4311,岡村仁,A1,大阪,42,95,6.51,278,,,,,○,,,,,,49,8.2,40,5.0,42,4.8,-2.0,84,44,8,8,14,9,1,0.15,1,0,0.14,0.17,+0.02,50,
4544,松田大志,A1,福岡,38,104,7.61,278,,,,,○,,○,壁弱●,,,46,37.0,47,17.0,38,2.6,13.0,115,58,13,25,12,7,0,0.17,1,0,0.16,0.19,+0.03,66,
4601,森野正弘,A1,山口,41,106,7.05,277,,,,,○,,,,●,,58,13.8,39,5.1,41,4.9,0.7,79,37,11,13,11,6,1,0.13,0,0,0.13,,,0,
3618,海野ゆか,A1,広島,52,71,6.35,277,,,,,○,○,,,,,51,3.9,38,5.3,43,0.0,-4.1,64,35,1,19,4,4,1,0.18,0,0,0.18,,,0,
5267,石本裕武,A1,大阪,26,131,6.76,277,,,,,○,,,,●,,46,17.4,48,20.8,45,2.2,5.0,94,38,19,14,17,6,0,0.15,1,0,0.15,0.15,+0.01,2,
4137,君島秀三,A1,滋賀,46,89,6.61,277,,,,,,,,壁強●,,,47,14.9,44,2.3,41,4.9,1.5,70,41,7,9,10,3,0,0.13,1,0,0.13,0.14,+0.00,34,候補
5075,中島秀治,A2,滋賀,30,124,6.03,276,,,,,○,,○,,,,56,25.0,43,16.3,49,4.1,12.5,59,22,6,20,10,1,0,0.16,1,0,0.16,0.17,+0.01,36,
4515,藤田浩人,A2,佐賀,40,102,5.53,276,,,,,○,○,,,,,43,2.3,49,8.2,49,0.0,-5.1,59,38,6,5,7,3,0,0.17,0,0,0.17,,,0,
4261,岡祐臣,A2,三重,42,93,6.00,276,,,,,○,,,,,,41,7.3,48,6.2,49,2.0,-1.4,55,38,1,6,6,4,0,0.16,0,0,0.16,,,0,
5221,竹間隆晟,A1,大阪,25,129,6.70,276,,,,,○,,,,,,49,8.2,45,8.9,47,2.1,-2.0,78,42,11,13,6,4,2,0.15,0,0,0.15,,,0,
4159,向後龍一,A2,埼玉,45,90,6.61,276,,,,,○,,,,,,45,6.7,55,5.5,39,0.0,-1.9,56,33,7,9,4,3,0,0.16,0,0,0.16,,,0,
3473,石川真二,A1,福岡,56,66,6.76,276,,,,,,,,壁弱●,,,0,,0,,0,,,87,52,21,6,0,6,2,0.14,2,0,0.13,0.15,+0.02,96,
4433,川野芽唯,A1,福岡,40,100,7.23,276,,,,,,,,,,,44,13.6,39,2.6,49,2.0,0.5,85,54,7,12,3,9,0,0.17,0,0,0.17,,,0,
3833,中辻博訓,A2,福井,52,78,6.40,275,,,,,○,○,,,,,53,5.7,47,10.6,31,0.0,-4.0,76,48,9,7,9,3,0,0.13,0,0,0.13,,,0,
4040,廣瀬将亨,A2,兵庫,47,85,5.83,275,,,,,○,,,壁強●,,,48,16.7,40,10.0,48,0.0,5.7,63,34,1,15,9,4,0,0.15,0,0,0.15,,,0,
4420,津久井拓,A2,群馬,38,99,5.77,275,,,,,○,,,,,,60,10.0,46,6.5,38,0.0,0.6,46,26,5,10,4,1,0,0.16,0,0,0.16,,,0,
4218,吉川喜継,A1,滋賀,45,92,6.36,275,,,,,,○,,,,,58,5.2,47,2.1,2,0.0,-8.0,70,41,12,6,9,2,0,0.15,2,0,0.15,0.16,+0.01,47,
4171,榎幸司,A2,長崎,43,90,6.25,275,,,,,,,,壁強●,,,47,6.4,41,0.0,50,2.0,-2.1,61,43,6,4,7,1,0,0.18,0,0,0.18,,,0,
4262,馬場貴也,A1,滋賀,42,93,7.81,275,,,,,○,○,,,●,,44,6.8,42,9.5,41,2.4,-4.6,86,49,16,4,13,4,0,0.14,0,0,0.14,,,0,
4424,松尾昂明,A2,福岡,41,100,5.44,275,,,,,○,,,,,,48,6.2,49,8.2,46,0.0,-2.2,65,42,7,12,1,2,1,0.16,0,0,0.16,,,0,
4049,荒川健太,A2,三重,45,85,6.16,275,,,,,,○,,壁強●,,,58,3.4,47,4.3,24,0.0,-4.6,66,44,10,0,9,3,0,0.17,0,0,0.17,,,0,
3641,一瀬明,A1,東京,55,72,6.03,274,,,,,○,,,,,,60,8.3,48,10.4,32,0.0,-0.7,62,29,9,7,11,5,1,0.17,0,0,0.17,,,0,
5010,宇留田翔,A2,三重,29,121,5.75,274,,,,,,,,,,,53,7.5,45,2.2,37,2.7,-1.3,52,34,6,9,2,1,0,0.14,1,0,0.14,0.19,+0.05,5,
4030,森高一真,A1,香川,48,85,6.76,274,,,,,,,,,,,51,5.9,54,3.7,38,0.0,-2.6,46,25,4,4,9,3,1,0.14,0,0,0.14,,,0,
4773,中川りな,A2,福岡,33,112,6.04,274,,,,,,,,,,,46,6.5,49,4.1,40,10.0,-2.0,59,37,5,10,5,2,0,0.18,0,0,0.18,,,0,
3548,室田泰史,A2,福井,56,69,5.13,274,,,,,○,,,,,,52,5.8,56,7.1,39,0.0,-2.7,50,31,4,4,9,2,0,0.12,1,0,0.12,0.14,+0.02,22,
4076,杉田篤光,B1,静岡,48,87,4.78,274,,,,,,,,,,,51,3.9,54,3.7,40,0.0,-2.0,38,23,5,4,4,2,0,0.20,0,0,0.20,,,0,
4123,細川裕子,A1,愛知,44,88,6.59,274,,,,,○,○,,壁強●,,,45,4.4,46,10.9,41,7.3,-6.4,66,39,3,7,13,4,0,0.19,1,0,0.19,0.18,-0.01,29,候補
4834,浜本裕己,A2,大阪,38,115,5.65,273,,,,,,,,,,,58,17.2,47,2.1,36,0.0,6.4,59,36,4,2,12,5,0,0.14,1,0,0.14,0.19,+0.04,10,
4377,濱本優一,A1,大阪,42,98,5.28,273,,,,,○,,,,●,,44,13.6,50,6.0,51,3.9,2.2,68,36,12,7,7,6,0,0.14,0,0,0.14,,,0,
4732,堀本和也,A2,徳島,37,111,7.06,273,,,,,,,,,,,48,6.2,54,1.9,32,3.1,-3.4,68,43,13,6,3,3,0,0.11,0,0,0.11,,,0,
4927,関野文,A2,大阪,32,118,6.08,273,,,,,,,,,,,44,6.8,48,2.1,39,0.0,-1.8,55,26,14,11,1,3,0,0.16,0,0,0.16,,,0,
4788,小池哲也,A2,大阪,37,113,5.40,273,,,,,○,,,,,,48,10.4,56,5.4,29,0.0,0.9,49,28,5,12,2,1,1,0.15,0,0,0.15,,,0,
4064,原田篤志,A1,山口,46,86,6.33,273,,,,,,,,,,,51,9.8,42,2.4,40,0.0,-2.4,72,51,4,2,5,9,1,0.16,1,0,0.15,0.19,+0.03,71,
4163,山崎裕司,A2,広島,44,90,5.52,272,,,,,,,,,,,48,14.6,54,1.9,34,0.0,4.1,55,33,4,9,4,5,0,0.17,0,0,0.17,,,0,
5043,中村日向,A1,香川,27,122,7.17,272,,,,,○,,,,,,41,9.8,54,13.0,47,2.1,0.4,64,35,9,7,12,1,0,0.13,0,0,0.13,,,0,
4739,中村晃朋,A1,香川,34,111,6.57,272,,,,,○,○,,,,,50,2.0,45,13.3,36,2.8,-6.7,68,35,9,16,3,5,0,0.14,2,0,0.14,0.16,+0.02,73,
4015,前野竜一,A2,山口,46,84,5.68,272,,,,,,○,,,,,42,2.4,47,2.1,49,2.0,-5.0,43,27,5,3,3,5,0,0.16,1,0,0.16,0.17,+0.01,1,
4058,野末智一,A1,静岡,47,86,5.98,272,,,,,,○,,,,,56,0.0,42,0.0,36,0.0,-8.5,46,31,3,5,2,5,0,0.18,0,0,0.18,,,0,
4959,井上忠政,A1,大阪,30,119,7.46,272,,,,,○,,,,,,51,15.7,48,16.7,39,0.0,3.8,79,43,9,11,11,5,0,0.14,0,0,0.14,,,0,
4363,大野芳顕,A2,福岡,41,97,5.22,272,,,,,,,,,,,52,7.7,48,0.0,45,0.0,-1.2,43,29,6,2,4,2,0,0.16,0,0,0.16,,,0,
4985,井本昌也,A1,山口,29,120,6.69,272,,,,,○,,,,,,48,10.4,44,6.8,36,0.0,-0.2,81,49,7,11,10,4,0,0.14,0,0,0.14,,,0,
4215,吉島祥之,A2,愛知,42,91,5.30,271,,,,,○,,,,,,48,12.5,53,11.3,48,0.0,2.5,55,28,3,6,16,1,1,0.16,1,0,0.16,0.19,+0.03,25,
4960,黒野元基,A1,愛知,30,119,7.18,271,,,,,○,,○,,,,53,34.0,49,10.2,38,7.9,14.6,102,48,12,21,13,8,0,0.14,0,0,0.14,,,0,
4588,田中京介,A2,福岡,35,105,5.45,271,,,,,○,,,,,,54,5.6,52,7.7,43,2.3,-2.8,51,26,6,6,9,4,0,0.14,0,0,0.14,,,0,
4710,福田宗平,A2,大阪,36,110,5.69,271,,,,,,,,,,,37,5.4,52,1.9,44,2.3,-3.8,53,34,5,4,6,3,1,0.14,0,0,0.14,,,0,
4369,丹下将,A2,愛知,40,97,5.72,271,,,,,○,,,,,,49,10.2,51,13.7,44,0.0,0.8,58,28,6,11,10,1,2,0.16,0,0,0.16,,,0,
4057,松井賢治,A2,兵庫,47,86,5.78,270,,,,,,,,,,,56,5.4,42,2.4,40,0.0,-3.0,45,24,3,7,5,5,1,0.16,0,0,0.16,,,0,
4166,吉田拡郎,A1,岡山,44,90,7.70,270,,,,,○,,,,,,50,10.0,46,13.0,48,6.2,-2.3,83,50,6,12,8,5,2,0.12,0,0,0.12,,,0,
3590,濱野谷憲,A1,東京,52,70,7.13,270,,,,,○,,,,,,52,11.5,43,14.0,39,2.6,0.6,72,38,7,14,9,4,0,0.14,0,0,0.14,,,0,
4109,谷津幸宏,A2,埼玉,46,88,5.58,270,,,,,○,,,,,,49,14.3,48,6.2,40,0.0,3.9,62,37,5,11,8,1,0,0.13,1,0,0.12,0.14,+0.02,33,
3999,大瀧明日,A2,愛知,47,83,6.33,270,,,,,,,,,,,46,10.9,50,2.0,36,0.0,1.3,55,35,4,5,6,5,0,0.16,1,0,0.16,0.18,+0.02,63,
4073,大橋純一,A1,静岡,45,86,6.59,270,,,,,○,,,壁強●,,,46,17.4,50,8.0,44,2.3,5.0,65,37,6,6,13,3,0,0.15,0,0,0.15,,,0,
3333,丸尾義孝,A1,徳島,58,61,6.50,270,,,,,,,,,,,60,8.3,47,4.3,34,0.0,-1.9,66,39,9,3,13,2,0,0.15,0,0,0.15,,,0,
4067,永井源,A2,愛知,46,86,6.50,270,,,,,○,,,,,,54,11.1,48,20.8,35,2.9,0.3,67,28,4,17,11,5,2,0.17,1,0,0.16,0.22,+0.06,9,
3304,烏野賢太,A1,徳島,58,60,5.52,270,,,,,,,,,,,47,6.4,51,3.9,42,0.0,-2.1,56,38,7,3,6,2,0,0.17,0,0,0.17,,,0,
4446,和田兼輔,A1,兵庫,39,100,6.79,269,,,,,,,,,●,,53,17.0,49,2.0,37,0.0,3.2,78,48,9,12,7,2,0,0.14,1,0,0.14,0.13,-0.00,35,候補
4953,尾上雅也,A1,埼玉,31,119,6.67,269,,,,,○,,,,,,47,14.9,47,12.8,41,7.3,3.2,78,39,4,19,6,10,0,0.15,1,0,0.15,0.16,+0.01,9,
4824,松井洪弥,A2,三重,33,114,5.87,269,,,,,○,,,壁弱●,●,,47,10.6,43,9.3,42,2.4,1.1,68,32,15,6,13,2,0,0.12,0,0,0.12,,,0,
4089,妹尾忠幸,A2,岡山,46,87,6.30,269,,,,,,○,,,,,50,2.0,44,4.5,48,0.0,-6.7,56,37,5,4,6,3,1,0.16,1,0,0.16,0.20,+0.04,28,
4379,桑島和宏,A2,東京,42,98,6.06,269,,,,,,○,,壁強●,,,44,2.3,50,4.0,42,0.0,-5.2,45,28,5,4,4,4,0,0.16,0,0,0.16,,,0,
3613,角谷健吾,A2,東京,53,71,6.14,269,,,,,,,,,●,,53,9.4,42,0.0,43,0.0,0.2,56,32,10,6,6,2,0,0.15,0,0,0.15,,,0,
