regno,n2c,win2c,sashi_win
4179,38,8,8
3984,44,4,2
3576,48,7,3
3543,26,4,2
3812,38,2,2
3664,35,5,2
3876,24,4,1
5036,37,2,2
5162,19,0,0
5192,30,7,5
3932,30,7,3
4965,31,2,1
3289,23,2,1
4276,40,7,5
4421,24,1,0
3642,34,1,1
3388,30,6,3
4075,37,8,6
5017,40,8,6
4730,35,6,5
4055,56,14,10
5194,32,3,2
3952,39,13,9
4094,35,5,4
5164,18,0,0
3748,43,2,2
3475,34,2,1
4090,32,5,3
5209,22,1,0
4911,31,2,1
4327,38,2,1
5050,35,7,4
4891,32,3,2
5117,24,2,1
5324,22,0,0
4515,45,6,6
5034,48,7,4
4659,45,9,7
3912,37,9,1
4539,42,10,6
4253,43,2,1
4331,37,8,4
4977,36,5,4
4702,33,6,4
5027,37,6,5
3489,47,4,3
4460,43,5,5
4277,32,3,1
4737,46,18,9
4427,33,4,3
4550,39,6,5
4227,43,3,2
4728,30,2,2
3432,36,6,4
4781,11,1,0
5193,38,11,0
4787,40,15,5
5186,32,3,0
3075,35,4,0
4832,39,12,6
3303,43,1,0
4203,30,2,0
4281,33,3,2
3458,30,6,3
5288,25,2,2
4908,38,9,4
4697,33,0,0
5227,4,0,0
3508,35,3,3
4389,38,5,3
5095,28,7,5
3737,39,7,6
4704,49,9,5
5191,51,9,4
5156,40,3,2
4023,32,2,2
3871,35,2,2
4495,25,5,1
4052,44,7,4
4689,24,1,1
4422,32,2,1
5284,30,1,1
4566,30,5,4
4523,32,3,0
4077,47,12,5
4266,38,7,5
4195,36,6,5
5105,42,1,1
4003,31,2,1
4054,29,1,1
4390,36,1,1
5190,27,2,1
4119,39,4,3
4548,22,0,0
4387,35,10,7
3645,22,3,1
3898,42,7,3
3596,25,1,0
4214,26,5,4
4104,31,2,0
3514,32,11,5
4318,37,7,4
4300,36,5,3
4138,40,2,1
3502,33,6,2
4162,17,1,1
4438,34,6,1
5167,37,6,4
4129,32,4,3
4345,35,1,0
5086,27,0,0
5127,33,4,3
3944,42,4,3
3660,33,0,0
4065,28,6,1
3813,39,8,6
4086,36,4,1
4560,40,9,7
3616,30,2,2
4857,34,6,1
4654,36,6,3
5181,32,1,0
3859,33,4,0
3974,27,3,3
4348,40,6,4
5083,30,2,1
3853,35,3,2
5231,34,6,3
5311,35,3,1
4601,40,9,7
3997,50,9,6
5179,19,3,1
3621,29,1,1
5137,22,2,1
4186,27,0,0
3306,29,0,0
3340,37,3,1
5290,32,2,0
3297,58,5,2
3873,22,3,0
5031,39,3,2
4941,35,5,3
5005,26,2,0
4388,47,7,6
