c2_regno,c1_regno,c1_won,win_course,kimarite
3558,4295,1,1,逃げ
3519,4383,0,5,まくり差し
4351,4016,0,4,差し
5278,3984,1,1,逃げ
3843,4584,1,1,逃げ
3070,3655,1,1,逃げ
3933,4403,0,5,まくり
4073,5160,0,3,恵まれ
4665,3441,0,4,まくり差し
3339,3893,1,1,逃げ
4563,4034,1,1,逃げ
4231,4057,0,4,まくり
4852,4236,1,1,逃げ
3392,3722,0,4,まくり
3072,4346,1,1,逃げ
5166,5014,1,1,逃げ
3788,3792,0,2,差し
4945,3350,1,1,逃げ
3955,4080,0,2,抜き
3072,5336,0,2,まくり
4066,4790,1,1,逃げ
4983,4264,1,1,逃げ
3615,4953,1,1,逃げ
4080,4583,1,1,抜き
4710,4544,1,1,逃げ
5300,4120,1,1,逃げ
4050,3176,0,2,まくり
4688,3286,0,2,差し
4199,3752,0,4,まくり差し
4747,5132,0,4,まくり
4047,4974,0,3,抜き
3988,5294,0,4,まくり差し
3539,4589,0,3,まくり
3370,3257,1,1,逃げ
4856,3838,0,3,まくり
4049,4199,1,1,逃げ
4593,4025,1,1,逃げ
4618,3686,1,1,逃げ
4146,4306,1,1,抜き
3965,4520,0,2,差し
3832,4246,0,3,まくり差し
3692,4926,1,1,逃げ
4669,4211,0,4,差し
4306,3801,1,1,逃げ
3814,3473,0,2,まくり
4268,4407,0,4,まくり
4415,3965,0,2,まくり
3959,4706,1,1,逃げ
3686,3473,1,1,逃げ
4684,4369,1,1,逃げ
4644,4840,0,3,まくり
4402,4638,1,1,逃げ
4467,4359,1,1,逃げ
5133,3406,0,2,差し
3381,4771,1,1,逃げ
4811,4610,0,4,まくり
4637,3075,1,1,逃げ
4574,4703,1,1,逃げ
4757,4907,1,1,逃げ
4483,5051,1,1,逃げ
4040,4269,1,1,逃げ
5070,5098,0,3,まくり
5282,5089,1,1,逃げ
5232,5081,1,1,逃げ
5136,5106,1,1,逃げ
5070,5139,1,1,逃げ
5076,5102,1,3,まくり差し
5157,5112,0,4,まくり
5256,5229,1,1,逃げ
5114,5197,1,1,逃げ
5289,5089,0,5,抜き
5058,4910,1,1,逃げ
5131,4740,1,1,逃げ
4676,5242,0,6,まくり
4031,3454,0,3,まくり差し
3880,4109,1,1,逃げ
3708,3851,0,3,まくり差し
4989,4252,0,3,抜き
5131,4356,1,1,逃げ
3463,4116,0,4,差し
4207,4363,1,1,逃げ
3880,5068,1,1,逃げ
3542,3743,1,1,逃げ
4122,4297,1,1,逃げ
4940,3620,0,3,まくり差し
4901,3981,0,3,まくり差し
3790,3929,0,2,まくり
3414,3305,1,1,逃げ
4992,4076,1,1,逃げ
3448,5085,0,5,まくり
4903,3748,0,4,まくり
3294,3951,0,5,まくり差し
3827,4043,0,4,まくり
3993,4144,1,1,逃げ
3422,4460,0,3,まくり
4293,4067,0,3,まくり差し
4987,3778,0,4,まくり
4738,3474,0,4,まくり
4680,4984,0,3,まくり差し
3580,4947,0,5,まくり
5113,4065,1,1,逃げ
4275,3302,0,6,まくり差し
4726,4746,1,1,逃げ
4183,5213,1,1,逃げ
4414,4758,1,1,逃げ
4694,4900,1,1,逃げ
4791,4845,1,1,逃げ
4482,4546,0,4,まくり
3583,3569,0,4,まくり差し
4405,4555,0,3,まくり差し
3699,4766,0,3,まくり
4761,4872,0,3,まくり
4512,4228,1,1,逃げ
3860,5012,0,4,まくり
4022,4630,1,1,逃げ
5100,5053,1,1,逃げ
4578,5212,0,2,差し
4137,3412,0,4,まくり
4437,3740,1,1,逃げ
5226,4977,1,1,逃げ
4531,5064,1,1,逃げ
4294,4470,1,1,逃げ
4985,3908,1,1,逃げ
4645,4075,1,1,逃げ
4278,3946,1,1,逃げ
4930,4914,1,1,逃げ
4072,3978,1,1,逃げ
4933,5145,0,5,まくり差し
3946,5034,1,1,抜き
3978,4477,0,3,まくり差し
4352,3721,1,1,抜き
3211,4879,0,3,まくり
4471,4588,1,1,逃げ
4035,4292,1,1,逃げ
4873,5330,1,1,逃げ
3953,4650,1,1,逃げ
3867,3527,1,1,逃げ
4588,4111,0,2,差し
4871,4315,1,1,逃げ
3964,4948,0,5,まくり差し
4475,4296,1,1,逃げ
5041,4640,1,1,逃げ
4772,4448,1,1,逃げ
3156,4336,0,4,まくり
5198,4538,0,4,まくり
4142,4547,1,5,まくり差し
3629,3265,1,1,逃げ
4323,4342,1,2,抜き
3158,5249,0,3,まくり
4874,4536,0,4,まくり
4118,4817,0,4,まくり
3808,3304,0,3,まくり
4822,3557,0,3,まくり差し
4693,3863,1,1,逃げ
4425,4251,0,3,抜き
4143,5146,0,3,まくり差し
5259,3939,1,2,まくり
3574,3928,1,1,逃げ
4005,5087,0,3,まくり差し
5015,3807,1,1,逃げ
3554,3952,1,1,逃げ
4367,3611,1,1,逃げ
3804,3679,1,1,逃げ
4775,4844,1,1,逃げ
5222,4136,1,1,逃げ
5295,4784,0,6,まくり
4092,5125,1,1,逃げ
3207,4938,1,1,逃げ
3998,4776,1,1,逃げ
4720,3999,1,1,逃げ
4398,3684,1,1,逃げ
3435,3618,0,2,差し
4837,4515,1,1,逃げ
4963,4011,1,1,逃げ
4020,4463,1,1,逃げ
4636,4564,1,1,逃げ
4880,4876,1,1,逃げ
5101,3477,0,4,まくり
4033,4020,0,3,まくり差し
4036,5096,0,3,まくり
4691,4711,0,5,まくり差し
3024,4449,0,4,抜き
3612,4271,1,1,逃げ
4518,5303,1,1,逃げ
4193,4949,0,3,まくり
4056,3024,0,2,差し
5032,3442,1,1,逃げ
3731,4204,1,1,逃げ
3771,3461,1,1,逃げ
3714,3212,0,2,まくり
4435,3787,0,5,まくり差し
4896,4850,1,1,逃げ
4594,4700,1,2,差し
3833,4105,1,1,逃げ
4511,4239,1,1,逃げ
4842,4295,1,1,逃げ
5043,4828,1,1,逃げ
3910,5018,0,3,まくり差し
4339,4272,0,3,まくり
3933,5221,1,1,逃げ
3893,4227,1,1,逃げ
4672,3339,0,5,まくり差し
4259,4231,0,3,まくり差し
5090,4626,0,5,まくり差し
4209,3933,0,5,抜き
4201,3850,0,4,差し
4584,4665,0,2,抜き
4383,4073,1,1,逃げ
3655,4351,1,1,逃げ
4615,4329,0,3,まくり
4839,3072,0,4,まくり
3350,4583,1,1,抜き
4600,5166,0,5,まくり差し
5243,4522,1,1,逃げ
3072,4079,0,4,差し
4145,4080,1,1,逃げ
3931,4934,1,1,逃げ
3282,4732,1,1,逃げ
4953,4983,0,2,差し
4080,4066,1,1,逃げ
3788,4264,0,3,まくり差し
5294,4709,1,1,逃げ
5079,3202,0,2,まくり
4120,4487,0,3,まくり
5132,3793,0,2,差し
4759,3637,0,2,差し
5237,5300,0,4,まくり
3627,4688,1,1,逃げ
4301,3370,0,6,まくり差し
4889,4025,0,2,まくり
3900,4050,1,1,逃げ
5238,4759,1,1,逃げ
3257,3918,0,4,まくり差し
4520,3961,1,1,逃げ
3976,3973,1,1,逃げ
4439,4071,1,1,逃げ
5151,3473,1,1,逃げ
3692,4415,1,1,逃げ
3973,4618,1,1,逃げ
4246,3976,0,5,まくり差し
4071,4268,0,4,まくり
4002,3832,0,2,差し
4452,3473,0,4,まくり差し
3960,4432,0,2,まくり
5257,3959,1,1,逃げ
3712,4808,1,1,逃げ
4684,3848,0,2,差し
4638,3888,1,1,逃げ
5276,4637,0,3,まくり差し
4840,3772,1,1,逃げ
4863,4483,1,1,逃げ
4835,4565,1,1,逃げ
4723,5044,1,1,逃げ
3828,4653,1,1,逃げ
4359,4402,1,1,逃げ
3848,4369,1,1,逃げ
5051,4269,1,1,逃げ
