regno,course,n,r1,r2,r3
4254,1,33,22,6,0
4254,5,30,2,6,2
4254,4,31,6,2,6
4254,6,26,0,1,7
3306,3,29,4,1,4
3306,4,35,2,3,6
3306,2,29,0,3,7
3306,5,27,0,1,5
3306,6,24,0,2,1
3306,1,27,4,8,5
3459,6,23,0,0,2
3459,3,38,2,4,4
3459,5,34,0,0,3
3459,2,33,2,4,6
3459,1,19,0,6,2
3459,4,30,3,1,3
4866,5,27,1,1,5
4866,2,26,1,3,6
4866,4,30,0,7,9
4866,3,29,6,6,8
4866,1,16,4,3,4
4866,6,27,0,1,1
3562,1,54,30,7,6
3562,4,45,8,11,7
3562,6,33,0,4,4
3562,3,38,6,13,8
3562,5,42,4,7,10
3562,2,47,6,15,9
3584,3,39,3,9,6
3584,5,42,2,7,7
3584,1,34,8,10,3
3584,4,35,5,6,8
3584,2,40,3,12,6
3584,6,26,0,2,7
3455,6,35,0,3,5
3455,1,37,18,6,3
3455,3,42,4,13,7
3455,4,40,2,10,7
3455,5,36,0,2,12
3455,2,36,6,6,2
5121,2,46,11,18,4
5121,4,41,8,9,6
5121,3,40,9,15,8
5121,6,36,2,8,4
5121,5,37,7,9,5
5121,1,49,37,8,1
3680,4,42,3,6,7
3680,3,42,6,4,6
3680,2,38,0,9,5
3680,5,33,1,3,6
3680,1,29,4,11,3
3680,6,28,0,0,2
5263,5,36,0,3,8
5263,2,41,4,8,6
5263,4,37,3,4,8
5263,3,37,0,8,9
5263,1,24,7,4,4
5263,6,30,0,0,2
5321,3,34,5,10,2
5321,6,31,1,5,7
5321,1,21,9,2,0
5321,2,31,4,5,4
5321,5,29,2,7,5
5321,4,20,3,5,2
3256,6,30,0,2,11
3256,1,43,24,11,4
3256,3,42,7,16,7
3256,5,40,4,6,7
3256,2,43,10,10,4
3256,4,30,7,8,5
4237,4,48,9,12,13
4237,1,61,42,10,2
4237,5,43,2,6,10
4237,3,42,10,9,6
4237,2,41,9,14,8
4237,6,29,2,3,8
4247,1,32,10,8,3
4247,6,28,1,2,4
4247,2,39,3,8,6
4247,3,44,7,13,6
4247,4,37,4,5,7
4247,5,40,0,2,10
5045,2,48,13,13,8
5045,4,50,5,17,11
5045,6,35,2,1,11
5045,1,45,22,14,2
5045,3,47,10,14,10
5045,5,45,1,9,15
4744,5,29,1,3,6
4744,3,31,4,3,8
4744,4,20,0,4,7
4744,2,26,4,1,6
4744,6,23,1,1,2
4744,1,18,5,5,3
5033,1,23,8,6,1
5033,6,30,1,2,3
5033,2,36,2,5,6
5033,4,29,1,0,5
5033,3,35,3,4,2
5033,5,32,0,4,1
4504,4,36,2,9,5
4504,2,43,3,14,7
4504,3,48,6,12,7
4504,5,43,2,9,9
4504,6,35,2,5,8
4504,1,54,35,7,4
4886,5,39,3,7,12
4886,2,47,7,15,6
4886,4,35,6,8,8
4886,6,39,1,6,11
4886,1,42,30,5,2
4886,3,38,6,13,10
3989,2,33,2,5,5
3989,5,25,0,3,1
3989,4,41,2,4,6
3989,3,28,2,4,3
3989,6,31,0,2,3
3989,1,24,9,3,3
4705,3,32,1,4,5
4705,2,37,4,5,1
4705,5,34,0,1,3
4705,6,35,0,2,0
4705,1,25,13,1,4
4705,4,30,4,4,2
5380,6,83,0,0,0
5380,4,27,0,0,0
5380,5,28,0,0,0
4188,2,32,6,13,6
4188,1,56,45,4,2
4188,5,42,10,14,4
4188,3,37,7,15,9
4188,4,39,14,8,7
4188,6,25,5,3,6
4661,1,28,11,8,2
4661,6,26,0,1,3
4661,2,36,5,13,9
4661,4,31,0,10,6
4661,3,35,0,7,10
4661,5,39,1,3,13
4521,5,40,3,5,10
4521,2,38,6,8,4
4521,1,40,19,11,2
4521,4,32,1,6,7
4521,3,38,10,5,7
4521,6,34,1,3,5
5331,3,35,4,4,2
5331,4,26,4,3,5
5331,5,25,2,3,5
5331,6,41,1,3,3
5331,1,27,12,4,2
5331,2,27,3,5,0
5324,6,29,0,0,0
5324,4,24,0,1,1
5324,5,26,0,0,0
5324,3,18,0,1,1
5324,1,18,4,1,0
5324,2,22,0,0,2
4714,4,40,1,10,13
4714,5,35,1,3,7
4714,2,38,2,14,6
4714,1,26,11,3,5
4714,6,22,0,0,4
4714,3,36,2,7,7
3576,5,36,3,12,13
3576,6,27,0,3,12
3576,2,48,7,21,8
3576,1,53,31,12,5
3576,3,37,5,8,15
3576,4,36,4,9,13
5153,6,30,0,4,5
5153,3,35,2,5,3
5153,4,31,2,7,5
5153,1,27,3,2,5
5153,5,36,0,1,6
5153,2,39,1,5,8
3503,1,27,7,6,2
3503,5,35,1,5,3
3503,2,38,2,7,5
3503,4,35,2,2,3
3503,6,27,0,0,1
3503,3,34,3,4,7
3921,1,13,5,1,3
3921,2,16,3,1,2
3921,6,13,0,0,0
3921,3,17,1,2,7
3921,5,19,0,0,2
3921,4,13,1,2,1
5322,5,38,0,2,4
5322,3,37,0,2,1
5322,2,30,1,0,5
5322,6,27,1,1,1
5322,1,20,3,1,3
5322,4,26,0,0,1
4442,4,37,4,6,10
4442,1,32,20,6,0
4442,6,31,2,1,6
4442,2,40,10,8,6
4442,3,36,5,5,5
4442,5,39,6,5,2
4117,6,29,0,5,8
4117,1,47,18,15,5
4117,4,40,3,10,9
4117,3,39,3,12,11
4117,2,39,5,20,7
4117,5,34,0,8,9
3828,3,32,3,9,7
3828,1,31,14,6,4
3828,5,45,1,7,9
3828,4,35,1,1,15
3828,2,32,3,15,3
3828,6,28,0,1,2
4798,1,54,40,9,2
4798,4,44,4,9,11
4798,3,46,10,8,12
4798,6,34,1,3,7
4798,5,41,4,6,8
4798,2,41,7,12,11
4863,2,19,1,3,7
4863,6,28,0,0,6
4863,1,19,8,3,3
4863,3,24,2,7,4
4863,5,26,1,3,4
4863,4,15,2,1,4
5133,4,34,4,5,4
5133,3,35,7,9,7
5133,2,35,3,7,5
5133,5,34,4,1,10
5133,1,28,13,6,3
5133,6,27,0,3,5
4565,5,35,1,3,11
4565,2,33,1,7,5
4565,1,30,11,1,5
4565,6,37,0,2,4
4565,3,31,2,3,5
4565,4,36,1,1,7
4905,6,28,0,1,4
4905,5,34,0,1,4
4905,2,30,2,7,3
4905,1,21,8,4,1
4905,4,34,0,7,5
4905,3,35,3,4,8
3406,3,43,6,5,15
3406,6,34,0,3,8
3406,1,45,23,15,3
3406,5,39,2,5,6
3406,4,43,4,5,6
3406,2,38,5,14,7
4840,1,31,10,10,7
4840,3,34,3,7,6
4840,5,45,2,5,9
4840,2,37,5,12,6
4840,6,26,0,5,3
4840,4,39,6,5,5
5009,4,31,3,6,8
5009,6,38,0,2,4
5009,3,45,9,12,5
5009,1,37,19,6,2
5009,5,40,2,9,6
5009,2,36,8,6,6
3888,5,41,0,11,5
3888,2,45,4,16,11
3888,6,39,2,5,6
3888,3,50,7,12,12
3888,4,48,7,8,8
3888,1,46,27,8,3
4483,6,34,2,4,5
4483,1,55,42,6,3
4483,5,47,4,10,13
4483,2,41,10,11,7
4483,3,42,12,16,3
4483,4,35,12,4,7
5276,2,36,4,3,9
5276,1,29,11,6,1
5276,5,34,1,2,10
5276,4,39,2,6,3
5276,3,39,2,10,12
5276,6,25,0,1,5
3772,1,29,12,10,4
3772,2,29,1,8,5
3772,5,32,0,2,13
3772,3,34,1,6,12
3772,4,31,1,5,8
3772,6,27,0,1,4
4907,6,40,6,6,8
4907,5,39,6,5,11
4907,1,61,45,10,3
4907,3,39,13,10,7
4907,2,39,9,12,6
4907,4,38,7,17,5
4771,3,42,8,16,12
4771,2,35,10,14,3
4771,4,45,11,8,11
4771,1,67,53,6,5
4771,6,33,0,7,5
4771,5,45,4,7,11
4638,2,37,5,9,7
4638,6,29,1,3,5
4638,4,37,5,4,6
4638,1,29,12,4,5
4638,5,37,1,6,5
4638,3,38,3,9,9
4040,5,36,5,5,10
4040,1,50,33,8,3
4040,3,52,9,13,9
4040,4,41,10,5,9
4040,2,47,1,18,8
4040,6,43,0,3,6
3712,4,33,3,5,2
3712,6,26,0,3,5
3712,3,38,1,11,7
3712,2,30,1,5,7
3712,1,31,19,6,2
3712,5,34,1,6,1
4653,2,35,7,12,8
4653,5,37,6,8,8
4653,4,33,5,7,10
4653,6,34,0,5,8
4653,3,46,4,14,11
4653,1,55,45,6,0
4684,4,36,2,7,10
4684,5,35,2,2,7
4684,3,40,7,7,10
4684,2,34,4,3,11
4684,1,39,25,5,4
4684,6,35,0,2,8
3703,1,49,25,10,7
3703,4,41,5,9,9
3703,2,44,6,9,6
3703,5,29,2,4,7
3703,3,48,8,12,10
3703,6,12,0,0,0
4269,6,29,0,2,6
4269,3,41,4,13,12
4269,5,48,12,8,8
4269,1,62,42,11,3
4269,2,44,9,12,10
4269,4,39,7,12,8
4723,3,25,2,6,3
4723,5,27,5,0,4
4723,6,50,6,4,3
4723,4,21,2,4,5
4723,2,24,2,5,2
4723,1,20,6,5,2
4644,5,36,3,6,12
4644,4,50,7,10,11
4644,2,37,6,16,3
4644,6,26,0,2,10
4644,1,40,25,10,1
4644,3,43,11,13,7
5051,4,40,7,6,9
5051,5,43,6,10,8
5051,2,45,9,14,13
5051,6,36,1,2,10
5051,1,53,44,4,3
5051,3,38,5,10,10
4402,5,35,3,6,6
4402,4,33,7,6,8
4402,2,35,2,12,8
4402,3,30,5,8,4
4402,1,43,30,7,1
4402,6,35,2,2,7
4369,3,51,10,13,11
4369,2,44,5,9,9
4369,5,50,9,6,9
4369,1,53,31,9,6
4369,6,39,0,3,4
4369,4,42,8,11,8
4835,1,30,14,6,5
4835,6,34,0,1,7
4835,3,41,0,8,10
4835,4,39,0,7,13
4835,2,37,2,6,10
4835,5,37,0,3,10
3381,6,18,0,2,2
3381,2,40,2,8,5
3381,3,35,4,3,3
3381,4,45,6,10,7
3381,5,36,2,7,6
3381,1,29,10,6,4
4637,4,36,7,7,9
4637,6,29,0,3,4
4637,3,27,2,11,4
4637,2,30,2,13,4
4637,1,31,18,7,2
4637,5,34,1,3,10
4601,1,56,33,15,0
4601,3,44,12,13,6
4601,2,40,9,17,7
4601,4,52,9,12,14
4601,5,33,3,3,10
4601,6,37,3,3,7
4574,2,38,3,11,8
4574,1,34,17,4,4
4574,4,41,2,9,7
4574,6,33,0,3,6
4574,3,43,6,10,11
4574,5,39,2,6,9
3653,5,16,0,1,4
3653,4,25,2,2,7
3653,1,22,7,4,3
3653,6,22,0,1,5
3653,2,22,1,5,4
3653,3,16,0,2,3
3848,6,40,1,4,6
3848,5,44,5,3,10
3848,3,36,2,9,7
3848,1,34,13,11,2
3848,2,39,0,10,8
3848,4,35,2,5,6
4811,3,50,2,11,8
4811,6,27,0,0,4
4811,2,44,4,10,9
4811,4,47,5,8,5
4811,1,28,11,4,4
4811,5,41,3,5,11
4359,3,37,7,9,4
4359,1,38,18,8,5
4359,4,36,4,10,6
4359,6,34,0,3,6
4359,5,31,2,5,5
4359,2,34,4,10,5
4467,6,33,1,7,6
4467,3,44,6,12,10
4467,4,50,11,10,14
4467,2,45,6,16,13
4467,5,49,3,6,12
4467,1,53,33,11,4
4808,2,43,5,16,11
4808,4,45,7,6,10
4808,1,45,34,3,2
4808,3,36,7,11,6
4808,5,46,7,7,12
4808,6,36,0,2,7
4757,2,40,6,12,7
4757,1,59,44,7,2
4757,6,35,5,4,5
4757,5,46,3,14,12
4757,4,37,5,7,10
4757,3,43,9,5,6
5110,4,35,1,6,10
5110,1,38,15,7,6
5110,2,38,7,8,8
5110,6,35,1,3,8
5110,3,46,8,7,8
5110,5,37,4,4,6
4610,2,38,8,12,8
4610,1,48,30,7,2
4610,4,40,13,3,8
4610,6,43,4,2,3
4610,3,45,12,9,5
4610,5,51,6,12,7
4062,5,40,2,2,6
4062,2,41,1,6,5
4062,6,36,0,0,3
4062,4,42,5,5,6
4062,1,36,15,3,12
4062,3,31,2,5,3
3075,6,29,0,2,2
3075,4,39,3,12,7
3075,1,32,11,2,6
3075,2,35,4,7,2
3075,3,42,3,7,3
3075,5,33,3,4,9
5044,1,34,21,2,0
5044,4,37,8,4,6
5044,6,34,0,2,4
5044,3,39,6,7,10
5044,2,32,3,6,7
5044,5,33,2,3,5
4703,1,53,32,8,5
4703,3,34,8,10,3
4703,6,30,1,3,5
4703,4,44,9,11,5
4703,2,38,7,13,7
4703,5,38,3,11,7
3718,1,31,21,3,3
3718,5,44,0,3,7
3718,6,31,0,0,3
3718,4,33,1,4,5
3718,3,35,2,4,5
3718,2,34,4,8,6
4332,2,30,1,6,8
4332,6,30,1,2,3
4332,5,30,1,0,4
4332,4,32,1,4,8
4332,1,24,7,7,4
4332,3,33,3,4,6
4031,5,37,2,3,5
4031,1,29,11,8,5
4031,4,27,3,5,7
4031,2,37,4,13,8
4031,3,40,3,8,9
4031,6,33,1,2,3
4417,6,21,0,1,3
4417,3,29,2,3,9
4417,2,31,3,10,6
4417,4,30,1,3,3
4417,1,28,12,8,4
4417,5,36,1,7,8
4440,4,37,1,4,7
4440,3,34,3,5,9
4440,2,33,2,4,6
4440,6,25,0,1,3
4440,5,40,1,4,7
4440,1,25,8,5,2
3866,3,34,2,8,8
3866,1,26,7,9,3
3866,4,30,2,5,4
3866,5,34,0,4,6
3866,6,25,0,1,1
3866,2,27,3,6,5
3880,1,32,10,6,5
3880,3,34,3,6,6
3880,5,37,3,4,9
3880,2,33,1,8,5
3880,4,33,1,6,8
3880,6,29,1,1,6
4431,4,33,5,3,7
4431,1,25,13,2,3
4431,6,32,1,0,0
4431,2,27,5,6,5
4431,3,28,2,10,4
4431,5,25,1,0,4
4877,5,42,8,3,7
4877,1,54,35,13,3
4877,3,40,11,8,7
4877,6,31,2,3,2
4877,4,39,7,8,7
4877,2,35,7,12,7
5169,6,19,0,1,1
5169,2,21,3,0,4
5169,4,16,0,0,4
5169,3,21,0,0,2
5169,1,14,2,6,1
5169,5,25,1,0,3
4114,3,28,2,4,11
4114,1,23,9,3,3
4114,5,30,1,2,6
4114,4,27,1,4,5
4114,2,29,1,8,7
4114,6,23,0,1,6
4252,2,38,2,8,9
4252,6,33,0,0,4
4252,4,44,7,2,10
4252,5,37,2,1,9
4252,1,27,9,5,3
4252,3,30,1,5,5
3542,2,132,6,11,26
3542,1,34,11,5,6
3542,5,3,0,0,0
3542,3,25,0,4,3
3542,4,9,0,0,0
3454,5,34,4,6,7
3454,3,30,4,10,9
3454,1,35,11,13,7
3454,6,33,0,0,3
3454,2,34,4,10,7
3454,4,28,1,8,5
4109,4,50,6,13,13
4109,6,39,0,3,10
4109,2,44,7,9,12
4109,1,57,39,10,1
4109,5,45,2,5,8
4109,3,47,5,9,11
3826,3,40,5,9,14
3826,5,45,3,14,8
3826,1,47,29,12,3
3826,6,25,0,2,6
3826,4,32,0,6,8
3826,2,34,3,10,9
5383,6,99,0,1,1
5383,5,42,1,0,4
5383,4,27,0,0,1
5240,1,25,12,4,0
5240,5,25,1,2,3
5240,2,32,1,12,7
5240,6,39,0,2,6
5240,4,24,0,4,5
5240,3,32,3,9,3
5068,1,55,43,6,4
5068,4,42,13,12,8
5068,6,33,2,2,11
5068,3,39,15,11,5
5068,2,40,9,13,6
5068,5,36,7,10,5
3643,5,38,2,4,8
3643,2,38,1,10,10
3643,1,34,18,6,6
3643,6,28,0,0,2
3643,3,41,3,9,8
3643,4,30,2,2,10
3911,2,46,6,15,6
3911,6,33,2,0,5
3911,1,44,20,11,5
3911,5,49,5,6,4
3911,4,50,6,8,5
3911,3,43,4,9,11
4327,4,42,3,2,8
4327,1,31,9,8,6
4327,5,42,2,0,7
4327,3,44,2,7,5
4327,6,27,0,2,3
4327,2,38,2,10,4
4740,6,30,1,0,2
4740,3,42,5,9,11
4740,4,38,2,7,8
4740,1,25,11,3,3
4740,2,39,3,11,11
4740,5,37,1,3,4
3851,3,17,2,1,1
3851,4,16,0,1,1
3851,2,17,0,1,2
3851,1,14,1,3,0
3851,5,17,0,0,0
3851,6,19,0,0,0
4116,5,43,5,4,10
4116,2,37,4,10,8
4116,3,37,4,6,9
4116,6,34,0,1,3
4116,1,38,13,5,5
4116,4,47,3,9,10
4676,1,36,16,5,6
4676,4,40,0,4,15
4676,5,38,1,3,10
4676,2,34,4,3,9
4676,3,46,6,14,7
4676,6,23,0,2,5
4942,3,34,4,10,8
4942,4,36,5,4,13
4942,2,32,4,10,10
4942,6,37,2,1,4
4942,1,38,19,7,4
4942,5,30,0,5,8
4356,4,49,6,10,10
4356,3,36,7,7,10
4356,1,45,31,9,2
4356,5,39,3,9,9
4356,2,32,5,13,8
4356,6,22,1,0,2
4496,2,53,5,14,16
4496,5,36,5,9,4
4496,4,46,12,14,3
4496,1,77,48,11,8
4496,3,40,8,14,9
4496,6,32,5,10,3
5405,6,88,0,0,5
5405,5,40,0,0,3
5405,4,20,2,0,3
5405,3,1,0,0,1
4297,2,42,4,13,11
4297,5,45,5,13,5
4297,3,49,12,8,9
4297,1,47,34,11,0
4297,6,30,3,1,6
4297,4,45,10,8,6
4989,4,44,5,8,13
4989,3,48,12,13,10
4989,5,31,1,5,7
4989,1,44,30,3,4
4989,2,39,8,13,6
4989,6,42,0,2,8
3708,1,34,15,11,4
3708,4,41,1,6,8
3708,3,27,2,7,5
3708,2,43,3,12,10
3708,5,34,1,2,7
3708,6,29,1,0,3
4466,5,38,0,3,11
4466,3,39,7,8,8
4466,2,47,4,16,11
4466,6,30,0,3,3
4466,4,37,3,8,12
4466,1,41,27,8,4
5242,3,39,1,4,4
5242,2,38,3,4,6
5242,1,21,4,4,2
5242,5,38,2,4,7
5242,6,32,0,3,2
5242,4,23,1,3,1
3743,2,55,9,11,4
3743,3,60,11,14,11
3743,1,64,34,15,4
3743,4,56,7,12,11
3743,5,16,2,2,4
3743,6,6,0,0,0
4122,5,45,1,5,11
4122,6,37,0,3,8
4122,3,48,7,15,4
4122,2,49,3,20,7
4122,1,54,30,9,6
4122,4,45,8,3,15
3463,1,33,7,7,4
3463,5,41,1,4,8
3463,2,37,1,5,14
3463,4,39,3,3,10
3463,6,19,0,1,3
3463,3,37,4,5,7
4633,4,40,2,8,12
4633,2,38,6,6,13
4633,5,35,2,5,11
4633,6,34,0,2,6
4633,1,41,22,9,5
4633,3,45,4,13,11
4207,4,35,10,5,9
4207,1,50,32,7,3
4207,5,34,5,2,5
4207,3,41,10,14,8
4207,2,35,5,13,5
4207,6,35,3,3,5
5211,2,34,0,5,4
5211,1,20,3,5,4
5211,4,37,1,5,6
5211,3,34,1,6,11
5211,6,22,0,2,3
5211,5,33,0,1,3
5131,3,36,0,5,6
5131,6,15,1,0,2
5131,4,31,2,2,8
5131,2,32,3,8,3
5131,5,45,0,2,3
5131,1,18,2,3,0
5419,6,131,0,1,9
5419,5,8,0,0,1
5419,4,8,0,0,0
4363,4,46,7,4,17
4363,5,47,0,10,10
4363,2,47,6,14,7
4363,3,44,3,13,9
4363,1,53,30,13,5
4363,6,42,0,0,13
4150,1,42,26,8,4
4150,4,37,7,6,8
4150,2,37,6,11,6
4150,5,38,3,6,9
4150,3,50,8,11,12
4150,6,37,0,1,5
4519,5,24,6,0,2
4519,2,28,6,9,3
4519,4,29,5,6,6
4519,3,28,4,4,4
4519,1,24,14,6,1
4519,6,15,0,1,1
4893,1,28,10,6,5
4893,4,32,3,5,7
4893,2,31,4,8,6
4893,3,35,6,6,2
4893,5,31,3,7,5
4893,6,23,0,0,2
4918,6,31,0,1,7
4918,2,38,6,3,12
4918,5,36,2,3,8
4918,1,27,18,1,2
4918,4,42,1,8,11
4918,3,42,4,11,9
3981,2,40,3,4,6
3981,3,42,4,5,6
3981,4,41,3,5,8
3981,1,34,19,3,2
3981,6,41,0,1,4
3981,5,42,2,1,6
5347,4,35,0,0,1
5347,6,63,0,0,1
5347,5,45,0,0,2
5347,3,4,0,0,0
3620,3,34,1,3,6
3620,5,29,1,3,2
3620,4,38,3,7,5
3620,1,27,10,4,4
3620,6,21,0,0,2
3620,2,33,2,6,4
3305,2,31,1,6,3
3305,4,31,1,1,6
3305,5,31,1,3,4
3305,1,30,13,5,2
3305,6,25,0,1,0
3305,3,27,1,5,7
3462,3,3,1,1,0
3462,2,7,0,1,2
3462,5,4,0,0,1
3462,6,8,0,1,0
3462,1,4,3,1,0
3462,4,4,0,0,0
3790,6,29,0,2,2
3790,2,39,5,6,9
3790,5,31,0,1,8
3790,1,27,7,5,3
3790,3,33,2,5,5
3790,4,34,0,6,9
3422,4,59,11,16,4
3422,2,40,7,10,4
3422,1,59,40,7,2
3422,5,41,6,10,8
3422,6,22,2,2,4
3422,3,41,8,6,8
4901,5,31,2,1,7
4901,3,29,5,6,5
4901,2,27,3,5,6
4901,1,23,12,1,2
4901,4,31,1,3,7
4901,6,16,0,0,3
3346,1,11,1,3,3
3346,4,10,2,1,0
3346,3,14,0,4,2
3346,5,15,1,0,2
3346,2,14,1,3,2
3346,6,11,0,0,2
3482,5,47,7,5,11
3482,2,45,3,9,13
3482,6,47,0,6,8
3482,4,41,1,6,7
3482,3,47,3,14,8
3482,1,47,20,13,4
3294,4,24,3,3,4
3294,3,25,0,3,2
3294,6,37,0,4,8
3294,5,29,2,4,5
3294,2,26,3,1,4
3294,1,27,6,8,4
4067,2,45,11,16,6
4067,5,45,8,8,8
4067,3,47,9,12,13
4067,6,32,2,7,7
4067,4,50,8,10,9
4067,1,52,31,10,6
5085,6,27,0,0,8
5085,2,35,4,9,10
5085,5,39,2,9,5
5085,1,34,13,9,1
5085,4,40,5,4,10
5085,3,42,7,10,10
3652,1,23,9,8,1
3652,4,33,3,1,3
3652,2,35,0,3,3
3652,3,31,0,1,8
3652,6,20,0,1,1
3652,5,34,0,1,4
4110,3,40,4,6,8
4110,4,34,3,3,3
4110,6,24,0,1,5
4110,2,31,2,6,5
4110,1,27,9,7,1
4110,5,33,1,3,6
3748,1,26,5,4,6
3748,3,34,3,3,11
3748,4,29,1,3,3
3748,6,28,0,2,2
3748,2,43,2,8,13
3748,5,42,2,2,7
4042,2,45,10,16,6
4042,4,46,5,8,12
4042,3,47,6,15,14
4042,5,38,3,9,10
4042,6,49,2,5,9
4042,1,58,35,11,3
3827,4,35,0,1,2
3827,6,25,0,0,1
3827,3,36,0,3,13
3827,5,37,1,4,9
3827,2,37,0,8,4
3827,1,28,5,7,6
4076,3,52,6,13,11
4076,1,47,25,11,1
4076,6,40,0,2,5
4076,2,40,3,6,11
4076,4,45,4,6,12
4076,5,45,2,5,11
4562,6,37,0,1,6
4562,1,32,8,7,6
4562,4,38,2,5,6
4562,3,43,0,7,9
4562,2,40,1,7,7
4562,5,43,2,3,7
4956,5,19,1,4,2
4956,1,14,7,3,0
4956,3,18,0,3,2
4956,6,11,0,0,0
4956,4,14,1,1,2
4956,2,14,0,4,3
4491,1,28,10,2,3
4491,6,33,0,0,2
4491,3,35,1,10,9
4491,4,39,0,6,9
4491,5,31,1,2,6
4491,2,39,0,11,4
4293,2,43,4,13,9
4293,6,44,1,1,7
4293,5,40,3,7,7
4293,1,48,22,14,2
4293,3,38,1,10,10
4293,4,34,0,6,4
5316,4,44,3,12,8
5316,6,39,1,3,8
5316,5,40,1,7,8
5316,3,21,2,5,6
5316,1,15,8,1,1
5316,2,18,0,5,4
3448,3,30,0,8,7
3448,6,19,0,1,3
3448,2,27,3,3,6
3448,4,31,0,4,7
3448,1,24,10,4,5
3448,5,24,1,1,2
3874,6,38,3,7,5
3874,3,41,8,7,12
3874,4,42,8,11,12
3874,1,53,35,12,3
3874,2,42,6,14,5
3874,5,36,5,5,7
4940,5,12,0,0,2
4940,1,12,3,1,0
4940,2,11,0,2,3
4940,6,16,0,1,1
4940,3,12,0,0,2
4940,4,14,0,0,4
4144,5,43,3,14,7
4144,1,42,28,8,3
4144,3,37,5,9,8
4144,2,48,7,18,9
4144,4,36,4,12,9
4144,6,32,0,2,10
3414,2,7,0,1,3
3414,1,6,2,0,1
3414,5,4,0,1,1
3414,3,5,1,0,0
3414,4,4,0,0,1
3414,6,6,0,0,1
4903,4,51,9,7,13
4903,1,56,42,4,2
4903,5,42,9,13,7
4903,2,45,16,10,8
4903,3,44,11,14,9
4903,6,40,5,2,9
4358,1,27,7,8,1
4358,5,34,0,1,5
4358,2,34,3,9,6
4358,4,28,1,3,3
4358,3,31,3,12,1
4358,6,23,0,0,1
5415,6,108,0,0,1
5415,5,15,0,0,0
4992,1,29,18,6,1
4992,2,39,5,7,8
4992,5,38,0,2,3
4992,4,39,8,6,4
4992,6,33,0,0,2
4992,3,36,5,6,4
3993,2,34,5,14,3
3993,1,33,10,3,9
3993,5,38,3,0,9
3993,6,20,0,0,6
3993,4,34,4,7,5
3993,3,34,3,11,9
4043,3,44,10,8,8
4043,6,27,0,3,3
4043,4,41,3,8,14
4043,1,50,27,12,5
4043,2,41,2,12,10
4043,5,44,4,4,12
3968,5,38,2,3,10
3968,3,41,8,7,8
3968,1,41,22,10,5
3968,4,36,3,5,13
3968,6,32,0,3,8
3968,2,38,5,9,9
3951,1,44,18,10,5
3951,3,45,5,8,10
3951,5,47,4,5,7
3951,2,43,9,9,7
3951,6,27,0,0,3
3951,4,44,3,7,12
4460,5,45,3,9,11
4460,1,52,28,8,5
4460,3,43,6,12,11
4460,4,39,5,8,6
4460,6,32,1,2,9
4460,2,43,5,21,7
4678,6,21,0,0,3
4678,5,37,2,1,8
4678,1,27,17,3,3
4678,4,25,0,3,7
4678,2,34,5,9,5
4678,3,25,3,7,5
3745,3,27,0,6,8
3745,6,23,0,3,3
3745,2,28,2,9,6
3745,5,27,2,3,6
3745,1,22,10,4,6
3745,4,20,0,4,6
3929,5,41,3,5,5
3929,6,27,0,2,4
3929,2,30,2,2,10
3929,1,31,10,7,2
3929,3,42,3,4,9
3929,4,34,2,1,6
4437,2,45,6,20,2
4437,3,47,8,14,6
4437,5,46,2,12,9
4437,4,41,5,11,10
4437,6,40,0,3,6
4437,1,54,42,7,1
4872,5,44,2,5,5
4872,2,47,3,10,8
4872,4,48,3,9,10
4872,6,28,0,1,3
4872,1,36,18,7,2
4872,3,44,3,11,9
3538,6,18,0,2,3
3538,1,16,2,4,4
3538,3,23,3,3,4
3538,2,19,2,5,4
3538,4,24,1,4,5
3538,5,20,1,1,1
4022,3,30,3,6,6
4022,1,25,10,2,3
4022,2,27,2,2,8
4022,5,31,0,4,5
4022,4,34,1,4,4
4022,6,19,0,0,2
4469,4,41,4,3,7
4469,3,36,6,9,5
4469,1,46,32,6,2
4469,5,41,6,7,12
4469,6,30,0,1,8
4469,2,36,8,7,8
5100,1,24,7,5,4
5100,4,22,1,4,3
5100,3,30,6,4,5
5100,6,29,0,1,2
5100,2,24,3,3,1
5100,5,26,1,5,4
3619,1,38,14,9,4
3619,2,36,3,12,9
3619,5,33,1,3,4
3619,3,37,4,9,8
3619,4,38,1,7,7
3619,6,32,1,2,0
3251,4,43,9,9,8
3251,1,56,24,14,8
3251,6,39,1,3,13
3251,3,55,5,13,10
3251,2,47,10,11,11
3251,5,48,1,7,10
5107,3,37,2,8,7
5107,2,28,2,4,6
5107,4,36,4,3,6
5107,1,17,9,2,2
5107,5,24,3,3,3
5107,6,29,1,1,4
4434,5,41,2,11,9
4434,2,41,9,9,6
4434,4,43,5,10,12
4434,3,43,9,9,9
4434,1,54,36,12,3
4434,6,29,0,5,5
3583,6,28,0,0,3
3583,1,22,1,9,3
3583,3,28,0,3,5
3583,2,26,0,4,5
3583,5,26,1,4,1
3583,4,28,1,0,4
4429,2,36,2,4,8
4429,5,32,1,1,5
4429,4,41,2,1,8
4429,1,26,10,3,5
4429,3,38,2,4,5
4429,6,28,0,0,1
5223,1,29,11,2,4
5223,3,44,2,6,12
5223,6,35,0,1,4
5223,4,41,7,6,7
5223,5,39,0,7,6
5223,2,43,5,10,7
5012,3,37,7,8,10
5012,1,37,17,8,3
5012,5,28,3,5,5
