regno,course,n,r1,r2,r3
4451,3,44,4,10,9
4451,4,44,1,15,12
4925,5,35,3,4,7
4925,1,41,22,6,8
4925,6,34,2,1,6
4925,2,38,2,11,12
4925,3,42,6,9,11
4925,4,40,7,4,8
4241,1,44,26,8,4
4241,3,50,6,15,13
4241,4,39,1,7,12
4241,5,39,2,5,9
4241,6,33,0,4,9
4241,2,37,2,13,6
4551,6,43,1,5,10
4551,5,42,4,8,9
4551,4,37,5,8,5
4551,1,46,20,12,9
4551,3,37,7,10,10
4551,2,44,7,14,7
3783,1,55,27,13,4
3783,6,32,0,4,8
3783,2,40,11,12,4
3783,3,50,9,12,11
3783,4,36,2,8,11
3783,5,47,5,8,9
4361,2,39,14,10,6
4361,5,32,3,6,10
4361,1,54,46,4,1
4361,3,34,6,9,8
4361,4,41,12,12,9
4361,6,31,2,6,4
4826,3,50,12,14,7
4826,1,61,49,3,3
4826,5,46,7,8,12
4826,4,36,11,9,2
4826,6,39,2,8,8
4826,2,40,5,13,12
4208,4,41,8,9,9
4208,3,40,7,5,9
4208,2,45,8,15,7
4208,5,44,7,5,19
4208,1,61,42,9,5
4208,6,34,3,5,6
4082,6,36,1,6,3
4082,2,35,8,10,4
4082,3,39,6,8,9
4082,1,30,14,8,4
4082,5,46,6,5,7
4082,4,38,4,7,11
4834,5,44,1,2,10
4834,2,43,7,9,8
4834,1,49,34,10,2
4834,3,44,5,9,12
4834,4,51,11,9,9
4834,6,30,0,2,5
4890,1,35,21,3,5
4890,5,41,4,6,8
4890,4,36,5,8,9
4890,2,40,4,14,10
4890,6,34,2,3,7
4890,3,35,4,4,8
4813,4,32,4,5,3
4813,2,31,2,5,2
4813,5,32,0,3,3
4813,3,29,2,2,6
4813,6,29,0,0,6
4813,1,26,7,1,3
3807,5,35,0,1,6
3807,2,43,4,7,10
3807,4,40,1,9,5
3807,1,31,12,10,3
3807,3,35,1,3,13
3807,6,30,1,2,1
4121,6,43,2,1,9
4121,4,30,2,10,6
4121,1,44,25,11,2
4121,2,38,9,13,6
4121,5,34,3,4,10
4121,3,30,5,5,9
4005,3,2,1,0,0
4005,5,3,0,0,1
4005,1,3,0,1,0
4005,6,2,0,0,0
4005,4,3,0,0,1
