regno,n1c,lose,p2_when_lose
3771,36,14,5
4435,27,13,4
4245,28,19,6
4635,26,11,2
5278,62,8,3
4259,49,16,8
4852,66,15,8
3843,32,16,8
5090,25,10,4
4201,22,14,2
3519,25,19,5
4428,42,11,4
4209,44,25,8
4404,21,15,1
5243,34,18,7
4331,39,10,4
4152,30,18,10
4895,27,15,5
4159,54,21,15
4348,45,23,10
4423,31,13,6
3563,37,21,8
4702,45,15,8
5000,24,12,7
5075,50,29,9
4361,54,8,4
4593,43,18,10
4047,26,11,6
4365,38,19,9
5237,18,11,5
3539,30,21,5
5238,43,19,12
5192,28,15,3
4244,18,10,3
5305,14,12,2
5177,23,17,4
5180,8,7,2
4452,48,25,15
5082,30,16,4
5332,23,14,4
5307,25,12,4
5206,18,14,2
5319,23,12,2
5093,38,16,6
3736,3,0,0
5029,49,12,6
5190,18,12,4
5253,11,10,0
4406,25,12,5
2878,39,22,5
4180,32,12,5
5135,40,18,6
3161,40,30,12
4330,46,16,7
4384,59,20,12
3590,60,19,6
5331,27,15,4
4380,30,12,3
4068,32,21,8
5183,30,17,6
4752,25,19,8
5208,25,17,4
5308,19,17,3
3517,31,15,7
4581,53,18,8
4552,32,13,5
4715,37,15,3
5042,51,16,7
4726,9,7,1
4878,24,18,7
3580,31,21,8
4275,21,18,4
4791,34,22,8
4924,29,23,4
4694,27,18,6
4482,55,16,6
3226,36,22,9
3775,29,22,8
3825,23,14,4
3401,27,14,2
3568,29,17,9
4364,55,16,10
4416,32,24,10
3641,46,21,10
4370,66,24,8
4102,47,10,6
4532,55,17,10
4545,57,8,2
4537,52,9,7
4391,57,15,8
4362,45,22,10
4848,48,13,10
4468,48,5,3
4826,60,12,3
4500,55,8,3
4502,58,18,9
4524,53,12,3
4573,44,12,6
4238,47,8,2
4636,23,17,3
5288,23,17,1
3558,30,14,3
4896,24,15,3
4664,18,15,3
4782,15,10,2
4672,25,23,8
4339,28,20,4
3910,26,16,3
3070,19,8,5
3690,30,19,8
4834,46,13,8
5071,28,17,3
4540,38,19,7
4960,58,10,7
3385,38,17,6
3907,42,14,5
4526,26,11,6
5126,47,17,6
4570,52,22,7
4061,55,15,8
5026,55,9,4
4210,47,29,14
4809,35,17,6
5205,42,14,4
4952,21,11,3
3268,30,15,8
3107,19,15,1
4864,28,17,5
4054,31,17,5
3482,47,27,13
4394,37,17,8
5217,38,14,3
5302,19,11,3
5130,32,21,4
5246,27,15,2
5157,33,17,9
5070,19,12,2
5207,19,8,3
5152,19,16,7
4039,41,23,12
5022,20,15,6
4085,18,12,5
5359,22,15,4
5054,36,8,2
4551,45,25,11
4083,57,10,8
4967,50,14,7
3940,66,27,19
4397,59,13,4
4995,28,14,5
5023,29,9,3
4232,25,18,4
5252,36,17,7
3445,28,16,6
4792,24,15,8
3990,26,15,3
4957,30,13,9
4797,34,8,2
5016,50,13,6
4124,48,21,6
4535,48,16,7
5182,27,18,7
4680,36,24,8
5283,10,7,0
4882,12,9,0
4987,25,15,2
5320,22,20,2
4052,49,12,7
4060,29,17,6
4969,22,11,2
5178,27,18,5
3701,19,15,4
4319,43,16,9
4704,55,17,7
3532,40,15,4
4074,52,18,8
4360,37,20,5
4705,23,11,1
4909,29,14,5
4623,32,15,5
4288,73,21,12
4611,46,9,3
4000,63,23,15
5028,54,12,7
4796,49,12,6
3635,35,20,13
4884,29,11,5
4350,59,10,6
3942,65,24,12
4682,48,9,2
3716,50,20,7
4445,44,9,5
4528,45,9,4
4586,45,13,9
4344,50,15,11
4494,42,15,2
4166,66,15,10
4686,49,11,4
3897,43,14,4
3977,32,21,5
3892,30,12,5
4258,29,18,9
4753,18,10,3
4156,45,26,10
4196,25,18,6
4695,29,15,6
4557,31,19,7
4962,46,15,5
4171,61,17,6
4959,54,11,6
4473,32,16,4
4561,44,19,10
4089,51,16,7
4994,52,19,9
5013,38,15,7
3761,32,11,4
5006,19,15,3
4681,22,15,3
5272,26,13,1
3327,45,20,7
5004,30,13,5
4082,29,16,8
4059,34,19,8
4485,35,23,11
4393,22,12,3
4093,31,21,3
3432,28,21,6
4598,43,20,11
4424,53,13,3
3872,52,21,4
4413,53,23,7
5128,17,14,3
4587,49,20,13
3869,23,14,7
4458,26,15,7
4815,23,12,1
4898,22,18,4
3834,26,16,8
4081,31,21,9
4754,44,13,2
4677,36,18,6
4950,43,8,3
4944,17,14,3
3882,30,19,7
5262,24,21,7
3567,20,14,5
4603,33,12,6
3582,46,20,8
4134,46,21,10
4736,53,14,9
4625,23,10,3
4274,26,15,6
4464,34,15,5
4499,24,10,3
5129,31,15,5
5104,33,13,5
4371,48,10,6
3719,46,17,8
4290,53,17,10
4450,39,19,8
5084,48,9,3
4444,46,15,9
4030,46,20,9
3415,55,17,9
4459,51,19,10
4851,45,11,7
4418,59,13,5
3941,62,10,5
4436,46,15,5
3233,30,19,4
3837,40,7,1
3983,44,15,7
4769,55,21,11
4325,30,21,7
4434,53,18,12
4902,30,18,5
4866,16,12,3
4289,43,13,5
4184,47,15,8
3809,16,12,1
4216,43,17,11
3572,44,26,12
4760,70,14,4
3566,27,14,4
4273,33,18,5
4202,30,18,6
4175,34,10,4
4263,38,13,6
4012,41,15,7
5091,24,5,3
5092,41,13,5
5002,47,18,9
4375,48,20,12
5187,19,16,2
4182,37,24,7
4270,28,13,7
4112,31,11,5
5271,18,13,0
3986,26,12,8
4215,52,23,7
4486,32,15,7
5301,29,12,5
5150,42,17,9
5114,50,22,11
4779,27,15,7
5007,28,15,7
4100,29,12,2
4234,22,12,7
4875,31,21,6
4401,36,10,4
4865,15,6,0
3915,48,15,5
4311,68,16,4
3704,21,16,3
5273,31,19,6
5019,27,18,8
5046,25,15,2
3997,68,20,11
4467,53,20,11
4163,58,21,9
4367,22,14,5
3909,52,12,5
4095,65,21,9
3737,55,16,9
3081,19,13,3
3713,33,16,8
3439,42,17,9
5298,48,9,3
5120,29,11,6
3578,20,17,5
3293,26,23,4
5263,24,17,4
5063,21,11,0
4027,38,17,5
4051,45,13,5
4155,47,19,10
4558,22,13,5
4374,26,14,5
4821,27,18,7
4058,54,23,11
3362,38,19,6
4991,45,14,9
4886,42,12,5
4504,54,19,7
4503,65,10,7
5121,49,12,8
4013,59,11,3
4831,39,11,6
4719,63,10,5
4205,52,12,6
4337,61,15,10
4024,46,20,9
4262,65,15,3
4320,48,8,3
4608,44,18,10
4708,23,17,2
3975,29,12,6
3860,26,23,4
4819,40,16,8
4006,25,16,7
5009,37,18,6
4028,50,11,6
5172,35,13,3
3982,28,20,9
5107,17,8,2
4437,53,12,7
5244,16,11,2
3906,27,15,8
4631,27,11,5
4069,52,21,10
5291,24,19,4
5153,27,24,2
4733,23,11,5
4765,26,15,3
5195,29,10,4
4117,46,28,14
4387,62,20,10
5317,30,21,6
4410,30,17,3
5264,29,24,5
4981,27,15,1
5138,13,8,2
4154,36,20,6
4283,25,22,5
4133,46,21,10
4382,25,18,8
4381,48,20,9
5239,35,23,8
3930,39,18,9
5008,21,14,5
4376,51,17,4
4177,27,10,5
5234,57,22,12
3528,27,21,4
5188,42,17,4
3105,27,17,7
4883,26,9,2
3589,24,13,4
5161,34,8,6
4580,40,13,9
4578,42,11,6
3744,64,17,6
4078,2,2,1
4943,22,13,3
3054,25,14,3
4750,23,13,6
3319,34,21,5
5078,25,11,3
3717,27,12,4
3471,24,17,5
3478,26,12,5
3800,29,16,6
3587,32,21,4
4498,14,8,3
4789,34,13,5
3989,21,13,2
4010,20,11,1
5065,23,11,4
4887,34,14,5
3797,29,24,8
5020,21,12,1
3875,27,10,3
4324,80,19,8
4739,54,20,12
4932,54,14,8
4208,60,19,9
4219,21,15,2
3577,27,17,5
4158,28,9,1
4139,26,16,7
4985,64,17,7
4966,41,18,6
5196,45,14,5
4639,27,14,9
5154,20,13,1
5035,27,15,6
