regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
4420,津久井拓也,136,0.176,5,0.2,0.176,全国,48,25,0.32,●,飛ぶ型,34,0.088,0.059,,48,0.479,38,0.132,●,
4421,森作広大,76,0.105,3,0.333,0.105,全国,19,16,0.188,,,25,0.0,0.08,,27,0.185,23,0.043,●,●
4422,永井亮次,95,0.105,2,0.0,0.105,全国,25,10,0.6,,,29,0.069,0.138,,34,0.265,26,0.231,●,
4423,坂口貴彦,124,0.21,0,,0.21,全国,31,13,0.462,,,35,0.057,0.143,,39,0.385,31,0.161,●,
4424,松尾昂明,128,0.242,8,0.25,0.242,全国,53,13,0.231,,,42,0.095,0.262,●,37,0.459,44,0.386,,
4425,大井清貴,86,0.267,0,,0.267,全国,24,11,0.091,,,27,0.0,0.222,,30,0.4,28,0.214,●,
4427,秦英悟,107,0.15,3,0.333,0.15,全国,45,10,0.7,,,30,0.167,0.067,,36,0.5,30,0.367,,
4428,有賀達也,107,0.15,4,0.25,0.15,全国,42,11,0.364,,,35,0.2,0.114,,35,0.429,35,0.286,,
4429,豊田泰洋,101,0.139,3,0.333,0.139,全国,24,14,0.214,,,27,0.0,0.037,,33,0.273,26,0.0,●,
4430,永田秀二,125,0.224,0,,0.224,全国,48,25,0.44,●,,36,0.194,0.222,,35,0.4,38,0.421,,
4431,石塚裕介,90,0.122,0,,0.122,全国,25,12,0.167,,,32,0.0,0.0,,26,0.192,31,0.065,●,●
4432,黄金井力良,118,0.195,7,0.143,0.195,全国,44,23,0.435,●,,31,0.097,0.065,,44,0.409,33,0.152,●,
4433,川野芽唯,123,0.285,0,,0.285,全国,66,14,0.429,,,39,0.026,0.385,,39,0.538,40,0.45,,
4434,田中辰彦,113,0.23,4,0.25,0.23,全国,53,18,0.667,,,29,0.172,0.172,,36,0.472,32,0.344,,
4435,服部達哉,90,0.244,4,0.25,0.244,全国,27,13,0.308,,,30,0.033,0.167,,26,0.5,30,0.2,●,
4436,渋谷明憲,112,0.268,5,0.0,0.268,全国,46,15,0.333,,,36,0.0,0.222,,37,0.649,41,0.341,,
4437,中田元泰,127,0.197,0,,0.197,全国,53,12,0.583,,,39,0.077,0.154,,43,0.465,40,0.275,,
4438,森作雄大,115,0.113,0,,0.113,全国,40,25,0.36,●,飛ぶ型,28,0.0,0.036,,39,0.333,27,0.074,●,
4439,近藤友宝,95,0.116,0,,0.116,全国,26,19,0.474,,,34,0.0,0.059,,37,0.189,28,0.071,●,●
4440,萩原知哉,102,0.167,5,0.4,0.167,全国,24,17,0.294,,,24,0.042,0.125,,37,0.324,24,0.125,●,
4441,末永由楽,121,0.298,4,0.25,0.298,全国,51,22,0.5,●,,39,0.051,0.308,,36,0.417,40,0.4,,
4442,松竹大輔,107,0.168,6,0.5,0.168,全国,32,12,0.5,,,30,0.033,0.2,,36,0.389,31,0.258,,
4443,津田裕絵,120,0.208,4,0.25,0.208,全国,41,21,0.571,●,残す型,29,0.034,0.276,,43,0.326,31,0.355,,
4444,桐生順平,110,0.282,2,0.0,0.282,全国,46,15,0.6,,,35,0.057,0.371,,37,0.459,38,0.5,,
4445,宮地元輝,122,0.189,5,0.0,0.189,全国,44,9,0.556,,,45,0.022,0.156,●,37,0.351,43,0.186,●,
4446,和田兼輔,126,0.254,0,,0.254,全国,59,10,0.5,,,38,0.079,0.289,,38,0.658,46,0.413,,
4447,深川麻奈美,113,0.177,0,,0.177,全国,38,24,0.375,,,32,0.125,0.031,,39,0.385,36,0.25,,
4448,青木玄太,114,0.246,4,0.0,0.246,全国,48,11,0.636,,,31,0.258,0.29,,39,0.487,33,0.606,,
4449,中嶋達也,99,0.131,0,,0.131,全国,25,16,0.312,,,26,0.115,0.038,,29,0.345,24,0.208,●,
4450,平高奈菜,105,0.181,0,,0.181,全国,39,19,0.421,,,32,0.094,0.188,,34,0.5,39,0.308,,
4451,松崎祐太郎,118,0.22,0,,0.22,全国,62,21,0.619,●,残す型,30,0.1,0.2,,39,0.359,43,0.442,,
4452,松尾祭,119,0.202,4,0.0,0.202,全国,48,25,0.6,●,残す型,37,0.081,0.108,,42,0.405,38,0.211,●,
4456,鎌倉涼,104,0.24,0,,0.24,全国,57,12,0.5,,,29,0.103,0.31,,30,0.4,36,0.472,,
4457,神田達也,97,0.144,4,0.0,0.144,全国,24,16,0.25,,,29,0.172,0.069,,32,0.344,25,0.28,,
4458,抹香雄三,105,0.181,3,0.333,0.181,全国,26,15,0.467,,,25,0.04,0.08,,34,0.382,34,0.176,●,
4459,片岡雅裕,118,0.144,0,,0.144,全国,51,19,0.526,,,42,0.095,0.167,●,39,0.179,42,0.31,,●
4460,後藤翔之,116,0.224,10,0.3,0.224,全国,50,23,0.348,●,飛ぶ型,32,0.062,0.281,,40,0.55,43,0.395,,
4461,安田吉宏,93,0.226,4,0.5,0.226,全国,29,21,0.143,,,29,0.034,0.138,,31,0.29,27,0.148,●,
4462,夏山亮平,98,0.204,6,0.0,0.204,全国,27,12,0.167,,,24,0.042,0.25,,37,0.27,26,0.308,,
4463,三苫晃幸,108,0.194,3,0.0,0.194,全国,42,24,0.625,●,残す型,27,0.111,0.222,,34,0.441,35,0.4,,
4464,山下友貴,106,0.274,5,0.0,0.274,全国,34,15,0.333,,,30,0.1,0.167,,36,0.5,31,0.323,,
4465,大西賢,82,0.171,5,0.2,0.171,全国,22,13,0.154,,,26,0.0,0.154,,27,0.296,24,0.167,●,
4466,南佑典,105,0.248,0,,0.248,全国,40,14,0.571,,,30,0.1,0.1,,42,0.31,33,0.273,,
4467,渡邉俊介,132,0.242,0,,0.242,全国,53,20,0.55,●,,32,0.219,0.156,,44,0.386,38,0.474,,
4468,大池佑来,114,0.175,16,0.188,0.175,全国,48,5,0.6,,,40,0.125,0.1,●,43,0.465,40,0.3,,
4469,土山卓也,112,0.241,0,,0.241,全国,45,14,0.429,,,30,0.033,0.267,,36,0.583,34,0.353,,
4470,平田健之佑,96,0.271,0,,0.271,全国,47,15,0.4,,,32,0.156,0.344,,30,0.5,39,0.513,,
4471,新田泰章,132,0.28,4,0.5,0.28,全国,67,9,0.667,,,39,0.128,0.308,,40,0.4,41,0.512,,
4472,尾嶋一広,132,0.25,0,,0.25,全国,50,13,0.538,,,30,0.133,0.3,,43,0.395,35,0.543,,
4473,藤堂里香,95,0.147,0,,0.147,全国,32,16,0.25,,,30,0.133,0.1,,29,0.345,31,0.226,●,
4474,渡辺崇,107,0.215,9,0.111,0.215,全国,29,12,0.333,,,24,0.042,0.083,,37,0.378,29,0.241,●,
4475,末永祐輝,118,0.288,0,,0.288,全国,53,19,0.526,,,35,0.086,0.2,,34,0.412,42,0.357,,
4477,篠崎仁志,111,0.225,0,,0.225,全国,52,12,0.417,,,35,0.171,0.229,,39,0.41,37,0.486,,
4478,櫻本あゆみ,106,0.198,4,0.0,0.198,全国,46,20,0.35,●,飛ぶ型,34,0.029,0.176,,32,0.344,37,0.243,●,
4479,矢野真梨菜,71,0.155,9,0.222,0.155,全国,17,13,0.385,,,16,0.0,0.062,,24,0.125,15,0.133,●,●
4482,守屋美穂,116,0.181,0,,0.181,全国,55,16,0.375,,,27,0.074,0.222,,40,0.4,34,0.353,,
4483,北野輝季,116,0.216,4,0.0,0.216,全国,53,13,0.462,,,32,0.094,0.125,,42,0.571,41,0.415,,
4484,稲生夏季,90,0.222,6,0.0,0.222,全国,25,15,0.2,,,29,0.103,0.069,,30,0.433,27,0.222,●,
4485,楠原正剛,111,0.189,4,0.25,0.189,全国,35,23,0.478,,,29,0.069,0.103,,39,0.385,36,0.222,●,
4486,野村誠,113,0.195,6,0.167,0.195,全国,32,15,0.467,,,30,0.1,0.233,,39,0.462,33,0.364,,
4487,三原司,104,0.183,0,,0.183,全国,26,15,0.267,,,27,0.037,0.259,,38,0.289,29,0.345,,
