regno,選手名,n2,nige,exp,壁力,負けn,自分勝ち率,まくり決着率,壁,弱タイプ
4379,桑島和宏,45,0.6667,0.5716,9.5,15,0.267,0.533,壁強●,
4410,井上大輔,41,0.6829,0.5856,9.7,13,0.231,0.385,壁強●,
4297,山田哲也,41,0.6829,0.583,10.0,13,0.231,0.769,壁強●,
3614,谷勝幸,47,0.6596,0.5588,10.1,16,0.125,0.75,壁強●,
4672,守屋大地,40,0.65,0.5484,10.2,14,0.214,0.643,壁強●,
5220,青木蓮,40,0.675,0.5723,10.3,13,0.538,0.538,壁強●,
4504,前田将太,41,0.7317,0.6284,10.3,11,0.273,0.909,壁強●,
4226,村田浩司,40,0.65,0.5447,10.5,14,0.071,0.857,壁強●,
5105,富田恕生,43,0.6744,0.5681,10.6,14,0.071,0.786,壁強●,
4040,廣瀬将亨,49,0.6735,0.5656,10.8,16,0.188,0.812,壁強●,
3721,守田俊介,40,0.725,0.6145,11.0,11,0.727,0.364,壁強●,
4826,井上一輝,42,0.7381,0.6249,11.3,11,0.545,0.636,壁強●,
4411,沢田昭宏,43,0.6977,0.5827,11.5,13,0.385,0.692,壁強●,
3973,崎利仁,46,0.6522,0.5337,11.8,16,0.125,0.812,壁強●,
4347,魚谷香織,42,0.6905,0.5713,11.9,13,0.385,0.538,壁強●,
4788,小池哲也,46,0.6957,0.5747,12.1,14,0.357,0.643,壁強●,
3822,平尾崇典,48,0.75,0.626,12.4,12,0.5,0.5,壁強●,
5376,吉田一心,40,0.7,0.5753,12.5,12,0.25,0.5,壁強●,
3905,天野友和,44,0.7045,0.5708,13.4,13,0.154,0.846,壁強●,
4002,古結宏,40,0.725,0.5885,13.6,11,0.364,0.455,壁強●,
5109,川崎智稔,40,0.7,0.5639,13.6,12,0.417,0.833,壁強●,
3891,谷口健一,40,0.675,0.5324,14.3,13,0.154,0.538,壁強●,
4030,森高一真,45,0.8222,0.6781,14.4,8,0.25,0.5,壁強●,
3882,新田智彰,40,0.7,0.5452,15.5,12,0.25,0.667,壁強●,
4073,大橋純一郎,41,0.7317,0.5753,15.6,11,0.636,0.455,壁強●,
5004,河野主樹,42,0.7143,0.5516,16.3,12,0.5,0.167,壁強●,
3655,本橋克洋,43,0.7209,0.541,18.0,12,0.0,0.75,壁強●,
3401,上田隆章,40,0.75,0.5644,18.6,10,0.3,0.6,壁強●,
3911,鈴木猛,45,0.7556,0.5634,19.2,11,0.455,0.455,壁強●,
3282,池本輝明,43,0.7442,0.5434,20.1,11,0.0,0.909,壁強●,
