regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
4052,興津藍,116,0.207,8,0.125,0.207,全国,47,13,0.538,,,40,0.025,0.075,●,41,0.415,42,0.119,●,
4053,芦澤望,113,0.221,4,0.25,0.221,全国,44,18,0.444,,,37,0.054,0.162,,36,0.583,37,0.216,●,
4054,福嶋智之,111,0.135,5,0.0,0.135,全国,34,18,0.222,,,44,0.068,0.045,●,34,0.412,40,0.125,●,
4055,吉田俊彦,129,0.209,5,0.2,0.209,全国,51,16,0.562,,,21,0.095,0.095,,48,0.562,38,0.395,,
4056,小西英輝,10,0.4,0,,0.4,全国,3,2,0.5,,,2,0.0,0.0,,3,0.667,3,0.0,,
4057,松井賢治,124,0.177,9,0.111,0.177,全国,47,19,0.789,,,34,0.059,0.147,,36,0.306,41,0.244,●,
4058,野末智一,121,0.289,4,0.5,0.289,全国,58,23,0.522,●,,33,0.061,0.182,,39,0.564,40,0.35,,
4059,入澤友治,99,0.121,0,,0.121,全国,30,18,0.389,,,31,0.129,0.097,,27,0.407,34,0.265,,
4060,島田一生,99,0.131,0,,0.131,全国,29,16,0.375,,,33,0.03,0.091,,37,0.216,31,0.194,●,●
4061,萩原秀人,127,0.252,0,,0.252,全国,64,16,0.5,,,44,0.159,0.159,●,36,0.583,48,0.5,,
4062,後藤陽介,93,0.108,5,0.0,0.108,全国,29,19,0.158,,,29,0.0,0.034,,28,0.179,27,0.111,●,●
4063,市橋卓士,124,0.29,5,0.2,0.29,全国,65,19,0.526,,,29,0.069,0.207,,44,0.636,42,0.452,,
4064,原田篤志,124,0.274,9,0.222,0.274,全国,65,13,0.462,,,36,0.167,0.222,,37,0.568,45,0.467,,
4065,金田幸子,93,0.14,10,0.3,0.14,全国,30,16,0.438,,,28,0.036,0.214,,28,0.393,27,0.296,,
4066,東本勝利,118,0.339,5,0.4,0.339,全国,44,17,0.529,,,40,0.1,0.3,●,37,0.514,38,0.421,,
4067,永井源,123,0.195,3,0.333,0.195,全国,50,22,0.455,●,,30,0.167,0.267,,41,0.561,35,0.4,,
4068,幸田智裕,109,0.303,4,0.5,0.303,全国,33,20,0.35,,,28,0.071,0.179,,42,0.333,28,0.286,,
4069,山本修一,124,0.29,5,0.4,0.29,全国,51,20,0.45,●,,35,0.2,0.257,,43,0.372,38,0.474,,
4071,古賀千晶,73,0.096,0,,0.096,全国,20,11,0.455,,,16,0.062,0.188,,27,0.111,20,0.25,,●
4072,森永淳,99,0.172,14,0.143,0.172,全国,51,11,0.273,,,20,0.0,0.2,,38,0.579,23,0.435,,
4073,大橋純一郎,120,0.208,6,0.167,0.208,全国,55,16,0.5,,,37,0.27,0.135,,37,0.432,40,0.475,,
4074,柳沢一,122,0.287,9,0.333,0.287,全国,56,19,0.316,,,33,0.121,0.212,,36,0.556,38,0.421,,
4075,中野次郎,126,0.206,9,0.444,0.206,全国,50,17,0.529,,,38,0.132,0.132,,40,0.475,39,0.308,,
4076,杉田篤光,140,0.229,0,,0.229,全国,47,24,0.542,●,,38,0.026,0.105,,45,0.289,37,0.216,●,
4077,品田直樹,111,0.162,8,0.125,0.162,全国,39,18,0.167,,,36,0.028,0.139,,40,0.25,35,0.2,●,
4079,出畑孝典,122,0.205,5,0.2,0.205,全国,55,21,0.476,●,,40,0.1,0.125,●,40,0.4,45,0.267,,
4080,山崎哲司,16,0.25,0,,0.25,全国,11,1,0.0,,,4,0.25,0.25,,8,0.5,5,0.8,,
4081,樋口範政,119,0.143,3,0.333,0.143,全国,34,21,0.429,,,32,0.031,0.094,,40,0.175,31,0.194,●,●
4082,濱崎誠,113,0.186,0,,0.186,全国,32,16,0.562,,,37,0.135,0.162,,38,0.342,37,0.324,,
4083,福島勇樹,115,0.235,0,,0.235,全国,59,12,0.667,,,25,0.12,0.32,,45,0.711,39,0.538,,
4084,杉山正樹,131,0.221,14,0.214,0.221,全国,64,20,0.5,●,,45,0.133,0.156,●,41,0.585,49,0.327,,
4085,荻野裕介,84,0.238,0,,0.238,全国,18,10,0.6,,,30,0.067,0.233,,28,0.536,26,0.346,,
4086,寺本重宣,114,0.175,3,0.0,0.175,全国,44,18,0.278,,,35,0.029,0.143,,37,0.432,38,0.184,●,
4089,妹尾忠幸,132,0.333,13,0.385,0.333,全国,51,14,0.429,,,44,0.068,0.295,●,36,0.694,46,0.391,,
4090,中村尊,89,0.202,0,,0.202,全国,33,12,0.5,,,34,0.147,0.206,,31,0.387,32,0.375,,
4092,岡部大輔,81,0.16,9,0.111,0.16,全国,27,9,0.0,,,30,0.1,0.1,,30,0.3,28,0.214,●,
4093,吉田宗弘,87,0.115,3,0.0,0.115,全国,28,19,0.158,,,19,0.053,0.0,,36,0.167,23,0.087,●,●
4094,中島真二,98,0.184,2,0.0,0.184,全国,28,15,0.533,,,23,0.0,0.174,,32,0.156,27,0.222,●,●
4095,福来剛,133,0.203,14,0.357,0.203,全国,61,18,0.444,,,38,0.289,0.158,,40,0.575,41,0.585,,
4096,石橋道友,104,0.212,24,0.125,0.212,全国,53,10,0.4,,,31,0.097,0.355,,37,0.405,35,0.543,,
4097,貫地谷直人,88,0.125,0,,0.125,全国,18,17,0.235,,,26,0.038,0.115,,32,0.219,23,0.13,●,●
4098,赤澤文香,84,0.131,4,0.0,0.131,全国,26,18,0.167,,,20,0.05,0.2,,27,0.185,26,0.269,,●
4099,吉永則雄,107,0.234,3,0.0,0.234,全国,50,17,0.353,,,28,0.143,0.214,,32,0.312,41,0.463,,
4100,松田隆司,111,0.162,14,0.071,0.162,全国,32,14,0.357,,,30,0.033,0.1,,32,0.344,31,0.161,●,
4102,益田啓司,133,0.188,3,0.333,0.188,全国,49,9,0.667,,,44,0.159,0.205,●,42,0.595,39,0.385,,
4103,山崎善庸,86,0.174,5,0.0,0.174,全国,26,21,0.095,,,27,0.0,0.111,,28,0.214,25,0.16,●,●
4104,木下陽介,96,0.156,10,0.0,0.156,全国,25,15,0.467,,,25,0.08,0.04,,27,0.333,27,0.148,●,
4105,松下直也,117,0.248,6,0.333,0.248,全国,41,29,0.345,●,飛ぶ型,32,0.062,0.156,,35,0.371,39,0.282,,
4106,坂井康嗣,84,0.095,10,0.1,0.095,全国,18,16,0.375,,,17,0.0,0.059,,31,0.323,21,0.048,●,
4108,吉村正明,116,0.155,0,,0.155,全国,41,10,0.7,,,31,0.129,0.226,,36,0.444,37,0.378,,
4109,谷津幸宏,121,0.215,5,0.0,0.215,全国,51,16,0.625,,,37,0.081,0.216,,38,0.395,42,0.357,,
4110,小澤和也,87,0.138,0,,0.138,全国,26,17,0.294,,,21,0.048,0.143,,32,0.344,22,0.227,●,
4111,奥田誠,108,0.167,2,0.0,0.167,全国,36,17,0.529,,,31,0.065,0.194,,36,0.389,32,0.281,,
4112,大久保信一郎,104,0.221,5,0.4,0.221,全国,29,10,0.4,,,26,0.077,0.231,,35,0.343,28,0.321,,
4113,木村浩士,106,0.179,4,0.0,0.179,全国,35,20,0.2,,,26,0.115,0.077,,37,0.243,27,0.259,,●
4114,深澤達徳,87,0.195,0,,0.195,全国,22,14,0.286,,,24,0.042,0.208,,31,0.29,25,0.24,●,
4116,川田正人,109,0.22,4,0.5,0.22,全国,30,19,0.263,,,32,0.031,0.125,,31,0.613,34,0.118,●,
4117,廣中智紗衣,100,0.27,0,,0.27,全国,48,28,0.464,●,,28,0.179,0.286,,33,0.485,30,0.533,,
4118,宇佐見淳,136,0.243,4,0.0,0.243,全国,56,22,0.591,●,残す型,40,0.05,0.225,●,45,0.467,43,0.302,,
4119,泥谷一毅,111,0.216,8,0.25,0.216,全国,39,20,0.25,,,24,0.125,0.292,,39,0.231,33,0.394,,●
4120,柘植政浩,130,0.2,6,0.167,0.2,全国,50,16,0.625,,,40,0.05,0.1,●,40,0.5,44,0.159,●,
4121,富永修一,106,0.198,6,0.167,0.198,全国,46,19,0.526,,,41,0.024,0.22,●,31,0.355,41,0.317,,
4122,安東幸治,130,0.262,8,0.125,0.262,全国,55,25,0.4,●,,40,0.075,0.225,●,46,0.391,42,0.333,,
4123,細川裕子,124,0.298,8,0.375,0.298,全国,64,24,0.5,●,,39,0.103,0.231,,40,0.575,40,0.5,,
4124,池田雄一,115,0.313,8,0.375,0.313,全国,51,18,0.278,,,38,0.026,0.368,,36,0.444,45,0.4,,
4128,川口貴久,96,0.208,0,,0.208,全国,30,17,0.235,,,33,0.0,0.152,,38,0.526,32,0.188,●,
4129,宇野博之,102,0.098,0,,0.098,全国,29,25,0.2,,,27,0.037,0.0,,33,0.212,31,0.097,●,●
4131,原豊土,93,0.204,0,,0.204,全国,32,11,0.455,,,30,0.1,0.133,,31,0.419,29,0.276,,
4133,高橋正男,108,0.222,0,,0.222,全国,48,21,0.429,●,,36,0.139,0.25,,32,0.375,37,0.459,,
