登番,全国1コ走数,全国逃げ率
4377,56,69.6
4379,52,63.5
4380,31,54.8
4381,49,57.1
4382,26,26.9
4383,47,44.7
4384,64,64.1
4387,62,67.7
4388,50,60.0
4389,30,36.7
4390,27,22.2
4391,57,71.9
4393,24,45.8
4394,38,57.9
4395,40,42.5
4396,40,40.0
4397,59,78.0
4398,65,76.9
4400,25,16.0
4401,42,64.3
4402,45,66.7
4403,35,68.6
4404,24,29.2
4405,29,24.1
4406,26,46.2
4407,36,41.7
4409,55,76.4
4410,33,42.4
4411,48,58.3
4413,53,58.5
4414,23,34.8
4415,48,70.8
4416,34,23.5
4417,30,40.0
4418,61,78.7
4419,25,44.0
4420,48,52.1
4421,21,14.3
4422,27,59.3
4423,33,54.5
4424,55,78.2
4425,25,48.0
4427,46,82.6
4428,43,74.4
4429,27,40.7
4430,50,48.0
4431,25,52.0
4432,45,44.4
4433,65,80.0
4434,54,66.7
4435,27,55.6
4436,49,67.3
4437,54,77.8
4438,38,36.8
4439,24,29.2
4440,26,34.6
4441,51,56.9
4442,33,60.6
4443,42,50.0
4444,47,68.1
4445,45,77.8
4446,57,82.5
4447,42,38.1
4448,49,79.6
4449,26,30.8
4450,38,50.0
4451,68,64.7
4452,48,52.1
4456,57,77.2
4457,27,37.0
4458,29,44.8
4459,52,63.5
4460,53,52.8
4461,28,25.0
4462,25,52.0
4463,44,38.6
4464,31,51.6
4465,23,43.5
4466,37,64.9
4467,53,64.2
4468,49,89.8
4469,45,68.9
4470,48,70.8
4471,66,86.4
4472,52,76.9
4473,30,50.0
4474,31,51.6
4475,56,66.1
4477,50,76.0
4478,48,58.3
4482,58,70.7
4483,56,75.0
4484,26,34.6
4485,38,34.2
4486,31,54.8
4487,28,42.9
4488,51,70.6
4489,33,51.5
4491,27,44.4
4494,45,66.7
4495,21,66.7
4496,71,63.4
4497,47,74.5
4499,23,60.9
4500,57,82.5
4501,49,57.1
4502,57,68.4
4503,63,82.5
4504,53,69.8
4505,42,76.2
4506,43,65.1
4508,27,44.4
4509,41,53.7
4511,29,37.9
4512,64,85.9
4513,48,60.4
4514,64,71.9
4515,55,74.5
4516,61,62.3
4518,51,70.6
4519,27,55.6
4520,30,50.0
4521,43,51.2
4522,50,78.0
4523,37,51.4
4524,55,78.2
4525,22,40.9
4526,32,65.6
4527,24,41.7
4528,53,79.2
4529,42,61.9
4530,56,80.4
4531,46,76.1
4532,59,69.5
4535,49,67.3
4536,48,58.3
4537,54,81.5
4538,38,44.7
4539,48,77.1
4540,39,51.3
4543,58,69.0
4544,83,74.7
4545,57,86.0
4546,39,64.1
4547,52,53.8
4549,39,56.4
4550,32,43.8
4551,49,38.8
4552,35,60.0
4553,35,74.3
4555,44,56.8
4556,46,76.1
4557,32,37.5
4558,21,42.9
4560,38,57.9
4561,46,56.5
4562,31,22.6
4563,20,55.0
4564,29,27.6
4565,29,34.5
4566,49,79.6
4567,22,22.7
4568,39,64.1
4569,21,42.9
4570,55,54.5
4571,35,57.1
4572,41,61.0
4573,43,74.4
4574,32,46.9
4575,39,74.4
4578,43,72.1
4579,51,66.7
4580,39,66.7
4581,59,64.4
4583,51,56.9
4584,54,59.3
4586,45,73.3
4587,47,57.4
4588,46,58.7
4589,23,52.2
4590,60,66.7
4592,25,24.0
4593,43,58.1
4594,46,67.4
4596,56,57.1
4598,44,56.8
4600,48,72.9
4601,54,64.8
4603,33,63.6
4604,62,87.1
4607,49,53.1
4608,45,55.6
4610,47,61.7
4611,47,78.7
4614,58,74.1
4615,22,31.8
4618,25,40.0
4619,24,54.2
4623,35,54.3
4624,46,76.1
4625,24,58.3
4626,24,45.8
4627,38,50.0
4630,45,53.3
4631,28,57.1
4632,21,42.9
4633,42,52.4
4635,27,48.1
4636,26,26.9
4637,33,57.6
4638,30,43.3
4639,31,51.6
4640,59,59.3
4641,24,45.8
4642,52,82.7
4643,47,80.9
4644,40,60.0
4645,49,71.4
4648,25,36.0
4649,48,50.0
4650,20,65.0
4652,34,41.2
4653,59,81.4
4654,47,66.0
4656,27,44.4
4659,58,81.0
4661,28,35.7
4665,23,17.4
4669,23,34.8
