登番,全国1コ走数,全国逃げ率
5095,40,65.0
5096,46,65.2
5098,27,37.0
5100,24,25.0
5102,32,53.1
5104,38,57.9
5105,22,50.0
5106,33,48.5
5109,31,38.7
5110,38,42.1
5111,21,52.4
5112,50,72.0
5114,60,60.0
5115,26,61.5
5118,29,51.7
5120,31,58.1
5121,52,75.0
5123,33,45.5
5125,49,65.3
5126,54,64.8
5127,26,38.5
5129,32,50.0
5130,31,29.0
5131,20,15.0
5132,70,58.6
5133,29,48.3
5134,44,65.9
5135,38,55.3
5136,57,66.7
5137,23,47.8
5139,40,67.5
5140,26,30.8
5141,48,62.5
5142,65,75.4
5143,21,9.5
5144,29,41.4
5145,56,73.2
5146,27,51.9
5147,20,25.0
5148,21,47.6
5150,43,60.5
5151,21,23.8
5152,21,14.3
5153,29,10.3
5154,27,40.7
5155,32,40.6
5156,26,34.6
5157,33,42.4
5158,50,72.0
5160,42,59.5
5161,39,71.8
5163,45,71.1
5165,26,30.8
5166,48,58.3
5167,29,34.5
5170,24,50.0
5172,35,60.0
5173,31,71.0
5177,24,29.2
5178,31,35.5
5181,25,48.0
5182,30,30.0
5183,28,42.9
5185,29,41.4
5186,21,38.1
5187,21,14.3
5188,45,57.8
5189,37,45.9
5190,23,26.1
5191,57,77.2
5192,31,51.6
5193,60,70.0
5194,27,51.9
5195,27,66.7
5196,50,68.0
5199,26,46.2
5203,27,55.6
5205,41,65.9
5206,25,32.0
5207,21,61.9
5208,27,33.3
5210,21,47.6
5211,21,14.3
5212,34,61.8
5213,35,60.0
5214,28,42.9
5216,57,61.4
5217,40,67.5
5218,50,70.0
5220,54,64.8
5221,64,71.9
5222,52,69.2
5223,29,37.9
5224,60,73.3
5226,31,71.0
5228,27,77.8
5229,45,60.0
5230,22,45.5
5231,31,58.1
5232,25,44.0
5234,56,58.9
5238,43,55.8
5239,34,32.4
5240,26,50.0
5241,24,29.2
5242,25,28.0
5243,40,47.5
5244,21,38.1
5245,24,33.3
5246,31,45.2
5247,28,21.4
5248,21,9.5
5249,31,29.0
5250,21,33.3
5252,40,52.5
5255,46,71.7
5256,58,75.9
5257,62,66.1
5258,24,50.0
5261,22,40.9
5262,23,13.0
5263,26,30.8
5264,28,17.9
5265,22,31.8
5266,32,40.6
5267,54,74.1
5269,38,73.7
5270,23,21.7
5271,20,30.0
5272,26,50.0
5273,30,40.0
5274,25,68.0
5275,47,63.8
5276,33,39.4
5277,29,44.8
5278,65,86.2
5279,36,58.3
5280,45,82.2
5281,41,70.7
5282,30,50.0
5285,28,25.0
5286,28,39.3
5287,20,10.0
5288,22,27.3
5289,32,59.4
5290,26,19.2
5291,22,18.2
5292,24,25.0
5294,26,34.6
5296,21,33.3
5298,51,78.4
5299,28,64.3
5301,33,57.6
5302,21,47.6
5303,30,50.0
5306,25,8.0
5307,29,51.7
5308,21,14.3
5311,25,52.0
5312,23,34.8
5317,31,32.3
5319,25,44.0
5320,23,8.7
5321,22,40.9
5325,23,47.8
5326,25,32.0
5330,37,81.1
5331,27,44.4
5332,24,41.7
5334,24,16.7
5350,22,18.2
5352,20,45.0
5359,22,31.8
