regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
3953,志道吉和,74.0,0.068,7.0,0.0,0.068,全国,19.0,12.0,0.25,,,24.0,0.0,0.0,,25,0.12,20,0.0,●,●
4253,西川真人,114.0,0.167,8.0,0.375,0.167,全国,31.0,19.0,0.316,,,24.0,0.0,0.042,,42,0.214,25,0.08,●,●
4772,石丸海渡,106.0,0.217,8.0,0.375,0.217,全国,51.0,14.0,0.643,,,34.0,0.147,0.147,,27,0.519,37,0.378,,
4111,奥田誠,102.0,0.157,,,0.157,全国,30.0,14.0,0.571,,,28.0,0.036,0.143,,34,0.353,29,0.207,●,
4296,岡崎恭裕,79.0,0.253,3.0,0.0,0.253,全国,41.0,11.0,0.636,,,20.0,0.2,0.2,,26,0.462,26,0.538,,
3663,木山和幸,113.0,0.239,8.0,0.125,0.239,全国,44.0,21.0,0.619,○,,32.0,0.062,0.281,,38,0.289,36,0.361,,
4812,西野雄貴,105.0,0.219,,,0.219,全国,49.0,8.0,0.375,,,28.0,0.179,0.286,,38,0.579,36,0.472,,
5041,荒牧凪沙,95.0,0.126,,,0.126,全国,25.0,13.0,0.462,,,36.0,0.083,0.083,,34,0.265,34,0.206,●,
4879,山崎鉄平,108.0,0.139,5.0,0.2,0.139,全国,29.0,21.0,0.476,,,41.0,0.098,0.122,○,32,0.438,35,0.2,●,
4475,末永祐輝,118.0,0.288,5.0,0.0,0.288,全国,57.0,21.0,0.524,○,,36.0,0.083,0.222,,34,0.412,42,0.357,,
4456,鎌倉涼,104.0,0.24,,,0.24,全国,57.0,12.0,0.5,,,29.0,0.103,0.31,,30,0.4,36,0.472,,
5203,神里琴音,96.0,0.167,4.0,0.25,0.167,全国,25.0,12.0,0.5,,,25.0,0.04,0.12,,32,0.312,24,0.167,●,
3551,藤田美代,77.0,0.091,5.0,0.0,0.091,全国,21.0,16.0,0.312,,,20.0,0.0,0.1,,27,0.185,20,0.1,●,●
5335,森陽多,104.0,0.048,5.0,0.2,0.048,全国,10.0,7.0,0.143,,,46.0,0.043,0.022,○,31,0.097,42,0.095,●,●
3704,本部めぐみ,77.0,0.078,15.0,0.2,0.078,全国,21.0,16.0,0.188,,,21.0,0.048,0.0,,27,0.111,23,0.043,●,●
3357,福島陽子,94.0,0.106,,,0.106,全国,30.0,24.0,0.333,,,25.0,0.0,0.04,,34,0.176,26,0.038,●,●
4014,片岡恵里,110.0,0.173,,,0.173,全国,47.0,19.0,0.421,,,34.0,0.059,0.176,,30,0.3,39,0.282,,
5264,登みひ果,114.0,0.158,,,0.158,全国,29.0,24.0,0.208,,,43.0,0.07,0.163,○,41,0.317,38,0.342,,
4765,野田部宏子,93.0,0.129,,,0.129,全国,27.0,16.0,0.188,,,25.0,0.04,0.08,,31,0.387,26,0.154,●,
4525,真子奈津実,80.0,0.175,,,0.175,全国,23.0,13.0,0.308,,,17.0,0.0,0.118,,33,0.333,19,0.158,●,
5296,永田楽,107.0,0.103,,,0.103,全国,19.0,13.0,0.308,,,34.0,0.0,0.059,,39,0.205,27,0.037,●,●
4317,木村紗友希,99.0,0.091,5.0,0.2,0.091,全国,28.0,15.0,0.267,,,25.0,0.0,0.08,,36,0.167,26,0.115,●,●
4556,竹井奈美,93.0,0.323,,,0.323,全国,48.0,12.0,0.667,,,27.0,0.148,0.185,,26,0.577,27,0.444,,
5250,嶋田有里,91.0,0.121,,,0.121,全国,21.0,13.0,0.231,,,28.0,0.0,0.071,,29,0.345,29,0.138,●,
4240,今井裕梨,96.0,0.208,,,0.208,全国,43.0,18.0,0.444,,,34.0,0.118,0.059,,33,0.424,37,0.243,●,
5340,樋江井舞,161.0,0.143,8.0,0.125,0.143,全国,7.0,6.0,0.167,,,60.0,0.067,0.067,○,54,0.278,54,0.167,●,
3994,小野桜,86.0,0.198,5.0,0.0,0.198,全国,28.0,18.0,0.389,,,20.0,0.05,0.1,,32,0.188,22,0.182,●,●
5272,松田真実,94.0,0.128,4.0,0.25,0.128,全国,27.0,13.0,0.077,,,28.0,0.036,0.143,,33,0.212,28,0.179,●,●
4045,佐々木裕美,82.0,0.085,3.0,0.0,0.085,全国,30.0,18.0,0.444,,,19.0,0.053,0.105,,32,0.188,20,0.15,●,●
