regno,選手名,全国ダッシュn,全国ダッシュST,全国スローn,全国スローST,当地ダッシュn,当地ダッシュST,当地スローn,当地スローST,採用スローST,スロー源,スロー遅れ,スロー巧者,採用ダッシュST,ダッシュ源,ダッシュ遅れ,ダッシュ巧者
5108,柴田愛梨,50.0,0.258,43.0,0.262,,,,,0.262,全国,●,,0.258,全国,●,
5109,川崎智稔,107.0,0.135,111.0,0.147,8.0,0.156,9.0,0.173,0.147,全国,,,0.135,全国,,
5110,杉山喜一,108.0,0.16,122.0,0.15,4.0,0.088,5.0,0.162,0.15,全国,,,0.16,全国,,
5111,三村岳人,84.0,0.152,79.0,0.171,4.0,0.098,6.0,0.145,0.171,全国,,,0.152,全国,,
5112,砂長知輝,112.0,0.17,141.0,0.138,5.0,0.166,6.0,0.153,0.138,全国,,,0.17,全国,,
5113,黒明花夢,51.0,0.195,49.0,0.203,,,,,0.203,全国,●,,0.195,全国,●,
5114,小林孝彰,122.0,0.171,152.0,0.16,5.0,0.194,5.0,0.138,0.16,全国,,,0.171,全国,,
5115,香川颯太,83.0,0.162,80.0,0.141,,,,,0.141,全国,,,0.162,全国,,
5117,冨名腰桃奈,71.0,0.188,69.0,0.172,,,,,0.172,全国,,,0.188,全国,●,
5118,野田なづき,84.0,0.181,88.0,0.185,3.0,0.203,4.0,0.18,0.185,全国,●,,0.181,全国,●,
5120,山本稔太朗,74.0,0.159,88.0,0.151,4.0,0.195,3.0,0.207,0.151,全国,,,0.159,全国,,
5121,定松勇樹,113.0,0.129,136.0,0.138,,,,,0.138,全国,,,0.129,全国,,●
5122,相馬翔,70.0,0.202,65.0,0.157,5.0,0.222,4.0,0.138,0.157,全国,,,0.202,全国,●,
5123,福山恵里奈,104.0,0.155,104.0,0.157,,,,,0.157,全国,,,0.155,全国,,
5124,上瀧絢也,78.0,0.163,67.0,0.176,4.0,0.18,4.0,0.158,0.176,全国,,,0.163,全国,,
5125,高井雄基,90.0,0.199,106.0,0.171,8.0,0.198,12.0,0.178,0.178,当地,,,0.199,全国,●,
5126,山下大輝,116.0,0.152,128.0,0.146,5.0,0.13,6.0,0.188,0.146,全国,,,0.152,全国,,
5127,沼田大都,81.0,0.219,80.0,0.201,5.0,0.244,4.0,0.128,0.201,全国,●,,0.219,全国,●,
5128,坪井爽佑,77.0,0.181,71.0,0.185,8.0,0.139,10.0,0.166,0.166,当地,,,0.181,全国,●,
5129,山口真喜子,101.0,0.166,100.0,0.173,5.0,0.194,4.0,0.17,0.173,全国,,,0.166,全国,,
5130,上野拓馬,107.0,0.171,113.0,0.165,31.0,0.166,33.0,0.161,0.161,当地,,,0.166,当地,,
5131,江藤敦宏,91.0,0.161,86.0,0.197,,,,,0.197,全国,●,,0.161,全国,,
5132,中野希一,112.0,0.128,152.0,0.135,,,,,0.135,全国,,,0.128,全国,,●
5133,堀越雄貴,94.0,0.196,96.0,0.191,5.0,0.224,4.0,0.19,0.191,全国,●,,0.196,全国,●,
5134,大原祥昌,99.0,0.156,114.0,0.147,8.0,0.179,8.0,0.115,0.147,全国,,,0.156,全国,,
5135,仲航太,102.0,0.192,98.0,0.147,12.0,0.192,13.0,0.153,0.153,当地,,,0.192,当地,●,
5136,濱野斗馬,116.0,0.166,142.0,0.141,4.0,0.198,5.0,0.162,0.141,全国,,,0.166,全国,,
5137,川原涼,102.0,0.182,71.0,0.169,,,,,0.169,全国,,,0.182,全国,●,
5138,村本大成,54.0,0.192,57.0,0.189,5.0,0.162,4.0,0.152,0.189,全国,●,,0.192,全国,●,
