ym,touban,slow_n,slow_sum,dash_n,dash_sum
2025-07,3445,5,0.63,5,0.83
2025-07,3448,12,2.47,7,1.44
2025-07,3454,9,1.57,10,1.21
2025-07,3455,9,1.78,11,2.38
2025-07,3458,5,0.76,6,0.96
2025-07,3459,8,1.19,12,2.51
2025-07,3461,5,1.35,8,2.02
2025-07,3462,5,1.09,8,1.35
2025-07,3463,8,1.52,7,1.72
2025-07,3467,6,0.93,5,0.85
2025-07,3470,10,1.61,5,0.72
2025-07,3471,9,1.64,9,1.47
2025-07,3473,29,4.39,0,0.0
2025-07,3474,9,1.65,10,1.89
2025-07,3477,7,1.41,7,1.22
2025-07,3478,11,1.8,11,1.74
2025-07,3482,15,2.56,13,2.03
2025-07,3484,11,1.94,8,1.19
2025-07,3489,9,1.6,8,1.18
2025-07,3497,5,0.71,6,1.3
2025-07,3499,7,0.87,7,0.99
2025-07,3502,9,1.9,8,1.46
2025-07,3503,12,1.72,11,1.79
2025-07,3505,5,0.66,7,0.56
2025-07,3507,6,1.16,4,0.99
2025-07,3508,4,0.82,7,1.39
2025-07,3509,5,0.91,5,0.61
2025-07,3514,5,0.77,5,1.0
2025-07,3516,12,1.96,11,1.79
2025-07,3517,10,1.07,9,1.36
2025-07,3518,8,1.44,11,2.41
2025-07,3519,10,1.72,11,2.12
2025-07,3523,8,1.55,8,1.2
2025-07,3527,15,2.11,13,2.27
2025-07,3528,8,1.66,11,2.09
2025-07,3532,19,2.79,1,0.02
2025-07,3535,10,1.84,11,1.77
2025-07,3538,10,1.98,10,1.99
2025-07,3539,14,2.44,9,1.63
2025-07,3541,15,2.19,10,1.63
2025-07,3542,21,4.15,1,0.16
2025-07,3546,13,3.15,10,2.03
2025-07,3548,10,1.2,9,1.17
2025-07,3550,14,2.19,11,2.0
2025-07,3551,9,1.46,5,1.07
2025-07,3554,20,3.8,8,1.56
2025-07,3556,14,2.24,12,1.53
2025-07,3557,13,1.78,8,1.5
2025-07,3558,11,1.32,5,0.43
2025-07,3562,10,1.69,11,1.51
2025-07,3563,12,1.81,6,1.16
2025-07,3564,5,0.9,4,0.95
2025-07,3566,8,1.49,7,1.28
2025-07,3567,5,0.9,6,0.81
