regno,選手名,n2,nige,exp,壁力,負けn,自分勝ち率,まくり決着率,壁,弱タイプ
4958,溝口海義也,53,0.434,0.5652,-13.1,30,0.433,0.5,壁弱●,食う型
3072,西田靖,145,0.3931,0.5217,-12.9,88,0.08,0.795,壁弱●,素通し型
4963,實森美祐,47,0.4681,0.5965,-12.8,25,0.48,0.6,壁弱●,食う型
4983,前田篤哉,51,0.451,0.5794,-12.8,28,0.5,0.429,壁弱●,食う型
3268,森竜也,55,0.4,0.5269,-12.7,33,0.182,0.485,壁弱●,素通し型
4899,占部一真,42,0.4286,0.5555,-12.7,24,0.208,0.708,壁弱●,素通し型
4286,平田さやか,52,0.3846,0.511,-12.6,32,0.188,0.625,壁弱●,素通し型
4390,松本弓雄,42,0.4286,0.5511,-12.3,24,0.042,0.792,壁弱●,素通し型
4269,杉山裕也,50,0.48,0.6019,-12.2,26,0.346,0.462,壁弱●,素通し型
4099,吉永則雄,48,0.4375,0.5562,-11.9,27,0.333,0.593,,
4251,川崎誠志,56,0.4286,0.548,-11.9,32,0.25,0.75,,
4324,海野康志郎,82,0.5,0.6172,-11.7,41,0.463,0.488,,
4344,新田雄史,44,0.5682,0.6852,-11.7,19,0.526,0.421,,
4036,金田諭,42,0.4524,0.5686,-11.6,23,0.304,0.565,,
3814,金子貴志,46,0.4565,0.5719,-11.5,25,0.12,0.8,,
5132,中野希一,51,0.451,0.5646,-11.4,28,0.536,0.464,,
3623,深川真二,157,0.4713,0.5845,-11.3,83,0.398,0.554,,
3918,深井利寿,48,0.4583,0.5718,-11.3,26,0.308,0.615,,
4012,中村有裕,47,0.4468,0.5587,-11.2,26,0.462,0.538,,
3956,横澤剛治,46,0.4565,0.5674,-11.1,25,0.44,0.72,,
3983,須藤博倫,52,0.4615,0.5706,-10.9,28,0.464,0.464,,
4365,盛本真輔,41,0.4634,0.57,-10.7,22,0.273,0.955,,
4886,入海馨,49,0.5306,0.6372,-10.7,23,0.348,0.609,,
5029,中亮太,42,0.4762,0.5836,-10.7,22,0.5,0.591,,
5058,前原大道,55,0.4727,0.5797,-10.7,29,0.448,0.517,,
5087,佐藤航,43,0.4651,0.5725,-10.7,23,0.478,0.435,,
4861,田中宏樹,47,0.4468,0.5531,-10.6,26,0.231,0.538,,
5051,松本純平,46,0.4783,0.5845,-10.6,24,0.333,0.625,,
3737,上平真二,44,0.5,0.6047,-10.5,22,0.364,0.545,,
4769,馬場剛,42,0.4286,0.5334,-10.5,24,0.417,0.792,,
3265,今村暢孝,137,0.4672,0.5712,-10.4,73,0.247,0.616,,
4256,渡辺浩司,45,0.5333,0.6369,-10.4,21,0.381,0.619,,
4118,宇佐見淳,43,0.4651,0.5666,-10.1,23,0.348,0.565,,
4413,水摩敦,61,0.4426,0.5435,-10.1,34,0.206,0.559,,
4590,渡邉優美,44,0.5,0.6005,-10.1,22,0.636,0.455,,
5191,飛田江己,59,0.5085,0.6096,-10.1,29,0.448,0.724,,
3731,高濱芳久,58,0.4483,0.5487,-10.0,32,0.219,0.562,,
4914,吉田裕平,40,0.6,0.6992,-9.9,16,0.375,0.688,,
5276,大島隆乃介,43,0.4651,0.5641,-9.9,23,0.261,0.609,,
3251,平石和男,51,0.4706,0.5686,-9.8,27,0.407,0.444,,
5188,武井莉里佳,41,0.4634,0.5606,-9.7,22,0.5,0.545,,
3783,瓜生正義,41,0.561,0.657,-9.6,18,0.611,0.389,,
4266,長田頼宗,43,0.5581,0.6539,-9.6,19,0.421,0.579,,
5229,吉川晴人,47,0.4681,0.5645,-9.6,25,0.24,0.72,,
4199,北川潤二,102,0.4706,0.5652,-9.5,54,0.296,0.667,,
4794,和田拓也,40,0.475,0.5697,-9.5,21,0.571,0.667,,
5141,大澤風葵,41,0.4878,0.5831,-9.5,21,0.286,0.524,,
3541,三嶌誠司,45,0.5111,0.6055,-9.4,22,0.227,0.591,,
3747,國崎良春,44,0.4773,0.5709,-9.4,23,0.261,0.478,,
3872,岡田憲行,44,0.4773,0.5708,-9.4,23,0.13,0.696,,
4403,木下大將,47,0.4894,0.583,-9.4,24,0.542,0.417,,
4448,青木玄太,47,0.5106,0.6029,-9.2,23,0.435,0.739,,
4736,高倉和士,41,0.4878,0.5801,-9.2,21,0.571,0.429,,
4816,村松修二,40,0.425,0.5175,-9.2,23,0.435,0.783,,
4560,庄司樹良々,43,0.4419,0.5318,-9.0,24,0.375,0.542,,
3959,坪井康晴,41,0.5366,0.626,-8.9,19,0.474,0.579,,
4055,吉田俊彦,63,0.4921,0.5807,-8.9,32,0.531,0.406,,
4119,泥谷一毅,44,0.4773,0.5664,-8.9,23,0.217,0.652,,
5045,平川香織,50,0.48,0.5693,-8.9,26,0.5,0.5,,
3542,清水紀克,136,0.4485,0.5365,-8.8,75,0.053,0.813,,
4089,妹尾忠幸,44,0.5,0.5874,-8.7,22,0.136,0.909,,
4433,川野芽唯,52,0.5,0.5868,-8.7,26,0.654,0.538,,
4483,北野輝季,46,0.5217,0.6083,-8.7,22,0.5,0.5,,
4719,上條暢嵩,41,0.6098,0.6963,-8.7,16,0.625,0.688,,
4852,川原祐明,42,0.4762,0.5636,-8.7,22,0.682,0.591,,
4205,山口剛,41,0.5854,0.6714,-8.6,17,0.471,0.588,,
4210,松村康太,45,0.4667,0.5531,-8.6,24,0.167,0.875,,
4909,薮内瑞希,40,0.425,0.511,-8.6,23,0.174,0.783,,
3362,間嶋仁志,99,0.4545,0.5395,-8.5,54,0.241,0.685,,
3965,北中元樹,47,0.4681,0.5529,-8.5,25,0.32,0.76,,
4239,竹田辰也,47,0.5106,0.5961,-8.5,23,0.478,0.391,,
4537,渡邉和将,59,0.5085,0.5936,-8.5,29,0.621,0.448,,
4787,椎名豊,45,0.5111,0.5961,-8.5,22,0.727,0.727,,
5160,藤森陸斗,51,0.4706,0.556,-8.5,27,0.259,0.704,,
4288,永田啓二,56,0.5,0.5842,-8.4,28,0.643,0.464,,
4739,中村晃朋,58,0.5,0.5837,-8.4,29,0.345,0.655,,
3508,久富政弘,44,0.4545,0.5378,-8.3,24,0.125,0.667,,
3663,木山和幸,44,0.5,0.5833,-8.3,22,0.182,0.545,,
4521,小池公生,40,0.475,0.5578,-8.3,21,0.238,0.476,,
4883,岡部大輝,40,0.475,0.5574,-8.2,21,0.381,0.524,,
4237,大峯豊,45,0.5556,0.6362,-8.1,20,0.45,0.5,,
5127,沼田大都,40,0.475,0.5559,-8.1,21,0.19,0.667,,
5224,西岡顕心,46,0.5435,0.6241,-8.1,21,0.571,0.619,,
4122,安東幸治,53,0.5094,0.5895,-8.0,26,0.154,0.538,,
4704,河野大,57,0.5088,0.5886,-8.0,28,0.393,0.571,,
5076,石原光,47,0.4894,0.5693,-8.0,24,0.292,0.542,,
4737,竹井貴史,50,0.5,0.5785,-7.9,25,0.72,0.48,,
4856,豊田健士郎,52,0.5577,0.6362,-7.9,23,0.565,0.652,,
4458,抹香雄三,51,0.4706,0.5491,-7.8,27,0.296,0.667,,
3960,菊地孝平,42,0.5476,0.6246,-7.7,19,0.368,0.474,,
5252,荒木颯斗,49,0.4694,0.5464,-7.7,26,0.346,0.692,,
5275,松田淳平,47,0.4894,0.5666,-7.7,24,0.667,0.417,,
5298,水谷理人,44,0.5,0.5774,-7.7,22,0.5,0.409,,
4278,藤岡俊介,53,0.5094,0.5855,-7.6,26,0.615,0.308,,
5280,廣瀬凜,56,0.5179,0.5943,-7.6,27,0.556,0.444,,
3966,作間章,48,0.4792,0.5545,-7.5,25,0.4,0.6,,
4825,倉持莉々,40,0.475,0.5494,-7.4,21,0.476,0.524,,
3297,藤丸光一,69,0.4638,0.5367,-7.3,37,0.162,0.676,,
4434,田中辰彦,40,0.475,0.5482,-7.3,21,0.381,0.524,,
4503,上野真之介,42,0.5476,0.6207,-7.3,19,0.316,0.737,,
4518,大須賀友,40,0.5,0.5727,-7.3,20,0.45,0.7,,
5028,原田才一郎,49,0.5102,0.583,-7.3,24,0.5,0.458,,
4042,丸岡正典,46,0.5435,0.6155,-7.2,21,0.381,0.524,,
4057,松井賢治,53,0.4717,0.5438,-7.2,28,0.286,0.714,,
4317,木村紗友希,41,0.4634,0.5355,-7.2,22,0.136,0.818,,
4516,野口勝弘,49,0.449,0.5211,-7.2,27,0.444,0.704,,
4596,葛原大陽,45,0.4667,0.5376,-7.1,24,0.5,0.542,,
4121,富永修一,44,0.5,0.5699,-7.0,22,0.455,0.364,,
4241,大串重幸,41,0.5122,0.5818,-7.0,20,0.15,0.85,,
4364,池永太,47,0.5532,0.6217,-6.9,21,0.429,0.619,,
4464,山下友貴,41,0.4634,0.5324,-6.9,22,0.273,0.591,,
4539,金子賢志,45,0.5333,0.6022,-6.9,21,0.476,0.429,,
4931,木谷賢太,48,0.5208,0.5894,-6.9,23,0.391,0.522,,
4024,井口佳典,46,0.587,0.655,-6.8,19,0.211,0.842,,
4193,郷原章平,59,0.4915,0.559,-6.8,30,0.5,0.533,,
5130,上野拓馬,40,0.475,0.5419,-6.7,21,0.048,0.762,,
5257,西丸侑太朗,55,0.5091,0.5757,-6.7,27,0.407,0.778,,
4357,田中和也,57,0.5088,0.5749,-6.6,28,0.429,0.5,,
4907,小池修平,44,0.5455,0.6113,-6.6,20,0.5,0.65,,
3503,堂原洋史,43,0.4419,0.507,-6.5,24,0.042,0.792,,
3662,大庭元明,44,0.4773,0.5426,-6.5,23,0.217,0.609,,
3912,川原正明,40,0.475,0.5399,-6.5,21,0.429,0.667,,
4318,桑原将光,41,0.4878,0.5528,-6.5,21,0.333,0.571,,
3550,都築正治,50,0.54,0.6043,-6.4,23,0.391,0.696,,
4443,津田裕絵,47,0.4894,0.5534,-6.4,24,0.25,0.625,,
4497,桑原悠,45,0.5556,0.6196,-6.4,20,0.55,0.4,,
4974,安井瑞紀,46,0.4783,0.5422,-6.4,24,0.375,0.542,,
3412,鈴木博,46,0.4783,0.5413,-6.3,24,0.167,0.792,,
3568,木村光宏,43,0.4884,0.5518,-6.3,22,0.136,0.5,,
4144,石塚久也,49,0.4898,0.5529,-6.3,25,0.24,0.72,,
4438,森作雄大,41,0.4878,0.5506,-6.3,21,0.381,0.571,,
5068,前田滉,44,0.5455,0.6083,-6.3,20,0.6,0.55,,
5279,石渡翔一郎,47,0.4681,0.5313,-6.3,25,0.44,0.48,,
4035,杉江浩明,44,0.4773,0.5388,-6.2,23,0.174,0.696,,
4067,永井源,52,0.5,0.5624,-6.2,26,0.538,0.654,,
5073,上原健次郎,48,0.5208,0.5826,-6.2,23,0.391,0.522,,
5142,常住蓮,53,0.5472,0.6096,-6.2,24,0.583,0.458,,
5282,中本大樹,44,0.4773,0.5395,-6.2,23,0.261,0.609,,
4262,馬場貴也,43,0.6047,0.6661,-6.1,17,0.588,0.235,,
4320,峰竜太,43,0.6047,0.6654,-6.1,17,0.529,0.471,,
4822,百武翔,49,0.4898,0.5508,-6.1,25,0.36,0.52,,
4215,吉島祥之,41,0.4878,0.5482,-6.0,21,0.19,0.619,,
4289,落合直子,46,0.4783,0.538,-6.0,24,0.5,0.625,,
5193,米丸乃絵,45,0.5111,0.5707,-6.0,22,0.591,0.773,,
5189,藤原早菜,46,0.4783,0.5375,-5.9,24,0.292,0.75,,
3475,橋本久和,40,0.525,0.5831,-5.8,19,0.158,0.842,,
3590,濱野谷憲吾,46,0.6087,0.6667,-5.8,18,0.556,0.667,,
3947,寺本昇平,44,0.5,0.5582,-5.8,22,0.136,0.727,,
4150,山田雄太,42,0.4762,0.5343,-5.8,22,0.318,0.636,,
4757,山田祐也,43,0.5581,0.6157,-5.8,19,0.316,0.684,,
4196,田中太一郎,47,0.4681,0.5247,-5.7,25,0.16,0.72,,
4700,金子和之,41,0.4634,0.5202,-5.7,22,0.455,0.455,,
4793,金子萌,46,0.5217,0.5786,-5.7,22,0.5,0.364,,
4044,湯川浩司,41,0.5854,0.6415,-5.6,17,0.353,0.647,,
4253,西川真人,48,0.4792,0.5355,-5.6,25,0.08,0.8,,
4346,前田健太郎,40,0.5,0.5558,-5.6,20,0.25,0.6,,
4796,春園功太,43,0.5349,0.5913,-5.6,20,0.55,0.65,,
4839,四宮与寛,43,0.4884,0.5443,-5.6,22,0.409,0.636,,
4903,吉田凌太朗,45,0.4889,0.5452,-5.6,23,0.696,0.609,,
4985,井本昌也,40,0.525,0.581,-5.6,19,0.526,0.632,,
5010,宇留田翔平,50,0.48,0.5358,-5.6,26,0.231,0.654,,
3690,河合三弘,43,0.5116,0.5666,-5.5,21,0.19,0.81,,
3941,池田浩二,42,0.619,0.6744,-5.5,16,0.625,0.5,,
4117,廣中智紗衣,44,0.5,0.5554,-5.5,22,0.318,0.636,,
4583,古田祐貴,49,0.4898,0.5449,-5.5,25,0.32,0.56,,
5016,宮田龍馬,47,0.5319,0.5871,-5.5,22,0.545,0.545,,
5205,刑部亜里紗,50,0.5,0.5544,-5.4,25,0.32,0.44,,
4052,興津藍,46,0.5435,0.5965,-5.3,21,0.333,0.524,,
4079,出畑孝典,47,0.4894,0.5425,-5.3,24,0.458,0.458,,
4293,鈴木智啓,44,0.4773,0.5303,-5.3,23,0.174,0.739,,
4331,三好勇人,44,0.5,0.5526,-5.3,22,0.409,0.636,,
4977,馬野耀,43,0.5116,0.5645,-5.3,21,0.238,0.571,,
4270,岸本雄貴,42,0.5238,0.5756,-5.2,20,0.2,0.65,,
4397,西村拓也,52,0.5769,0.6285,-5.2,22,0.455,0.5,,
4598,加藤政彦,44,0.5,0.5518,-5.2,22,0.273,0.636,,
4821,妻鳥晋也,43,0.5116,0.5632,-5.2,21,0.333,0.619,,
5216,長谷川晴哉,46,0.4783,0.5307,-5.2,24,0.417,0.583,,
4045,佐々木裕美,40,0.5,0.5508,-5.1,20,0.35,0.65,,
4363,大野芳顕,50,0.56,0.6111,-5.1,22,0.364,0.636,,
4570,前田聖文,43,0.5116,0.5629,-5.1,21,0.429,0.619,,
4573,佐藤翼,42,0.619,0.6703,-5.1,16,0.375,0.625,,
4611,今井美亜,45,0.4889,0.54,-5.1,23,0.522,0.609,,
4245,高橋直哉,41,0.4878,0.5376,-5.0,21,0.286,0.619,,
3422,服部幸男,40,0.575,0.624,-4.9,17,0.412,0.824,,
4151,下河誉史,50,0.5,0.5489,-4.9,25,0.28,0.4,,
4233,亀山雅幸,51,0.5098,0.5587,-4.9,25,0.4,0.76,,
4743,木村仁紀,60,0.5333,0.5826,-4.9,28,0.357,0.714,,
3430,角浜修,48,0.5417,0.5897,-4.8,22,0.227,0.545,,
3441,土屋太朗,41,0.5366,0.5847,-4.8,19,0.263,0.684,,
4847,佐藤隆太郎,42,0.5714,0.6195,-4.8,18,0.333,0.5,,
5112,砂長知輝,50,0.54,0.588,-4.8,23,0.609,0.304,,
3381,滝沢芳行,45,0.4889,0.5362,-4.7,23,0.13,0.435,,
4894,原村拓也,40,0.475,0.522,-4.7,21,0.048,0.905,,
5299,西丸敦基,40,0.5,0.5473,-4.7,20,0.35,0.6,,
3848,川上聡介,43,0.5349,0.5813,-4.6,20,0.0,0.8,,
4581,吉村誠,49,0.5102,0.5557,-4.6,24,0.625,0.375,,
3997,北村征嗣,57,0.5439,0.589,-4.5,26,0.385,0.577,,
4260,中越博紀,49,0.5306,0.5756,-4.5,23,0.217,0.565,,
4428,有賀達也,47,0.5106,0.5556,-4.5,23,0.435,0.565,,
