date,rno,rname,nichime,kimarite,wdir,wspd,payout,ninki,win_course,win_teiban,entries
2025-09-08,3,一般,6,まくり差し,南,4,1570,6,5,5,6
2025-09-08,4,一般,6,抜き,南西,5,4910,18,5,5,6
2025-09-08,5,一般,6,逃げ,南,6,11980,42,1,1,6
2025-09-08,6,一般,6,まくり,南西,5,1330,3,4,4,6
2025-09-08,7,一般,6,まくり差し,南西,5,5710,21,4,4,6
2025-09-08,8,一般,6,抜き,南,5,2050,7,4,4,6
2025-09-08,9,一般特選,6,差し,南,6,1190,1,3,3,6
2025-09-08,10,選抜戦,6,抜き,南,5,6230,25,2,2,6
2025-09-08,11,選抜戦,6,逃げ,北東,5,1760,3,1,1,6
2025-09-08,12,優勝戦,6,逃げ,北東,4,810,2,1,1,6
2025-09-14,1,予選,1,逃げ,南西,5,1040,1,1,1,6
2025-09-14,2,予選,1,まくり,南西,3,3350,11,2,2,6
2025-09-14,3,予選,1,逃げ,南西,3,4530,18,1,1,6
2025-09-14,4,予選,1,逃げ,南西,3,3460,16,1,1,6
2025-09-14,5,予選,1,差し,南東,2,8630,32,2,2,6
2025-09-14,6,予選,1,逃げ,東,2,3470,15,1,1,6
2025-09-14,7,予選,1,逃げ,南,3,2150,5,1,1,6
2025-09-14,8,予選,1,逃げ,南,5,1270,4,1,1,6
2025-09-14,9,予選特賞,1,逃げ,南,6,1980,5,1,1,6
2025-09-14,10,予選特賞,1,逃げ,南,5,850,2,1,1,6
2025-09-14,11,予選特選,1,逃げ,南,5,1430,5,1,1,6
2025-09-14,12,江戸川選抜,1,まくり差し,南,3,48510,80,6,6,6
2025-09-15,1,予選,2,逃げ,北東,3,3450,13,1,1,6
2025-09-15,2,予選,2,逃げ,北東,3,5050,19,1,1,6
2025-09-15,3,予選,2,逃げ,北東,3,4100,16,1,1,6
2025-09-15,4,予選,2,逃げ,南東,3,1310,3,1,1,6
2025-09-15,5,予選,2,まくり,北東,4,8890,39,2,2,6
2025-09-15,6,予選,2,逃げ,北東,3,4100,18,1,1,6
2025-09-15,7,予選,2,差し,北東,3,7010,28,2,2,6
2025-09-15,8,予選,2,まくり,東,3,9050,30,2,2,6
2025-09-15,9,予選特賞,2,逃げ,北東,3,1560,3,1,1,6
2025-09-15,10,予選特賞,2,差し,南東,3,1150,2,2,2,6
2025-09-15,11,予選特選,2,逃げ,南東,3,2310,10,1,1,6
2025-09-15,12,記者選抜戦,2,まくり差し,南東,3,9010,29,3,3,6
2025-09-16,1,予選,3,まくり,南西,4,25110,63,4,4,6
2025-09-16,2,予選,3,逃げ,南西,5,2560,10,1,1,6
2025-09-16,3,予選,3,まくり,南西,4,74680,85,4,4,6
2025-09-16,4,予選,3,逃げ,南西,5,3270,12,1,1,6
2025-09-16,5,予選,3,まくり差し,南西,5,9330,29,5,5,6
2025-09-16,6,予選,3,まくり,南西,5,2050,7,5,5,6
2025-09-16,7,予選,3,まくり,南西,5,1710,10,2,2,6
2025-09-16,8,予選,3,差し,南西,7,10220,36,2,2,6
2025-09-16,9,予選特賞,3,逃げ,南,8,21350,78,1,1,6
2025-09-16,10,予選特賞,3,まくり差し,南,8,1120,1,3,3,6
2025-09-16,11,予選特選,3,逃げ,南,9,3440,12,1,1,6
2025-09-16,12,記者選抜戦,3,抜き,南,7,2310,8,1,1,6
2025-09-17,1,予選,4,逃げ,南,6,960,1,1,1,6
2025-09-17,2,予選,4,まくり,南,7,5710,21,5,5,6
2025-09-17,3,予選,4,まくり,南,7,1770,5,2,2,6
2025-09-17,4,予選,4,差し,南,7,4560,20,3,3,6
2025-09-17,5,予選,4,抜き,南,7,970,1,2,2,6
2025-09-17,6,予選,4,まくり,南,7,1930,5,2,2,6
2025-09-17,7,予選,4,差し,南,8,18440,53,3,3,6
2025-09-17,8,予選,4,差し,南,8,1580,6,2,2,6
2025-09-17,9,予選特賞,4,抜き,南,7,7370,22,2,2,6
2025-09-17,10,予選特賞,4,逃げ,南,7,660,1,1,1,6
2025-09-17,11,予選特選,4,逃げ,南,7,970,2,1,1,6
2025-09-17,12,記者選抜戦,4,まくり,南,8,22830,46,3,3,6
2025-09-18,1,一般,5,まくり,南,7,2580,9,2,2,6
2025-09-18,2,一般,5,まくり,南,6,3820,18,3,3,6
2025-09-18,3,一般,5,差し,南,5,42690,79,6,6,6
2025-09-18,4,一般,5,抜き,南,6,6070,26,2,2,6
2025-09-18,5,一般,5,逃げ,南,6,4970,17,1,1,6
2025-09-18,6,一般,5,まくり,南,7,8030,34,4,4,6
2025-09-18,7,一般,5,逃げ,南,7,790,2,1,1,6
2025-09-18,8,一般,5,差し,南,7,740,2,2,2,6
2025-09-18,9,一般特選,5,逃げ,北西,6,2600,7,1,1,6
2025-09-18,10,選抜戦,5,まくり,北,6,12460,44,5,5,6
2025-09-18,11,選抜戦,5,逃げ,北,7,7670,24,1,1,6
2025-09-18,12,優勝戦,5,恵まれ,北,6,1020,3,2,2,6
2025-09-21,1,予選,1,逃げ,北,6,1980,1,1,1,6
2025-09-21,2,予選,1,恵まれ,北,5,2780,10,5,5,6
2025-09-21,3,予選,1,差し,北,6,11830,68,2,2,6
2025-09-21,4,予選,1,まくり,北,6,15350,59,3,3,6
2025-09-21,5,予選,1,逃げ,北,6,7110,24,1,1,6
2025-09-21,6,予選,1,まくり,北,6,6870,27,3,3,6
2025-09-21,7,予選,1,まくり,北,6,2560,10,4,4,6
2025-09-21,8,予選,1,まくり,北,5,9980,42,4,4,6
2025-09-21,9,予選特賞,1,抜き,北,6,2690,11,3,3,6
2025-09-21,10,予選特賞,1,逃げ,北,6,3360,12,1,1,6
2025-09-21,11,予選特選,1,まくり差し,北,5,28840,88,3,3,6
2025-09-21,12,江戸川選抜,1,逃げ,北,6,1810,2,1,1,6
2025-09-22,1,予選,2,逃げ,北東,7,1290,2,1,1,6
2025-09-22,2,予選,2,差し,北東,7,4230,21,4,4,6
2025-09-22,3,予選,2,逃げ,北東,7,6560,27,1,1,6
2025-09-22,4,予選,2,抜き,北東,6,5930,30,2,2,6
2025-09-22,5,予選,2,まくり差し,北東,5,4400,21,4,4,6
2025-09-22,6,予選,2,まくり,北東,6,2870,11,3,3,6
2025-09-22,7,予選,2,まくり,北東,6,13720,41,4,4,6
2025-09-22,8,予選,2,抜き,北東,4,13170,41,4,4,6
2025-09-22,9,予選特賞,2,差し,北東,4,1350,5,2,2,6
2025-09-22,10,予選特賞,2,逃げ,北東,5,1150,2,1,1,6
2025-09-22,11,予選特選,2,逃げ,北東,6,950,3,1,1,6
2025-09-22,12,記者選抜戦,2,逃げ,北東,6,1900,5,1,1,6
2025-09-23,1,予選,3,差し,東,3,7620,25,2,2,6
2025-09-23,2,予選,3,差し,北東,5,1780,6,2,2,6
2025-09-23,3,予選,3,逃げ,北東,4,19580,59,1,1,6
2025-09-23,4,予選,3,逃げ,北東,4,1040,2,1,1,6
2025-09-23,5,予選,3,まくり差し,北東,4,5370,23,5,5,6
2025-09-23,6,予選,3,抜き,北東,4,4690,19,5,5,6
2025-09-23,7,予選,3,逃げ,北東,4,1720,4,1,1,6
2025-09-23,8,予選,3,まくり,北東,5,1670,3,2,2,6
2025-09-23,9,予選特賞,3,逃げ,北東,5,770,1,1,1,6
2025-09-23,10,予選特賞,3,逃げ,北東,6,1470,6,1,1,6
2025-09-23,11,予選特選,3,まくり差し,北東,6,3280,10,3,3,6
2025-09-23,12,記者選抜戦,3,逃げ,北東,6,3290,15,1,1,6
2025-09-24,1,一般,4,逃げ,北東,6,1770,3,1,1,6
2025-09-24,2,一般,4,逃げ,北東,4,1660,4,1,1,6
2025-09-24,3,一般,4,まくり,北東,4,7600,33,5,5,6
2025-09-24,4,一般,4,まくり差し,北東,7,9200,34,5,5,6
2025-09-24,5,一般,4,差し,北東,5,1950,10,2,2,6
2025-09-24,6,一般,4,差し,北東,5,1900,7,2,2,6
2025-09-24,7,一般,4,抜き,北東,4,27690,91,4,4,6
2025-09-24,8,一般,4,逃げ,北東,5,2290,7,1,1,6
2025-09-24,9,一般特選,4,逃げ,北東,4,2160,7,1,1,6
2025-09-24,10,選抜戦,4,差し,北東,3,1600,6,2,2,6
2025-09-24,11,選抜戦,4,逃げ,北東,6,1200,3,1,1,6
2025-09-24,12,優勝戦,4,まくり差し,北東,4,18320,45,5,5,6
2025-09-28,1,予選,1,差し,南西,5,6620,32,2,2,6
2025-09-28,2,予選,1,差し,南西,4,1060,2,2,2,6
2025-09-28,3,予選,1,逃げ,南西,5,3330,12,1,1,6
2025-09-28,4,予選,1,まくり,南西,5,5780,23,4,4,6
2025-09-28,5,予選,1,抜き,南西,5,2070,6,2,2,6
2025-09-28,6,予選,1,差し,南西,7,3150,11,3,3,6
2025-09-28,7,予選,1,差し,南西,5,62720,84,3,3,6
2025-09-28,8,予選,1,逃げ,南,6,1710,5,1,1,6
2025-09-28,9,予選特賞,1,差し,南,8,21950,55,4,4,6
2025-09-28,10,予選特賞,1,まくり差し,南,8,26030,67,4,4,6
2025-09-28,11,予選特選,1,抜き,南,7,1790,5,4,5,6
2025-09-28,12,江戸川選抜,1,逃げ,南,6,1290,3,1,1,6
2025-09-29,1,予選,2,まくり,北,3,4860,24,3,3,6
2025-09-29,2,予選,2,恵まれ,南,2,3300,18,2,2,6
2025-09-29,3,予選,2,抜き,南,3,2370,7,1,1,6
2025-09-29,4,予選,2,差し,南,5,29460,76,4,4,6
2025-09-29,5,予選,2,逃げ,南,4,3390,13,1,1,6
2025-09-29,6,予選,2,まくり,南,3,5050,16,3,3,6
2025-09-29,7,予選,2,まくり差し,南,4,55510,90,5,5,6
2025-09-29,8,予選,2,差し,南,5,3810,15,2,2,6
2025-09-29,9,予選特賞,2,差し,南,6,1620,4,3,3,6
2025-09-29,10,予選特賞,2,まくり差し,南,6,5120,22,5,5,6
2025-09-29,11,予選特選,2,逃げ,南,5,1480,4,1,1,6
2025-09-29,12,記者選抜戦,2,逃げ,南,4,1850,7,1,1,6
2025-09-30,1,予選,3,逃げ,北東,5,1470,4,1,1,6
2025-09-30,2,予選,3,まくり,北東,5,12070,47,3,3,6
2025-09-30,3,予選,3,逃げ,北東,4,1030,1,1,1,6
2025-09-30,4,予選,3,逃げ,北東,4,13460,45,1,1,6
2025-09-30,5,予選,3,逃げ,北東,4,2970,12,1,1,6
2025-09-30,6,予選,3,差し,北東,3,13380,43,2,2,6
2025-09-30,7,予選,3,差し,南東,5,930,2,2,2,6
2025-09-30,8,予選,3,まくり,北東,4,4220,10,2,2,6
2025-09-30,9,予選特賞,3,まくり差し,南東,4,15000,45,3,3,6
2025-09-30,10,予選特賞,3,逃げ,南東,4,8570,28,1,1,6
2025-09-30,11,予選特選,3,逃げ,南東,5,4020,13,1,1,6
2025-09-30,12,記者選抜戦,3,逃げ,東,2,1180,4,1,1,6
2025-10-01,1,予選,4,逃げ,北西,4,1620,2,1,1,6
2025-10-01,2,予選,4,逃げ,北,5,1030,3,1,1,6
2025-10-01,3,予選,4,逃げ,北西,4,1520,4,1,1,6
2025-10-01,4,予選,4,逃げ,北西,4,1420,6,1,1,6
2025-10-01,5,予選,4,差し,北西,5,2000,9,2,2,6
2025-10-01,6,予選,4,まくり差し,北西,4,1940,7,3,3,6
2025-10-01,7,予選,4,まくり,北西,4,12100,34,2,2,6
2025-10-01,8,予選,4,逃げ,北西,5,1080,1,1,1,6
2025-10-01,9,予選特賞,4,逃げ,北西,4,1730,7,1,1,6
2025-10-01,10,予選特賞,4,差し,北西,5,2670,9,2,2,6
2025-10-01,11,予選特選,4,逃げ,北西,4,1610,8,1,1,6
2025-10-01,12,記者選抜戦,4,逃げ,北西,4,980,3,1,1,6
2025-10-02,1,一般,5,まくり,北西,4,57880,100,5,5,6
2025-10-02,2,一般,5,まくり,北東,5,4520,14,3,3,6
2025-10-02,3,一般,5,逃げ,北東,2,2820,6,1,1,6
2025-10-02,4,一般,5,逃げ,東,2,1540,7,1,1,6
2025-10-02,5,一般,5,逃げ,南西,3,800,1,1,1,6
2025-10-02,6,一般,5,まくり,西,3,4150,15,3,3,6
2025-10-02,7,一般,5,逃げ,南西,4,1850,6,1,1,6
2025-10-02,8,一般,5,逃げ,南西,4,1390,5,1,1,6
2025-10-02,9,一般特選,5,逃げ,南,5,940,3,1,2,6
2025-10-02,10,選抜戦,5,逃げ,南,4,1250,2,1,1,6
