regno,選手名,全国外n,全国外3着率,当地外n,当地外3着率,採用外3着率,外3着源,n1c,負け,残し率,残し有効,型,n6,6コ2着率,6コ3着率,6残し有効,艇番5乗艇,艇番5_3連対率,艇番6乗艇,艇番6_3連対率,6ヒモ外し候補,艇番5低率
5140,吉田彩乃,96,0.208,0,,0.208,全国,28,20,,,,31,,,,35,0.143,29,0.172,●,●
5141,大澤風葵,107,0.514,0,,0.514,全国,54,20,0.45,○,,27,,,,33,0.485,39,0.462,,
5142,常住蓮,123,0.626,0,,0.626,全国,64,14,,,,31,,,,39,0.59,41,0.488,,
5143,常盤海心,115,0.304,0,,0.304,全国,23,20,,,,31,,,,46,0.239,25,0.24,●,●
5144,中尾彩香,114,0.36,0,,0.36,全国,31,18,,,,30,,,,37,0.378,33,0.182,●,
5145,島川海輝,130,0.431,4,,0.431,全国,59,16,,,,42,0.095,0.119,○,43,0.442,49,0.265,,
5146,野田彩加,103,0.369,0,,0.369,全国,31,15,,,,27,,,,33,0.394,28,0.179,●,
5147,田中勇輔,75,0.187,11,,0.187,全国,20,15,,,,25,,,,22,0.045,23,0.13,●,●
5148,松本怜,83,0.301,0,,0.301,全国,20,9,,,,28,,,,27,0.185,25,0.2,●,●
5150,坂本雄紀,124,0.54,2,,0.54,全国,48,19,,,,41,0.122,0.244,○,34,0.529,43,0.465,,
5151,山下奈緒,99,0.141,4,,0.141,全国,23,17,,,,31,,,,34,0.147,24,0.167,●,●
5152,丸山祐也,90,0.133,3,,0.133,全国,22,20,,,,24,,,,33,0.212,24,0.125,●,●
5153,佐藤ほのか,107,0.262,6,,0.262,全国,31,28,,,,31,,,,40,0.125,32,0.281,,●
5154,村松栄太,122,0.32,4,,0.32,全国,30,19,,,,36,,,,48,0.271,29,0.31,,
5155,内山七海,107,0.477,3,,0.477,全国,34,19,,,,35,,,,32,0.5,33,0.424,,
5156,坂野さくら,99,0.404,5,,0.404,全国,27,18,,,,30,,,,35,0.629,30,0.167,●,
5157,市川健太,122,0.254,8,,0.254,全国,37,18,,,,40,0.05,0.1,○,40,0.225,39,0.179,●,●
5158,宮脇遼太,129,0.496,5,,0.496,全国,58,18,,,,43,0.163,0.186,○,40,0.375,39,0.436,,
5160,藤森陸斗,135,0.363,4,,0.363,全国,46,18,,,,45,0.067,0.089,○,41,0.488,42,0.143,●,
5161,登玉隼百,124,0.476,3,,0.476,全国,43,12,,,,43,0.116,0.186,○,34,0.382,37,0.324,,
5162,松尾怜実,42,0.143,0,,0.143,全国,11,9,,,,14,,,,15,0.133,13,,,●
5163,清水愛海,119,0.504,0,,0.504,全国,51,17,,,,43,0.14,0.209,○,31,0.581,43,0.465,,
5164,森田梨湖,48,0.042,0,,0.042,全国,13,11,,,,11,,,,21,0.095,13,,,●
5165,小林愛実,108,0.306,0,,0.306,全国,30,20,,,,36,,,,39,0.282,36,0.194,●,
5166,仲道大輔,124,0.5,9,,0.5,全国,53,20,0.3,○,飛ぶ型,37,,,,45,0.622,39,0.359,,
5167,小川竜太朗,99,0.323,11,,0.323,全国,32,23,,,,27,,,,36,0.278,26,0.308,,
5169,堀本翔太,66,0.167,9,,0.167,全国,14,13,,,,19,,,,28,0.179,18,0.056,●,●
5170,佐藤太亮,95,0.326,6,,0.326,全国,28,10,,,,30,,,,35,0.314,27,0.259,,
5172,田村慶,119,0.412,0,,0.412,全国,40,15,,,,43,0.116,0.186,○,35,0.457,41,0.341,,
5173,谷口佳蓮,113,0.274,0,,0.274,全国,33,8,,,,35,,,,38,0.342,33,0.091,●,
5174,川井萌,51,0.353,0,,0.353,全国,16,8,,,,13,,,,14,,14,,,
5175,島崎丈一朗,66,0.364,0,,0.364,全国,17,8,,,,18,,,,21,0.238,14,,,●
5176,石倉拓美,53,0.057,0,,0.057,全国,9,6,,,,20,,,,20,0.1,11,,,●
5177,松井貫太,117,0.308,15,,0.308,全国,26,20,,,,31,,,,44,0.364,32,0.156,●,
5178,成貞琳平,127,0.189,8,,0.189,全国,31,21,,,,36,,,,47,0.234,32,0.062,●,●
5179,藤本元輝,88,0.261,4,,0.261,全国,22,9,,,,29,,,,25,0.24,29,0.138,●,●
5180,藤本紗弥香,56,0.268,0,,0.268,全国,12,9,,,,15,,,,16,0.375,17,0.118,●,
5181,森智哉,100,0.37,5,,0.37,全国,26,12,,,,29,,,,34,0.324,30,0.4,,
5182,宮崎安奈,96,0.333,0,,0.333,全国,32,22,,,,35,,,,37,0.405,36,0.278,,
