regno,選手名,全国スローn,全国スローST,当地スローn,当地スローST,採用スローST,スロー源,スロー遅れ,スロー巧者,全国ダッシュn,全国ダッシュST,当地ダッシュn,当地ダッシュST,採用ダッシュST,ダッシュ源,ダッシュ遅れ,ダッシュ巧者
4545,岡村慶太,147,0.142,0,,0.142,全国,,,132,0.149,0,,0.149,全国,,
4546,浜田亜理沙,111,0.16,6,0.138,0.16,全国,,,93,0.164,3,0.177,0.164,全国,,
4547,中田竜太,131,0.146,0,,0.146,全国,,,133,0.164,0,,0.164,全国,,
4548,篠木亜衣花,63,0.233,5,0.204,0.233,全国,●,,62,0.247,5,0.246,0.247,全国,●,
4549,小林文彦,118,0.173,0,,0.173,全国,,,120,0.204,0,,0.204,全国,●,
4550,石岡将太,135,0.159,12,0.146,0.146,当地,,,113,0.153,12,0.152,0.152,当地,,
4551,三川昂暁,139,0.169,4,0.108,0.169,全国,,,133,0.172,4,0.165,0.172,全国,,
4552,杉山勝匡,108,0.153,6,0.172,0.153,全国,,,127,0.149,5,0.196,0.149,全国,,
4553,坪口竜也,124,0.15,0,,0.15,全国,,,117,0.161,0,,0.161,全国,,
4555,富永大一,119,0.17,0,,0.17,全国,,,114,0.186,0,,0.186,全国,●,
4556,竹井奈美,122,0.156,0,,0.156,全国,,,105,0.159,0,,0.159,全国,,
4557,松尾光広,95,0.169,0,,0.169,全国,,,105,0.218,0,,0.218,全国,●,
4558,宮野仁,91,0.18,0,,0.18,全国,,,104,0.22,0,,0.22,全国,●,
4560,庄司樹良々,115,0.141,0,,0.141,全国,,,114,0.157,0,,0.157,全国,,
4561,藤山翔大,148,0.18,5,0.226,0.18,全国,,,102,0.211,4,0.23,0.211,全国,●,
4562,阪本勇介,123,0.187,5,0.192,0.187,全国,●,,131,0.196,4,0.18,0.196,全国,●,
4563,齋藤真之,98,0.155,9,0.18,0.155,全国,,,101,0.189,7,0.164,0.189,全国,●,
4564,山本景士郎,114,0.179,9,0.14,0.179,全国,,,113,0.194,10,0.163,0.163,当地,,
4565,西村豪洋,101,0.178,4,0.208,0.178,全国,,,115,0.176,5,0.298,0.176,全国,,
4566,塩田北斗,131,0.147,6,0.168,0.147,全国,,,124,0.132,3,0.167,0.132,全国,,
4567,上村慎太郎,95,0.21,5,0.188,0.21,全国,●,,80,0.245,4,0.265,0.245,全国,●,
4568,廣瀬真也,119,0.144,11,0.148,0.148,当地,,,116,0.152,13,0.168,0.168,当地,,
4569,中澤宏奈,82,0.16,0,,0.16,全国,,,88,0.174,0,,0.174,全国,,
4570,前田聖文,146,0.164,0,,0.164,全国,,,124,0.149,0,,0.149,全国,,
4571,菅章哉,106,0.141,0,,0.141,全国,,,134,0.142,0,,0.142,全国,,
4572,渡部悟,119,0.144,0,,0.144,全国,,,118,0.155,0,,0.155,全国,,
4573,佐藤翼,127,0.137,0,,0.137,全国,,,124,0.142,0,,0.142,全国,,
4574,東潤樹,129,0.175,10,0.15,0.15,当地,,,126,0.185,7,0.179,0.185,全国,●,
4575,戸塚邦好,118,0.153,22,0.153,0.153,当地,,,107,0.156,20,0.155,0.155,当地,,
4578,藤山雅弘,130,0.149,0,,0.149,全国,,,118,0.185,0,,0.185,全国,●,
4579,中嶋健一郎,152,0.156,4,0.195,0.156,全国,,,124,0.151,4,0.212,0.151,全国,,
4580,長谷川雅和,132,0.159,0,,0.159,全国,,,130,0.165,0,,0.165,全国,,
4581,吉村誠,167,0.147,0,,0.147,全国,,,144,0.14,0,,0.14,全国,,
4583,古田祐貴,155,0.129,12,0.162,0.162,当地,,,129,0.157,14,0.192,0.192,当地,●,
4584,村岡賢人,133,0.119,0,,0.119,全国,,●,124,0.124,0,,0.124,全国,,●
4586,磯部誠,138,0.115,10,0.106,0.106,当地,,●,132,0.13,9,0.156,0.13,全国,,●
4587,木田峰由季,138,0.149,0,,0.149,全国,,,115,0.178,0,,0.178,全国,,
4588,田中京介,142,0.127,0,,0.127,全国,,●,149,0.156,0,,0.156,全国,,
4589,塩崎桐加,89,0.159,0,,0.159,全国,,,90,0.168,0,,0.168,全国,,
4590,渡邉優美,146,0.142,6,0.1,0.142,全国,,,124,0.157,3,0.233,0.157,全国,,
4592,小林孝弘,108,0.148,0,,0.148,全国,,,105,0.156,0,,0.156,全国,,
4593,小坂宗司,127,0.149,0,,0.149,全国,,,125,0.176,0,,0.176,全国,,
4594,谷川祐一,131,0.144,0,,0.144,全国,,,119,0.164,0,,0.164,全国,,
4596,葛原大陽,142,0.143,0,,0.143,全国,,,133,0.151,0,,0.151,全国,,
4598,加藤政彦,131,0.135,38,0.136,0.136,当地,,,128,0.16,39,0.168,0.168,当地,,
4600,井内将太郎,120,0.128,0,,0.128,全国,,●,112,0.131,0,,0.131,全国,,
4601,森野正弘,160,0.129,5,0.174,0.129,全国,,●,137,0.129,3,0.187,0.129,全国,,●
4603,谷川将太,125,0.149,7,0.193,0.149,全国,,,118,0.17,8,0.209,0.17,全国,,
4604,岩瀬裕亮,165,0.133,11,0.136,0.136,当地,,,140,0.15,8,0.156,0.15,全国,,
4607,鶴田勇雄,152,0.163,4,0.253,0.163,全国,,,148,0.175,4,0.228,0.175,全国,,
4608,荒井翔伍,141,0.152,19,0.168,0.168,当地,,,121,0.168,16,0.191,0.191,当地,●,
4610,佐藤大佑,136,0.155,32,0.16,0.16,当地,,,140,0.16,31,0.182,0.182,当地,●,
4611,今井美亜,148,0.134,0,,0.134,全国,,,127,0.157,0,,0.157,全国,,
4614,石倉洋行,150,0.139,17,0.181,0.181,当地,●,,129,0.127,19,0.154,0.154,当地,,
