ym,regno,course,n,r1,r2,r3,st_sum,st_n,mk1
2025-08,3796,2,2,0,1,0,0.4,2,0
2025-08,3796,3,2,0,0,0,0.14,2,0
2025-08,3796,4,2,0,0,0,0.41,2,0
2025-08,3796,5,2,0,0,1,0.65,2,0
2025-08,3796,6,1,0,1,0,0.21,1,0
2025-08,3812,1,2,1,0,0,0.27,2,0
2025-08,3812,2,1,0,0,0,0.18,1,0
2025-08,3812,3,1,0,1,0,0.19,1,0
2025-08,3812,4,2,0,0,0,0.28,2,0
2025-08,3812,5,1,0,0,0,0.19,1,0
2025-08,3812,6,2,0,0,2,0.3,2,0
2025-08,3868,1,1,0,1,0,0.17,1,0
2025-08,3868,2,2,0,0,0,0.46,2,0
2025-08,3868,3,2,0,0,1,0.38,2,0
2025-08,3868,4,1,0,0,0,0.22,1,0
2025-08,3868,5,2,0,0,0,0.57,2,0
2025-08,3868,6,1,0,0,0,0.25,1,0
2025-08,3880,1,1,1,0,0,0.03,1,0
2025-08,3880,2,2,0,1,0,0.39,2,0
2025-08,3880,3,2,0,0,1,0.55,2,0
2025-08,3880,4,2,0,0,1,0.37,2,0
2025-08,3880,5,2,0,0,0,0.32,2,0
2025-08,3880,6,1,0,0,0,0.17,1,0
2025-08,3888,1,1,1,0,0,0.26,1,0
2025-08,3888,2,2,0,0,2,0.4,2,0
2025-08,3888,3,1,0,0,1,0.09,1,0
2025-08,3888,4,1,0,0,0,0.11,1,0
2025-08,3888,5,2,0,2,0,0.25,2,0
2025-08,3888,6,2,0,0,1,0.29,2,0
2025-08,3911,1,2,0,1,0,0.21,2,0
2025-08,3911,2,1,0,0,0,0.21,1,0
2025-08,3911,3,2,0,0,1,0.26,2,0
2025-08,3911,4,2,0,0,0,0.3,2,0
2025-08,3911,6,2,0,0,0,0.19,2,0
2025-08,3929,1,1,0,1,0,0.15,1,0
2025-08,3929,2,2,0,0,0,0.38,2,0
2025-08,3929,3,2,0,0,0,0.37,2,0
2025-08,3929,4,2,0,0,0,0.34,2,0
2025-08,3929,5,2,0,1,0,0.49,2,0
2025-08,3929,6,1,0,0,0,0.18,1,0
2025-08,3975,1,2,0,1,1,0.34,2,0
2025-08,3975,2,1,1,0,0,0.12,1,1
2025-08,3975,3,1,0,0,0,0.08,1,0
2025-08,3975,4,1,0,0,0,0.07,1,0
2025-08,3975,5,2,0,0,1,0.33,2,0
2025-08,3975,6,2,0,0,1,0.26,2,0
2025-08,3978,1,2,2,0,0,0.25,2,0
2025-08,3978,3,2,0,1,1,0.26,2,0
2025-08,3978,4,2,0,0,1,0.24,2,0
2025-08,3978,5,1,0,0,1,0.13,1,0
2025-08,3978,6,1,0,0,0,0.23,1,0
2025-08,3983,1,1,1,0,0,0.14,1,0
2025-08,3983,2,3,1,1,1,0.42,3,1
2025-08,3983,3,1,0,0,1,0.12,1,0
2025-08,3983,4,1,0,1,0,0.15,1,0
2025-08,3983,5,2,1,0,0,0.37,2,0
2025-08,3983,6,1,0,0,0,0.16,1,0
2025-08,4077,1,1,0,0,0,0.13,1,0
2025-08,4077,2,2,0,0,1,0.4,2,0
2025-08,4077,3,2,2,0,0,0.25,2,1
2025-08,4077,4,2,0,0,2,0.42,2,0
2025-08,4077,5,2,0,0,0,0.42,2,0
2025-08,4077,6,1,0,0,1,0.34,1,0
2025-08,4086,1,1,0,1,0,0.07,1,0
2025-08,4086,2,2,0,1,1,0.19,2,0
2025-08,4086,3,1,0,0,1,0.1,1,0
2025-08,4086,4,1,1,0,0,0.21,1,0
2025-08,4086,5,2,0,0,1,0.26,2,0
2025-08,4086,6,1,0,0,0,0.21,1,0
2025-08,4095,2,2,1,0,1,0.26,2,1
2025-08,4095,3,1,0,1,0,0.11,1,0
2025-08,4095,4,2,2,0,0,0.17,2,1
2025-08,4095,5,2,1,0,0,0.32,2,1
2025-08,4161,1,2,1,0,0,0.54,2,0
2025-08,4161,2,2,2,0,0,0.38,2,0
2025-08,4161,3,1,0,0,0,0.1,1,0
2025-08,4161,4,1,0,0,0,0.27,1,0
2025-08,4161,5,2,0,0,1,0.25,2,0
2025-08,4161,6,2,0,1,1,0.42,2,0
2025-08,4245,1,1,1,0,0,0.09,1,0
2025-08,4245,2,2,0,0,1,0.46,2,0
2025-08,4245,3,2,0,0,0,0.25,2,0
2025-08,4245,4,1,0,1,0,0.16,1,0
2025-08,4245,5,3,0,1,0,0.6,3,0
2025-08,4258,1,2,0,1,0,0.26,2,0
2025-08,4258,2,2,0,1,0,0.2,2,0
2025-08,4258,3,1,0,0,0,0.14,1,0
2025-08,4258,4,1,0,0,1,0.38,1,0
2025-08,4258,5,2,1,0,0,0.64,2,1
2025-08,4258,6,2,0,1,1,0.29,2,0
2025-08,4266,1,3,3,0,0,0.43,3,0
2025-08,4266,2,2,1,1,0,0.42,2,0
2025-08,4266,3,1,0,1,0,0.13,1,0
2025-08,4266,5,1,0,1,0,0.18,1,0
2025-08,4266,6,1,0,1,0,0.11,1,0
2025-08,4311,1,2,1,1,0,0.29,2,0
2025-08,4311,2,1,0,1,0,0.13,1,0
2025-08,4311,3,2,0,2,0,0.2,2,0
2025-08,4311,4,1,0,1,0,0.06,1,0
2025-08,4311,6,1,0,0,1,0.19,1,0
2025-08,4318,1,1,0,0,0,0.14,1,0
2025-08,4318,2,2,1,0,0,0.26,2,0
2025-08,4318,3,2,0,0,0,0.32,2,0
2025-08,4318,4,1,0,0,1,0.14,1,0
2025-08,4318,5,1,0,0,0,0.08,1,0
2025-08,4318,6,2,0,1,0,0.31,2,0
2025-08,4325,1,1,0,1,0,0.08,1,0
2025-08,4325,2,1,0,0,0,0.12,1,0
2025-08,4325,3,1,0,0,0,0.14,1,0
2025-08,4325,4,2,0,0,1,0.34,2,0
2025-08,4325,5,1,0,0,1,0.21,1,0
2025-08,4325,6,1,0,0,0,0.23,1,0
2025-08,4335,1,2,2,0,0,0.27,2,0
2025-08,4335,2,2,1,0,0,0.16,2,0
2025-08,4335,3,1,0,0,0,0.07,1,0
2025-08,4335,4,1,0,1,0,0.12,1,0
2025-08,4335,5,2,0,0,0,0.23,2,0
2025-08,4335,6,1,0,1,0,0.13,1,0
2025-08,4344,1,1,1,0,0,0.09,1,0
2025-08,4344,2,2,2,0,0,0.24,2,1
2025-08,4344,3,1,0,0,1,0.24,1,0
2025-08,4344,4,1,0,0,0,0.1,1,0
2025-08,4344,5,3,1,0,1,0.71,3,1
2025-08,4344,6,1,0,0,0,0.22,1,0
2025-08,4345,1,1,1,0,0,0.22,1,0
2025-08,4345,2,1,0,0,0,0.19,1,0
2025-08,4345,4,4,1,2,0,0.81,4,0
2025-08,4345,5,1,0,0,0,0.15,1,0
2025-08,4370,1,3,2,1,0,0.3,3,0
2025-08,4370,2,1,1,0,0,0.11,1,0
2025-08,4370,3,2,1,0,0,0.19,2,1
2025-08,4370,4,1,1,0,0,0.08,1,1
2025-08,4370,5,1,1,0,0,0.22,1,1
2025-08,4370,6,1,0,0,0,0.39,1,0
2025-08,4379,1,2,2,0,0,0.2,2,0
2025-08,4379,2,1,0,1,0,0.1,1,0
2025-08,4379,3,2,0,1,0,0.29,2,0
2025-08,4379,4,1,0,0,0,0.16,1,0
2025-08,4379,5,1,0,1,0,0.09,1,0
2025-08,4379,6,1,0,0,1,0.22,1,0
2025-08,4397,1,2,1,0,0,0.24,2,0
2025-08,4397,2,1,0,0,1,0.16,1,0
2025-08,4397,4,2,1,1,0,0.31,2,1
2025-08,4397,5,2,1,1,0,0.17,2,1
2025-08,4397,6,1,0,0,0,0.08,1,0
2025-08,4401,1,2,2,0,0,0.22,2,0
2025-08,4401,2,1,0,1,0,0.11,1,0
2025-08,4401,3,2,0,0,0,0.58,2,0
2025-08,4401,4,2,0,1,0,0.39,2,0
2025-08,4401,5,1,0,0,0,0.06,1,0
2025-08,4401,6,1,0,0,0,0.18,1,0
2025-08,4407,1,2,0,1,1,0.44,2,0
2025-08,4407,2,2,0,0,1,0.23,2,0
2025-08,4407,3,1,0,1,0,0.17,1,0
2025-08,4407,4,2,1,1,0,0.32,2,1
2025-08,4407,5,2,0,1,0,0.38,2,0
2025-08,4407,6,1,0,0,0,0.25,1,0
2025-08,4437,1,2,2,0,0,0.28,2,0
2025-08,4437,2,1,0,1,0,0.17,1,0
2025-08,4437,3,2,0,1,0,0.27,2,0
2025-08,4437,4,2,0,0,0,0.24,2,0
2025-08,4437,5,1,0,0,0,0.16,1,0
2025-08,4437,6,2,0,0,0,0.51,2,0
2025-08,4438,1,1,1,0,0,0.15,1,0
2025-08,4438,2,2,0,0,0,0.25,2,0
2025-08,4438,3,1,0,0,0,0.11,1,0
2025-08,4438,4,2,1,1,0,0.22,2,1
2025-08,4438,5,2,0,0,1,0.13,2,0
2025-08,4438,6,1,0,0,0,0.14,1,0
2025-08,4440,1,2,1,0,1,0.33,2,0
2025-08,4440,2,1,0,1,0,0.24,1,0
2025-08,4440,3,2,0,0,1,0.37,2,0
2025-08,4440,4,3,1,0,2,0.26,3,1
2025-08,4440,5,1,0,0,0,0.14,1,0
2025-08,4441,1,1,0,1,0,0.23,1,0
2025-08,4441,2,2,1,0,0,0.15,2,0
2025-08,4441,3,1,0,1,0,0.08,1,0
2025-08,4441,4,1,0,1,0,0.13,1,0
2025-08,4441,5,1,0,1,0,0.08,1,0
2025-08,4441,6,2,0,0,0,0.46,2,0
2025-08,4468,1,2,2,0,0,0.26,2,0
2025-08,4468,2,1,1,0,0,0.04,1,0
2025-08,4468,3,3,0,1,0,0.43,3,0
2025-08,4468,4,1,0,1,0,0.18,1,0
2025-08,4468,6,1,0,1,0,0.13,1,0
2025-08,4498,6,1,0,0,0,0.28,1,0
2025-08,4566,1,2,2,0,0,0.17,2,0
2025-08,4566,2,2,0,0,1,0.46,2,0
2025-08,4566,3,2,0,0,2,0.38,2,0
2025-08,4566,4,1,0,0,0,0.08,1,0
2025-08,4566,5,2,0,0,0,0.42,2,0
2025-08,4583,1,1,0,0,1,0.08,1,0
2025-08,4583,2,2,1,0,0,0.51,2,1
2025-08,4583,4,2,0,0,1,0.43,2,0
2025-08,4583,5,3,0,0,1,0.6,3,0
2025-08,4583,6,1,0,0,0,0.18,1,0
2025-08,4598,1,2,0,1,0,0.2,2,0
2025-08,4598,2,6,2,3,0,0.69,6,0
2025-08,4598,3,2,0,0,1,0.2,2,0
2025-08,4598,4,1,0,0,1,0.15,1,0
2025-08,4598,5,4,2,1,0,0.68,4,2
2025-08,4598,6,4,0,1,1,0.9,4,0
2025-08,4610,1,2,1,1,0,0.43,2,0
2025-08,4610,2,4,0,1,1,0.64,4,0
2025-08,4610,3,3,0,2,0,0.46,3,0
2025-08,4610,4,3,0,0,0,0.68,3,0
2025-08,4610,5,3,0,2,0,0.67,3,0
2025-08,4610,6,3,0,0,0,0.44,3,0
2025-08,4615,1,1,1,0,0,0.23,1,0
2025-08,4615,2,2,0,0,0,0.29,2,0
2025-08,4615,3,2,0,0,0,0.46,2,0
2025-08,4615,4,1,0,0,1,0.23,1,0
2025-08,4615,5,2,0,0,1,0.41,2,0
2025-08,4615,6,1,0,0,0,0.29,1,0
2025-08,4644,1,4,2,0,0,0.91,4,0
2025-08,4644,2,3,1,0,0,0.45,3,0
2025-08,4644,3,2,0,1,0,0.36,2,0
2025-08,4644,4,4,0,0,1,0.64,4,0
2025-08,4644,5,2,0,0,1,0.28,2,0
2025-08,4644,6,4,0,0,2,0.43,4,0
2025-08,4723,1,1,0,1,0,0.23,1,0
2025-08,4723,2,2,0,0,0,0.28,2,0
2025-08,4723,3,2,0,0,0,0.57,2,0
2025-08,4723,4,2,1,0,0,0.51,2,0
2025-08,4723,5,2,0,0,0,0.57,2,0
2025-08,4723,6,1,0,0,0,0.23,1,0
2025-08,4748,1,1,1,0,0,0.22,1,0
2025-08,4748,2,3,1,1,0,0.35,3,0
2025-08,4748,3,2,0,0,2,0.43,2,0
2025-08,4748,5,1,0,0,0,0.09,1,0
2025-08,4748,6,2,0,1,0,0.14,2,0
2025-08,4792,5,1,0,0,0,0.24,1,0
2025-08,4815,1,2,2,0,0,0.34,2,0
2025-08,4815,3,2,0,0,0,0.33,2,0
2025-08,4815,4,2,0,0,1,0.23,2,0
2025-08,4815,5,1,0,0,0,0.18,1,0
2025-08,4815,6,2,0,0,0,0.32,2,0
2025-08,4832,1,2,0,0,0,0.4,2,0
2025-08,4832,2,1,0,1,0,0.06,1,0
2025-08,4832,3,1,1,0,0,0.11,1,1
2025-08,4832,4,1,0,1,0,0.21,1,0
2025-08,4832,5,2,1,0,0,0.26,2,1
2025-08,4832,6,2,0,0,0,0.33,2,0
2025-08,4835,1,1,0,1,0,0.06,1,0
2025-08,4835,2,1,0,0,0,0.24,1,0
2025-08,4835,5,1,0,0,1,0.18,1,0
2025-08,4847,1,3,2,0,0,0.18,2,0
2025-08,4847,2,2,0,0,1,0.22,2,0
2025-08,4847,3,1,1,0,0,0.06,1,1
2025-08,4847,5,1,0,0,0,0.12,1,0
2025-08,4847,6,1,0,0,1,0.08,1,0
2025-08,4872,1,2,1,0,0,0.22,2,0
2025-08,4872,2,2,0,0,1,0.26,2,0
2025-08,4872,3,1,0,0,1,0.25,1,0
2025-08,4872,4,1,0,0,0,0.19,1,0
2025-08,4872,5,2,0,0,0,0.33,2,0
2025-08,4872,6,2,0,0,0,0.41,2,0
2025-08,4876,1,2,0,0,0,0.49,2,0
2025-08,4876,2,1,0,0,0,0.15,1,0
2025-08,4876,3,2,0,0,0,0.45,2,0
2025-08,4876,4,2,1,0,0,0.56,2,1
2025-08,4876,6,2,0,0,0,0.61,2,0
2025-08,4880,1,4,1,1,1,0.5,4,0
2025-08,4880,2,3,0,0,2,0.69,3,0
2025-08,4880,3,3,0,2,0,0.59,3,0
2025-08,4880,4,4,0,2,1,0.7,4,0
2025-08,4880,5,3,0,1,0,0.46,3,0
2025-08,4880,6,3,0,0,3,0.46,3,0
2025-08,4930,1,1,0,0,1,0.01,1,0
2025-08,4930,2,2,1,1,0,0.28,2,1
2025-08,4930,3,2,0,0,1,0.42,2,0
2025-08,4930,4,2,0,1,0,0.34,2,0
2025-08,4930,5,2,0,1,0,0.37,2,0
2025-08,4930,6,1,0,0,0,0.44,1,0
2025-08,4945,1,1,0,0,0,0.09,1,0
2025-08,4945,2,2,0,0,0,0.31,2,0
2025-08,4945,3,2,1,0,0,0.47,2,1
2025-08,4945,4,2,0,0,1,0.48,2,0
2025-08,4945,5,1,0,0,1,0.12,1,0
2025-08,4945,6,1,0,0,0,0.18,1,0
2025-08,4959,1,2,2,0,0,0.39,2,0
