登番,名前,級,採用元,丸亀走数,スロー平均ST,ダッシュ平均ST,スロー巧者(<=.13),スロー遅れ警戒(>.18),ダッシュ遅れ警戒(>.18)
4442,松竹大輔,B1,全国,9,0.161,0.152,,,
4443,津田裕絵,B1,当地,18,0.219,0.173,,●,
4444,桐生順平,A1,全国,0,0.123,0.135,●,,
4445,宮地元輝,A1,全国,9,0.118,0.12,●,,
4446,和田兼輔,A1,全国,0,0.129,0.143,●,,
4447,深川麻奈美,B1,全国,9,0.187,0.194,,●,●
4448,青木玄太,A1,当地,17,0.129,0.135,●,,
4449,中嶋達也,B1,全国,0,0.175,0.157,,,
4450,平高奈菜,A2,当地,46,0.168,0.163,,,
4451,松崎祐太郎,A2,全国,0,0.15,0.167,,,
4452,松尾祭,A2,当地,40,0.148,0.179,,,
4456,鎌倉涼,A1,当地,20,0.152,0.159,,,
4457,神田達也,B1,全国,0,0.162,0.159,,,
4458,抹香雄三,B1,当地,10,0.17,0.23,,,●
4459,片岡雅裕,A2,当地,50,0.115,0.119,●,,
4460,後藤翔之,A2,全国,0,0.136,0.153,,,
4461,安田吉宏,B1,全国,0,0.168,0.173,,,
4462,夏山亮平,B1,当地,19,0.124,0.149,●,,
4463,三苫晃幸,A2,全国,0,0.147,0.16,,,
4464,山下友貴,A1,全国,7,0.17,0.208,,,●
4465,大西賢,B1,全国,9,0.188,0.207,,●,●
4466,南佑典,A2,当地,10,0.141,0.21,,,●
4467,渡邉俊介,A1,全国,0,0.13,0.141,●,,
4468,大池佑来,A1,全国,9,0.13,0.142,●,,
4469,土山卓也,A2,全国,0,0.164,0.171,,,
4470,平田健之佑,A2,当地,10,0.107,0.138,●,,
4471,新田泰章,A1,全国,0,0.14,0.168,,,
4472,尾嶋一広,A1,当地,13,0.167,0.135,,,
4473,藤堂里香,B1,当地,11,0.23,0.164,,●,
4474,渡辺崇,B1,当地,17,0.181,0.195,,●,●
4475,末永祐輝,A1,当地,16,0.113,0.144,●,,
4477,篠崎仁志,A1,全国,0,0.13,0.139,●,,
4478,櫻本あゆみ,A1,全国,0,0.154,0.163,,,
4479,矢野真梨菜,B1,全国,8,0.184,0.201,,●,●
4482,守屋美穂,A1,全国,9,0.154,0.181,,,●
4483,北野輝季,A1,当地,18,0.17,0.16,,,
4484,稲生夏季,B1,全国,0,0.212,0.21,,●,●
4485,楠原正剛,B1,当地,18,0.109,0.167,●,,
4486,野村誠,A2,全国,8,0.173,0.179,,,
4487,三原司,B1,当地,19,0.166,0.186,,,●
4488,小山勉,A1,全国,8,0.168,0.179,,,
4489,岩川仁士,B1,全国,0,0.133,0.172,,,
4491,田中堅,B1,全国,0,0.191,0.206,,●,●
4492,本多宏和,B2,全国,0,0.13,0.192,●,,●
4494,河合佑樹,A1,全国,0,0.141,0.167,,,
4495,森晋太郎,B2,全国,0,0.126,0.144,●,,
4496,内堀学,A1,当地,10,0.146,0.162,,,
4497,桑原悠,A1,当地,13,0.121,0.117,●,,
4498,宮本夏樹,B2,全国,9,0.166,0.166,,,
4499,滝川真由子,B1,当地,10,0.132,0.163,,,
4500,山田康二,A1,全国,9,0.126,0.147,●,,
4501,樋口由加里,B1,当地,10,0.132,0.217,,,●
4502,遠藤エミ,A1,全国,9,0.135,0.14,,,
4503,上野真之介,A1,全国,9,0.103,0.12,●,,
4504,前田将太,A1,全国,9,0.168,0.139,,,
4505,島田賢人,A1,全国,0,0.148,0.165,,,
4506,稗田聖也,A1,全国,0,0.14,0.129,,,
4508,野間大樹,A2,全国,0,0.159,0.188,,,●
4509,平見真彦,A2,当地,10,0.158,0.177,,,
4510,坂本奈央,B2,全国,0,0.256,0.246,,●,●
4511,中岡健人,B1,当地,37,0.151,0.164,,,
4512,高野哲史,A1,全国,0,0.143,0.152,,,
4513,河野真也,A2,当地,15,0.184,0.203,,●,●
4514,上條嘉嗣,A1,当地,12,0.171,0.2,,,●
4515,藤田浩人,A2,全国,7,0.162,0.176,,,
4516,野口勝弘,A1,全国,0,0.152,0.162,,,
4518,大須賀友,A1,当地,34,0.144,0.159,,,
4519,清水沙樹,B1,全国,0,0.166,0.155,,,
4520,高倉孝太,A2,全国,0,0.129,0.127,●,,
4521,小池公生,B1,全国,0,0.189,0.24,,●,●
4522,古澤光紀,A2,全国,0,0.146,0.141,,,
4523,中村辰也,A2,当地,14,0.12,0.147,●,,
4524,深谷知博,A1,全国,0,0.115,0.113,●,,
4525,真子奈津実,B1,全国,0,0.133,0.139,,,
4526,池田雄祐,A2,全国,6,0.15,0.148,,,
4527,高野心吾,B1,全国,0,0.15,0.201,,,●
4528,黒井達矢,A1,全国,0,0.157,0.178,,,
4529,嶋義信,A1,当地,32,0.117,0.152,●,,
4530,小野生奈,A1,当地,28,0.148,0.172,,,
4531,武富智亮,A2,全国,0,0.158,0.166,,,
4532,秋元哲,A1,全国,0,0.127,0.135,●,,
4533,峰重侑治,B1,全国,8,0.192,0.176,,●,
4534,坂咲友理,B1,全国,8,0.218,0.204,,●,●
4535,北山康介,A2,当地,13,0.142,0.141,,,
4536,喜井つかさ,A2,全国,0,0.145,0.168,,,
4537,渡邉和将,A1,全国,0,0.146,0.148,,,
4538,笠置博之,A1,当地,11,0.325,0.09,,●,
4539,金子賢志,A1,当地,10,0.104,0.104,●,,
4540,相原利章,A2,当地,12,0.127,0.097,●,,
4543,重木輝彦,A1,全国,5,0.147,0.189,,,●
4544,松田大志郎,A1,当地,13,0.154,0.142,,,
4545,岡村慶太,A1,全国,0,0.15,0.15,,,
4546,浜田亜理沙,B1,当地,17,0.177,0.16,,,
4547,中田竜太,A1,全国,0,0.15,0.17,,,
4548,篠木亜衣花,B1,全国,0,0.244,0.243,,●,●
4549,小林文彦,A2,当地,17,0.194,0.216,,●,●
4550,石岡将太,A2,当地,12,0.167,0.162,,,
4551,三川昂暁,A2,全国,0,0.171,0.165,,,
4552,杉山勝匡,B1,全国,9,0.147,0.135,,,
4553,坪口竜也,A2,当地,22,0.143,0.165,,,
4555,富永大一,B1,全国,0,0.168,0.192,,,●
4556,竹井奈美,A1,全国,9,0.168,0.157,,,
4557,松尾光広,B1,当地,11,0.167,0.218,,,●
4558,宮野仁,B1,全国,7,0.177,0.19,,,●
4560,庄司樹良々,A2,全国,7,0.143,0.154,,,
4561,藤山翔大,A2,全国,0,0.173,0.197,,,●
4562,阪本勇介,B1,全国,6,0.188,0.199,,●,●
4563,齋藤真之,B1,全国,6,0.144,0.186,,,●
4564,山本景士郎,B1,全国,8,0.183,0.201,,●,●
4565,西村豪洋,B1,全国,0,0.168,0.197,,,●
4566,塩田北斗,A1,全国,9,0.146,0.129,,,
4567,上村慎太郎,B1,当地,10,0.172,0.24,,,●
4568,廣瀬真也,B1,当地,11,0.124,0.17,●,,
4569,中澤宏奈,B1,当地,12,0.148,0.135,,,
4570,前田聖文,A1,全国,0,0.151,0.167,,,
4571,菅章哉,A1,全国,0,0.136,0.131,,,
4572,渡部悟,B1,当地,13,0.137,0.108,,,
4573,佐藤翼,A1,全国,0,0.133,0.133,,,
4574,東潤樹,A2,全国,9,0.169,0.176,,,
4575,戸塚邦好,A2,当地,11,0.178,0.143,,,
4578,藤山雅弘,A2,全国,0,0.157,0.212,,,●
4579,中嶋健一郎,A2,全国,0,0.15,0.16,,,
4580,長谷川雅和,B1,全国,4,0.159,0.174,,,
4581,吉村誠,A1,当地,15,0.156,0.147,,,
4583,古田祐貴,B1,当地,41,0.127,0.142,●,,
4584,村岡賢人,A1,全国,0,0.116,0.113,●,,
4586,磯部誠,A1,全国,9,0.12,0.13,●,,
4587,木田峰由季,A1,全国,0,0.153,0.185,,,●
4588,田中京介,A2,当地,21,0.116,0.17,●,,
4589,塩崎桐加,B1,全国,0,0.161,0.178,,,
4590,渡邉優美,A1,当地,27,0.145,0.157,,,
4592,小林孝弘,B1,全国,6,0.16,0.15,,,
4593,小坂宗司,A2,全国,0,0.163,0.172,,,
4594,谷川祐一,B1,全国,9,0.144,0.187,,,●
4596,葛原大陽,A2,当地,10,0.164,0.184,,,●
4598,加藤政彦,B1,当地,12,0.133,0.204,,,●
4600,井内将太郎,A1,全国,0,0.117,0.129,●,,
4601,森野正弘,A1,全国,8,0.125,0.136,●,,
4603,谷川将太,B1,全国,0,0.145,0.163,,,
4604,岩瀬裕亮,A1,全国,0,0.136,0.153,,,
4607,鶴田勇雄,A2,当地,12,0.155,0.197,,,●
4608,荒井翔伍,A2,当地,19,0.176,0.154,,,
4610,佐藤大佑,A1,当地,11,0.22,0.136,,●,
4611,今井美亜,A1,当地,13,0.141,0.24,,,●
4614,石倉洋行,A1,当地,10,0.133,0.135,,,
4615,板倉敦史,B1,当地,10,0.14,0.206,,,●
4618,乃村康友,B1,全国,6,0.177,0.17,,,
4619,伏田裕隆,B1,全国,9,0.19,0.168,,●,
4623,中北将史,B1,全国,7,0.154,0.174,,,
4624,高田明,A1,全国,8,0.17,0.16,,,
4625,渡邊裕貴,B1,全国,8,0.179,0.173,,,
4626,伊藤紘章,B1,全国,0,0.211,0.233,,●,●
4627,藤原菜希,A2,当地,21,0.124,0.108,●,,
4630,岩永雅人,A2,当地,11,0.148,0.156,,,
4631,新井英孝,B1,全国,9,0.138,0.17,,,
4632,長尾京志郎,B1,全国,0,0.186,0.218,,●,●
4633,森智也,A2,全国,0,0.142,0.209,,,●
4635,峰重力也,A2,当地,19,0.15,0.178,,,
4636,赤池修平,B1,当地,10,0.186,0.244,,●,●
4637,中田友也,A2,全国,0,0.185,0.173,,●,
4638,小林遼太,B1,全国,0,0.165,0.195,,,●
4639,雑賀勇貴,B1,全国,0,0.154,0.176,,,
4640,山ノ内雅人,A2,当地,20,0.152,0.128,,,
4641,磯村匠,B1,全国,0,0.178,0.202,,,●
4642,松尾夏海,A2,当地,57,0.152,0.15,,,
4643,近江翔吾,A2,当地,29,0.109,0.129,●,,
4644,山田亮太,A1,当地,10,0.168,0.113,,,
4645,上村純一,A1,全国,0,0.141,0.143,,,
4648,木村亮太,B1,全国,0,0.17,0.168,,,
4649,和田操拓,B1,全国,0,0.133,0.134,,,
4651,佐藤大騎,B1,全国,0,0.168,0.192,,,●
4652,酒見峻介,B1,全国,0,0.161,0.191,,,●
4653,小野達哉,A1,当地,24,0.146,0.138,,,
4654,篠田優也,A1,全国,8,0.164,0.176,,,
4656,大崎翔,A2,当地,18,0.126,0.151,●,,
4659,木下翔太,A1,当地,15,0.12,0.144,●,,
4660,宇田川信一,B1,全国,0,0.197,0.194,,●,●
4661,中島昂章,A2,全国,7,0.163,0.198,,,●
4663,籾山佳岳,B2,全国,0,0.133,0.217,,,●
4664,東口晃,B1,全国,7,0.187,0.202,,●,●
4665,加藤啓太,B1,全国,0,0.167,0.18,,,
4666,日笠勝弘,B1,全国,0,0.159,0.167,,,
4669,井上茂,B1,全国,0,0.14,0.192,,,●
4672,守屋大地,B1,全国,9,0.194,0.173,,●,
4674,池田剛規,B1,全国,0,0.15,0.148,,,
4675,井手良太,A2,全国,9,0.157,0.125,,,
4676,後藤隼之,A2,全国,0,0.144,0.196,,,●
4677,片橋幸貴,A1,当地,11,0.109,0.142,●,,
4678,水野望美,B1,当地,17,0.146,0.19,,,●
4679,植田太一,A2,全国,2,0.148,0.166,,,
4680,後藤美翼,A2,全国,0,0.206,0.226,,●,●
4681,太田潮,B1,全国,0,0.163,0.194,,,●
4682,大上卓人,A1,当地,12,0.108,0.152,●,,
4683,向井田直弥,B2,全国,8,0.15,0.131,,,
4684,楠原翔太,B1,全国,0,0.172,0.163,,,
4685,島村隆幸,A1,全国,9,0.135,0.157,,,
4686,丸野一樹,A1,全国,0,0.136,0.138,,,
4688,永井彪也,A1,当地,18,0.14,0.102,,,
4689,豊田結,B1,全国,0,0.146,0.167,,,
4690,高石梨菜,B2,全国,0,,,,,
4691,水原慎,B1,全国,9,0.161,0.18,,,
4692,酒井俊弘,B1,全国,9,0.136,0.109,,,
4693,松下誉士,B1,当地,11,0.167,0.188,,,●
4694,高田綾,B1,当地,17,0.172,0.189,,,●
4695,尾崎雄二,A2,当地,16,0.168,0.14,,,
4697,國弘翔平,B1,当地,16,0.147,0.227,,,●
4700,金子和之,A2,当地,10,0.164,0.154,,,
4702,三浦敬太,A1,全国,0,0.145,0.14,,,
4703,森永隆,A1,全国,0,0.157,0.155,,,
4704,河野大,A1,当地,18,0.131,0.151,,,
4705,吉川勇作,B1,当地,13,0.088,0.14,●,,
4706,三浦洋次朗,A2,全国,6,0.163,0.17,,,
4708,半田尚也,B1,全国,0,0.185,0.18,,●,
4709,岡村将也,A2,全国,0,0.143,0.156,,,
4710,福田宗平,A2,当地,10,0.152,0.172,,,
4711,前出達吉,A2,全国,0,0.16,0.163,,,
4713,白神優,A1,全国,0,0.131,0.14,,,
4714,喜多須杏奈,B1,当地,21,0.143,0.137,,,
4715,村上遼,A1,当地,13,0.154,0.174,,,
4718,北川太一,A2,当地,12,0.137,0.117,,,
4719,上條暢嵩,A1,全国,9,0.136,0.14,,,
4720,西澤日花里,B1,全国,0,0.2,0.198,,●,●
4723,寺島吉彦,B1,全国,0,0.193,0.161,,●,
4724,吉田祐貴,B1,全国,7,0.185,0.183,,●,●
4725,佐竹太一,B1,当地,11,0.187,0.184,,●,●
4726,島田なぎさ,B2,全国,0,0.145,0.144,,,
4727,安部慎一,B1,全国,0,0.146,0.161,,,
4728,山口亮,B1,当地,10,0.174,0.228,,,●
4729,佐藤謙史朗,B1,全国,7,0.194,0.187,,●,●
4730,土屋実沙希,B1,全国,9,0.155,0.187,,,●
4731,間野兼礼,B1,全国,0,0.173,0.146,,,
4732,堀本和也,A2,当地,13,0.128,0.116,●,,
4733,赤井睦,B1,当地,27,0.136,0.111,,,
4734,安河内将,A1,当地,22,0.166,0.145,,,
4735,角山雄哉,B1,全国,9,0.149,0.172,,,
4736,高倉和士,A1,当地,10,0.142,0.084,,,
4737,竹井貴史,A1,当地,10,0.158,0.125,,,
4738,清埜翔子,A2,全国,0,0.147,0.167,,,
4739,中村晃朋,A1,当地,50,0.135,0.141,,,
4740,齋藤達希,B1,全国,8,0.146,0.195,,,●
4743,木村仁紀,A1,全国,0,0.14,0.148,,,
4744,伊藤玲奈,B1,全国,4,0.218,0.237,,●,●
4746,大豆生田蒼,B1,当地,11,0.209,0.18,,●,
4747,山戸信二,B1,当地,10,0.202,0.21,,●,●
4748,渡邉雄朗,A1,全国,0,0.146,0.174,,,
4750,井上尚悟,B1,全国,0,0.165,0.164,,,
4752,西尾亮輔,B1,全国,7,0.177,0.189,,,●
4753,森照夫,B2,全国,0,0.121,0.156,●,,
4754,松尾充,A2,全国,0,0.149,0.153,,,
4756,渡邉昌成,B2,全国,0,,,,,
4757,山田祐也,A1,当地,13,0.173,0.127,,,
4758,富樫麗加,B2,全国,0,0.143,0.174,,,
4759,今泉友吾,A1,全国,8,0.163,0.164,,,
4760,山崎郡,A1,全国,0,0.144,0.138,,,
4761,山田晃大,A2,当地,19,0.16,0.131,,,
4762,藤原啓史朗,A1,全国,9,0.131,0.123,,,
4764,小池礼乃,B1,当地,10,0.198,0.176,,●,
4765,野田部宏子,B1,当地,11,0.095,0.144,●,,
4766,石井孝之,B1,全国,0,0.145,0.127,,,
4769,馬場剛,A1,全国,0,0.117,0.121,●,,
4771,下寺秀和,A1,全国,0,0.149,0.17,,,
4772,石丸海渡,A1,当地,52,0.103,0.096,●,,
4773,中川りな,A2,当地,20,0.201,0.218,,●,●
4775,千葉真弥,A2,全国,0,0.144,0.158,,,
4776,竹田和哉,A1,当地,43,0.147,0.142,,,
4778,堤啓輔,B1,全国,6,0.159,0.168,,,
4779,伊倉光,B1,当地,10,0.092,0.145,●,,
4781,西舘果里,B2,全国,0,0.177,0.183,,,●
4782,浜崎準也,B1,当地,20,0.227,0.221,,●,●
4784,向井田真紀,B1,全国,9,0.197,0.216,,●,●
4785,木幡純也,B1,全国,0,0.192,0.211,,●,●
4786,佐藤博亮,A1,当地,10,0.164,0.152,,,
4787,椎名豊,A1,当地,18,0.122,0.129,●,,
4788,小池哲也,A2,全国,0,0.147,0.17,,,
4789,古賀智之,A2,当地,12,0.116,0.117,●,,
4790,柳内敬太,A1,当地,12,0.192,0.155,,●,
4791,黒澤めぐみ,B1,全国,9,0.186,0.209,,●,●
4792,杉村賢也,B1,全国,0,0.127,0.172,●,,
4793,金子萌,A2,全国,0,0.14,0.137,,,
4794,和田拓也,A1,全国,0,0.138,0.124,,,
4796,春園功太,A1,全国,5,0.155,0.138,,,
4797,中山将,A1,全国,9,0.12,0.131,●,,
4798,浜先真範,A1,当地,18,0.141,0.146,,,
4803,飯田庄吾,B1,当地,10,0.202,0.202,,●,●
4804,高田ひかる,A1,全国,0,0.199,0.188,,●,●
4808,松尾拓,A2,全国,9,0.153,0.177,,,
4809,外崎悟,A1,全国,9,0.161,0.16,,,
4811,向井田佑紀,B1,全国,0,0.155,0.166,,,
4812,西野雄貴,A1,全国,9,0.139,0.143,,,
4813,宮内直哉,B1,全国,9,0.179,0.189,,,●
4815,伏島祐介,B1,全国,0,0.206,0.194,,●,●
4816,村松修二,A2,当地,11,0.132,0.148,,,
4817,渡邉翼,A1,当地,11,0.097,0.16,●,,
4818,伏見俊介,B2,全国,0,0.16,0.122,,,
4819,蜂須瑞生,A2,全国,0,0.157,0.187,,,●
4821,妻鳥晋也,B1,当地,38,0.2,0.178,,●,
4822,百武翔,A2,全国,7,0.146,0.194,,,●
4823,中村桃佳,A2,当地,59,0.116,0.14,●,,
4824,松井洪弥,A2,全国,0,0.127,0.125,●,,
4825,倉持莉々,A1,全国,9,0.145,0.14,,,
4826,井上一輝,A1,当地,21,0.148,0.132,,,
4828,松山将吾,A1,当地,19,0.157,0.164,,,
4831,羽野直也,A1,全国,0,0.139,0.156,,,
4832,権藤俊光,A1,当地,10,0.186,0.166,,●,
4834,浜本裕己,A2,当地,12,0.148,0.17,,,
4835,橋本明,B1,当地,10,0.126,0.172,●,,
4836,大谷健太,B1,当地,12,0.162,0.118,,,
4837,酒井陽祐,B1,全国,8,0.159,0.16,,,
4839,四宮与寛,A2,当地,11,0.163,0.16,,,
4840,鈴木秀茉,B1,全国,0,0.142,0.173,,,
4842,山下昂大,A2,当地,10,0.13,0.16,●,,
4843,深尾巴恵,B1,当地,11,0.173,0.19,,,●
4844,村上奈穂,B1,全国,9,0.158,0.199,,,●
4845,前田紗希,A1,当地,16,0.098,0.157,●,,
4846,佐藤駿介,B1,全国,6,0.15,0.181,,,●
4847,佐藤隆太郎,A1,当地,16,0.166,0.209,,,●
4848,仲谷颯仁,A1,全国,9,0.143,0.149,,,
4850,野中一平,A2,全国,9,0.117,0.113,●,,
4851,関浩哉,A1,全国,9,0.139,0.119,,,
4852,川原祐明,A1,当地,48,0.153,0.162,,,
4853,前原哉,B1,当地,16,0.177,0.219,,,●
4854,大橋由珠,B2,全国,9,0.206,0.154,,●,
4856,豊田健士郎,A1,全国,0,0.134,0.144,,,
4857,加藤翔馬,A1,全国,0,0.149,0.176,,,
4861,田中宏樹,A2,全国,9,0.157,0.179,,,
4863,三浦裕貴,B1,全国,0,0.164,0.16,,,
4864,小川日紀太,B1,当地,10,0.13,0.084,●,,
4865,立具敬司,B2,全国,0,0.153,0.191,,,●
4866,橋本英一,B1,全国,0,0.155,0.183,,,●
4871,菊池宏志,B1,全国,0,0.164,0.172,,,
4872,山下流心,B1,当地,20,0.154,0.186,,,●
4873,蒲原健太,B1,当地,11,0.173,0.188,,,●
4874,池田奈津美,B1,当地,18,0.143,,,,
4875,大塚康雅,B1,全国,0,0.178,0.186,,,●
4876,梅木敬太,B1,全国,0,0.174,0.167,,,
4877,鈴谷一平,A1,全国,0,0.141,0.146,,,
4878,西岡育未,B1,当地,10,0.218,0.138,,●,
4879,山崎鉄平,B1,全国,0,0.174,0.168,,,
4880,澤崎雄哉,B1,全国,0,0.162,0.182,,,●
4882,瀧川千依,B2,全国,0,0.211,0.265,,●,●
4883,岡部大輝,A2,当地,18,0.191,0.181,,●,●
4884,勝浦真帆,B2,全国,0,0.11,0.144,●,,
4885,大山千広,A2,全国,0,0.142,0.157,,,
4886,入海馨,A2,全国,9,0.132,0.156,,,
4887,富澤祐作,B1,全国,0,0.132,0.132,,,
4888,金児隆太,B1,全国,0,0.207,0.174,,●,
4889,後藤盛也,B1,全国,0,0.133,0.131,,,
4890,石川諒,A2,全国,8,0.141,0.134,,,
4891,寺島美里,B1,全国,8,0.146,0.171,,,
4892,柴田直哉,B1,全国,0,0.162,0.217,,,●
4893,渡邉真奈美,B1,当地,10,0.17,0.16,,,
4894,原村拓也,B1,当地,47,0.207,0.195,,●,●
4895,門間雄大,A2,全国,3,0.154,0.146,,,
4896,花本剛,B1,当地,18,0.202,0.153,,●,
4897,深見亜由美,B1,当地,11,0.222,0.16,,●,
4898,菊地敬介,B1,全国,0,0.156,0.157,,,
4899,占部一真,B1,当地,10,0.136,0.128,,,
4900,中田夕貴,B1,当地,23,0.153,0.177,,,
4901,出口舞有子,B1,全国,0,0.175,0.157,,,
4902,山川雄大,B1,全国,0,0.192,0.199,,●,●
4903,吉田凌太朗,A1,当地,10,0.182,0.08,,●,
4904,松本一毅,B1,全国,0,0.17,0.177,,,
4905,土井祥伍,B1,全国,8,0.202,0.215,,●,●
4906,鈴木雅希,A2,全国,0,0.17,0.18,,,
4907,小池修平,A1,全国,9,0.147,0.143,,,
4908,上田龍星,A1,全国,0,0.133,0.169,,,
4909,薮内瑞希,B1,当地,10,0.188,0.206,,●,●
4910,中村泰平,A1,当地,19,0.122,0.116,●,,
4911,片岡大地,A2,当地,10,0.164,0.122,,,
4914,吉田裕平,A1,全国,9,0.108,0.134,●,,
4917,岩橋裕馬,B1,全国,0,0.173,0.163,,,
4918,川島拓郎,B1,全国,0,0.144,0.164,,,
4919,吉田翔悟,B1,全国,0,0.164,0.197,,,●
4924,中北涼,B1,当地,18,0.144,0.229,,,●
4925,森悠稀,A2,当地,26,0.132,0.161,,,
4926,吉川貴仁,A1,全国,7,0.159,0.153,,,
4927,関野文,A2,当地,21,0.147,0.204,,,●
4928,栗城匠,A1,全国,8,0.149,0.142,,,
4930,佐藤悠,A2,全国,0,0.143,0.17,,,
4931,木谷賢太,A1,当地,69,0.134,0.161,,,
4932,新開航,A1,全国,8,0.142,0.157,,,
4933,板橋侑我,A2,当地,11,0.177,0.075,,,
4934,佐々木翔斗,A2,当地,22,0.154,0.22,,,●
4936,戸敷晃美,A2,全国,9,0.153,0.159,,,
4938,小芦るり華,A1,当地,28,0.107,0.179,●,,
4939,宮之原輝紀,A1,全国,0,0.142,0.137,,,
4940,白石有美,B2,全国,0,0.165,0.19,,,●
4941,孫崎百世,B1,全国,6,0.205,0.205,,●,●
4942,柴田朋哉,B1,当地,12,0.163,0.192,,,●
4943,八木治樹,B1,全国,0,0.149,0.143,,,
4944,田代達也,B1,全国,7,0.17,0.181,,,●
4945,上村宏太,B1,全国,9,0.194,0.163,,●,
4947,間庭菜摘,B1,当地,11,0.192,0.172,,●,
4948,木場悠介,B1,当地,10,0.138,0.19,,,●
4949,横田貴満,A2,全国,6,0.15,0.168,,,
4950,高岡竜也,A1,全国,8,0.159,0.168,,,
4951,新田洋一,B1,全国,7,0.15,0.134,,,
4952,吉武真也,B1,全国,0,0.164,0.207,,,●
4953,尾上雅也,A1,全国,0,0.167,0.154,,,
4954,内山峻輔,B1,全国,0,0.17,0.195,,,●
4956,齊藤大将,B1,全国,7,0.161,0.191,,,●
4957,竹之内極,B1,全国,0,0.171,0.171,,,
4958,溝口海義也,A1,全国,0,0.136,0.13,,,
4959,井上忠政,A1,全国,9,0.154,0.143,,,
4960,黒野元基,A1,全国,0,0.144,0.135,,,
4961,西橋奈未,A1,全国,8,0.14,0.154,,,
4962,畑竜生,A2,全国,0,0.166,0.163,,,
4963,實森美祐,A1,全国,9,0.14,0.165,,,
4964,土屋南,A2,全国,0,0.145,0.146,,,
4965,福岡泉水,B1,全国,9,0.201,0.172,,●,
4966,田川大貴,B1,当地,12,0.14,0.185,,,●
4967,中村魁生,A1,当地,13,0.158,0.117,,,
4969,町田洸希,B1,当地,10,0.174,0.184,,,●
4973,栗原直也,B1,全国,6,0.153,0.179,,,
4974,安井瑞紀,A2,当地,11,0.196,0.152,,●,
4976,金山立樹,B1,全国,0,0.196,0.205,,●,●
4977,馬野耀,A2,全国,9,0.164,0.15,,,
4978,山田和佐,B1,当地,18,0.151,0.187,,,●
4979,中野夢斗,B1,全国,0,0.164,0.166,,,
4980,佐々木完太,A1,全国,0,0.147,0.171,,,
4981,牧山敦也,B1,当地,14,0.166,0.193,,,●
4982,中村将隆,B1,全国,7,0.132,0.174,,,
4983,前田篤哉,A1,全国,0,0.147,0.147,,,
4984,森下愛梨,B1,当地,19,0.197,0.26,,●,●
4985,井本昌也,A1,全国,7,0.137,0.153,,,
4987,島倉都,B1,全国,0,0.162,0.194,,,●
4988,牟田奨太,B1,当地,11,0.112,0.14,●,,
4989,石原翼,A2,全国,8,0.147,0.154,,,
4990,田中博子,B2,全国,0,0.215,0.207,,●,●
4991,宗行治哉,A1,全国,0,0.163,0.19,,,●
4992,廣瀬篤哉,B1,全国,0,0.159,0.158,,,
4994,山本梨菜,A2,当地,20,0.152,0.19,,,●
4995,田邉亮蔵,B1,当地,12,0.216,0.136,,●,
4997,濱崎寿里矢,B2,当地,10,0.132,0.212,,,●
4998,中村かなえ,B2,全国,0,0.138,0.141,,,
5000,岡本翔太郎,B1,当地,10,0.084,0.154,●,,
5002,上田健太,A2,当地,10,0.172,0.138,,,
5003,来田衣織,B1,当地,26,0.152,0.15,,,
5004,河野主樹,A2,全国,0,0.143,0.163,,,
5005,石田貴洋,A1,全国,6,0.152,0.147,,,
5006,久保原秀人,B1,全国,0,0.202,0.199,,●,●
5007,近藤雄一郎,B1,全国,9,0.16,0.199,,,●
5008,羽野諒,B1,全国,8,0.153,0.147,,,
5009,大賀龍之介,A2,全国,0,0.162,0.16,,,
5010,宇留田翔平,A2,全国,0,0.133,0.143,,,
5011,高木圭大,B1,全国,7,0.144,0.159,,,
5012,加倉侑征,B1,当地,22,0.108,0.14,●,,
5013,山下夏鈴,B1,当地,11,0.19,0.15,,●,
5014,梶山涼斗,B1,当地,18,0.126,0.143,●,,
5015,高橋竜矢,A1,当地,16,0.116,0.162,●,,
5016,宮田龍馬,A1,全国,0,0.139,0.149,,,
5017,澤田尚也,A1,全国,3,0.126,0.137,●,,
5018,竹下大樹,A1,当地,21,0.146,0.151,,,
5019,柴田百恵,B1,全国,8,0.168,0.166,,,
5020,宮村勇哉,B1,全国,0,0.165,0.187,,,●
5022,伊藤尚汰,B1,全国,0,0.18,0.183,,,●
5023,久永祥平,A2,全国,0,0.144,0.174,,,
5026,安河内健,A1,当地,10,0.19,0.112,,●,
5027,重冨勇哉,B1,当地,20,0.168,0.119,,,
5028,原田才一郎,A1,当地,11,0.09,0.193,●,,●
5029,中亮太,A1,当地,12,0.168,0.15,,,
5030,金子千穂,B2,全国,0,,,,,
5031,渡辺空依,B1,当地,17,0.146,0.211,,,●
5032,谷口知優,A2,当地,53,0.137,0.141,,,
5033,藤原孝斗,B1,全国,8,0.17,0.183,,,●
5034,若林義人,A1,全国,0,0.116,0.14,●,,
5035,櫻井優,A2,全国,4,0.174,0.163,,,
5036,福田翔吾,B1,全国,0,0.184,0.167,,●,
5037,田頭虎親,B1,当地,44,0.169,0.194,,,●
5038,金田智博,A2,全国,0,0.172,0.159,,,
5039,倉田茂将,B1,全国,0,0.165,0.151,,,
5041,荒牧凪沙,B1,全国,7,0.187,0.199,,●,●
5042,畑田汰一,A1,全国,0,0.111,0.127,●,,
5043,中村日向,A1,当地,45,0.138,0.14,,,
5044,渡邉健,B1,当地,23,0.153,0.12,,,
