jcd,date,race,band,points,cost,hit,ret,synth,fair_p,combo,payout,points_n50,cost_n50,hit_n50,ret_n50,fair_p_n50,rank_win
09,2025-10-16,4,head2,20,2000,0,0,4.4,0.1705,4-5-2,2170,13,1300,0,0,0.1579,7
09,2025-10-16,4,head3,20,2000,0,0,22.32,0.0336,4-5-2,2170,1,100,0,0,0.005,7
09,2025-10-16,4,head4,20,2000,1,2170,2.83,0.265,4-5-2,2170,16,1600,1,2170,0.255,7
09,2025-10-16,4,head5,20,2000,0,0,12.29,0.061,4-5-2,2170,5,500,0,0,0.0338,7
09,2025-10-16,4,head6,20,2000,0,0,38.45,0.0195,4-5-2,2170,0,0,0,0,0.0,7
09,2025-10-16,4,anti_in,100,10000,1,2170,1.36,0.5497,4-5-2,2170,35,3500,1,2170,0.4518,7
09,2025-10-21,4,head1,20,2000,0,0,1.46,0.5126,3-1-5,4010,19,1900,0,0,0.5073,14
09,2025-10-21,4,head2,20,2000,0,0,6.36,0.118,3-1-5,4010,7,700,0,0,0.077,14
09,2025-10-21,4,head3,20,2000,1,4010,3.37,0.2224,3-1-5,4010,18,1800,1,4010,0.2126,14
09,2025-10-21,4,head4,20,2000,0,0,9.97,0.0752,3-1-5,4010,5,500,0,0,0.0329,14
09,2025-10-21,4,head5,20,2000,0,0,13.13,0.0571,3-1-5,4010,1,100,0,0,0.0076,14
09,2025-10-21,4,head6,20,2000,0,0,46.59,0.0161,3-1-5,4010,0,0,0,0,0.0,14
09,2025-10-21,4,anti_in,100,10000,1,4010,1.53,0.4888,3-1-5,4010,31,3100,1,4010,0.33,14
09,2025-10-22,4,head1,20,2000,1,2590,1.43,0.5257,1-3-2,2590,20,2000,1,2590,0.5257,6
09,2025-10-22,4,head2,20,2000,0,0,3.89,0.1929,1-3-2,2590,13,1300,0,0,0.1625,6
09,2025-10-22,4,head3,20,2000,0,0,5.67,0.1323,1-3-2,2590,12,1200,0,0,0.1049,6
09,2025-10-22,4,head4,20,2000,0,0,8.77,0.0855,1-3-2,2590,5,500,0,0,0.0336,6
09,2025-10-22,4,head5,20,2000,0,0,19.74,0.038,1-3-2,2590,0,0,0,0,0.0,6
09,2025-10-22,4,head6,20,2000,0,0,27.13,0.0276,1-3-2,2590,0,0,0,0,0.0,6
09,2025-10-22,4,anti_in,100,10000,0,0,1.57,0.4764,1-3-2,2590,30,3000,0,0,0.301,6
09,2025-10-23,4,head1,20,2000,1,2910,1.11,0.6752,1-6-4,2910,20,2000,1,2910,0.6752,12
09,2025-10-23,4,head2,20,2000,0,0,13.95,0.0537,1-6-4,2910,4,400,0,0,0.0253,12
09,2025-10-23,4,head3,20,2000,0,0,7.93,0.0946,1-6-4,2910,9,900,0,0,0.0708,12
09,2025-10-23,4,head4,20,2000,0,0,6.7,0.112,1-6-4,2910,13,1300,0,0,0.0953,12
09,2025-10-23,4,head5,20,2000,0,0,34.27,0.0219,1-6-4,2910,0,0,0,0,0.0,12
