regno,選手名,総出走,攻め走,一着,逃げ,差し,まくり,まくり差し,抜き,恵まれ,まくりゼロ,まくり系ゼロ
4925,森悠稀,232,191,40,22,0,8,10,0,0,,
4835,橋本明,222,191,17,13,2,0,1,1,0,●,
4308,河村了,251,191,69,43,8,2,13,3,0,,
4488,小山勉,246,191,67,37,7,9,10,3,1,,
3611,岩崎芳美,237,191,34,22,4,2,4,2,0,,
4108,吉村正明,233,191,54,30,8,7,5,4,0,,
5343,小林礼央,197,191,6,2,1,1,2,0,0,,
4406,幸野史明,217,191,28,16,2,6,3,1,0,,
4963,實森美祐,239,191,58,35,8,10,5,0,0,,
4289,落合直子,237,191,52,27,8,8,4,3,2,,
4633,森智也,235,191,36,24,5,3,1,3,0,,
4053,芦澤望,235,191,45,25,7,9,3,1,0,,
4950,高岡竜也,238,191,66,35,5,13,6,6,1,,
4949,横田貴満,248,191,57,36,6,4,10,1,0,,
4287,今井貴士,242,191,47,31,4,6,3,3,0,,
4703,森永隆,245,190,61,32,3,14,10,1,1,,
4485,楠原正剛,228,190,32,14,4,6,5,3,0,,
4861,田中宏樹,220,190,29,16,8,2,0,3,0,,
4330,奈須啓太,239,190,52,29,2,14,5,2,0,,
4151,下河誉史,229,190,32,18,7,2,2,3,0,,
4603,谷川将太,225,190,40,25,5,4,5,1,0,,
3922,菅沼佳昭,219,190,17,9,3,0,2,1,2,●,
5282,中本大樹,221,190,34,15,5,12,1,1,0,,
5157,市川健太,224,190,33,18,6,3,5,1,0,,
4876,梅木敬太,220,190,28,14,2,3,2,7,0,,
4266,長田頼宗,248,190,64,45,4,3,8,4,0,,
4144,石塚久也,228,190,41,24,5,5,1,5,1,,
4196,田中太一郎,218,190,17,11,2,2,2,0,0,,
4966,田川大貴,233,190,43,22,5,5,5,6,0,,
5213,湯淺紀香,226,190,37,19,3,8,1,4,2,,
3743,林美憲,249,190,55,30,4,10,7,4,0,,
5154,村松栄太,218,190,25,10,5,8,2,0,0,,
4327,加藤翔,219,190,16,9,0,4,3,0,0,,
3891,谷口健一,218,190,11,7,3,1,0,0,0,,
4344,新田雄史,240,190,61,35,3,6,9,7,1,,
3430,角浜修,219,190,24,14,2,5,3,0,0,,
3973,崎利仁,222,190,19,8,3,2,4,2,0,,
4584,村岡賢人,244,189,54,32,5,5,9,3,0,,
3401,上田隆章,218,189,23,14,2,3,3,1,0,,
4908,上田龍星,244,189,77,48,5,8,8,8,0,,
4725,佐竹太一,220,189,32,13,7,6,2,4,0,,
5166,仲道大輔,237,189,58,30,8,10,5,5,0,,
4390,松本弓雄,217,189,17,7,2,4,2,2,0,,
4520,高倉孝太,226,189,47,15,3,15,7,4,3,,
4939,宮之原輝紀,249,189,92,49,12,9,15,6,1,,
4318,桑原将光,229,189,32,17,6,2,1,4,2,,
3435,寺田千恵,245,189,52,36,6,6,2,1,1,,
4100,松田隆司,222,189,34,18,2,5,8,1,0,,
4111,奥田誠,223,189,34,18,3,9,2,2,0,,
4336,松田竜馬,224,189,28,23,2,1,1,1,0,,
4513,河野真也,238,189,60,34,2,15,6,3,0,,
3797,岩井繁,218,189,9,5,2,0,2,0,0,●,
5337,出畑孝成,189,189,12,0,1,1,8,2,0,,
5330,安河内鈴之介,227,188,62,32,4,10,10,5,1,,
4934,佐々木翔斗,236,188,43,24,7,5,3,4,0,,
4396,大田直弥,227,188,26,12,4,1,6,3,0,,
4547,中田竜太,238,188,43,20,4,7,6,5,1,,
4573,佐藤翼,231,188,51,30,2,8,6,5,0,,
4872,山下流心,218,188,22,10,2,3,3,4,0,,
5273,山下拓巳,220,188,25,13,2,6,4,0,0,,
5098,大江純,214,188,31,5,4,6,8,7,1,,
4463,三苫晃幸,235,188,39,19,6,0,13,1,0,●,
3826,村田修次,235,188,40,24,5,3,4,4,0,,
3719,辻栄蔵,233,188,50,29,5,4,8,4,0,,
3779,原田幸哉,242,188,63,39,3,11,6,2,2,,
4686,丸野一樹,232,188,62,33,9,6,10,4,0,,
4445,宮地元輝,235,188,56,38,4,9,2,3,0,,
3941,池田浩二,249,188,80,48,8,6,11,7,0,,
3839,川合理司,217,188,7,4,1,1,1,0,0,,
3977,山本兼士,216,188,24,9,6,8,1,0,0,,
4642,松尾夏海,242,188,78,41,9,7,17,4,0,,
5161,登玉隼百,227,187,48,29,3,12,3,0,1,,
