登番,名前,級,1コ進入,1コ負け,1コ負け時2着率,型,外進入(全国),外3着残し率(全国),丸亀外進入,丸亀外3着残し率,外採用値,6コ進入,6コ2着率,6コ3着率
4133,高橋正男,A2,49,22,0.455,中間,110,0.527,0,,0.527,36,,
4488,小山勉,A1,55,17,,,109,0.514,0,,0.514,35,,
3350,藤本佳史,B1,34,13,,,94,0.33,0,,0.33,27,,
5281,井上遥妃,A1,41,12,,,102,0.451,8,,0.451,34,,
5280,廣瀬凜,A1,48,7,,,122,0.639,6,,0.639,35,,
4072,森永淳,A1,51,11,,,97,0.567,6,,0.567,20,,
4411,沢田昭宏,A2,48,17,,,124,0.387,5,,0.387,41,0.049,0.122
5387,戸田海咲音,B2,0,0,,,115,0.026,16,,0.026,69,0.0,0.029
4715,村上遼,A1,42,15,,,96,0.531,5,,0.531,31,,
4462,夏山亮平,B1,25,10,,,91,0.286,11,,0.286,21,,
4914,吉田裕平,A1,38,4,,,117,0.453,5,,0.453,32,,
4592,小林孝弘,B1,26,20,,,96,0.281,3,,0.281,22,,
3617,竹田広樹,B1,25,14,,,89,0.191,4,,0.191,19,,
5331,佐藤永梧,B1,25,13,,,87,0.368,4,,0.368,30,,
4238,毒島誠,A1,57,8,,,66,0.682,0,,0.682,9,,
4256,渡辺浩司,A1,49,17,,,115,0.626,4,,0.626,41,0.22,0.293
5128,坪井爽佑,B1,16,13,,,85,0.376,4,,0.376,27,,
4674,池田剛規,B1,48,19,,,123,0.431,0,,0.431,40,0.15,0.225
4483,北野輝季,A1,55,15,,,122,0.5,9,,0.5,37,,
5136,濱野斗馬,A1,60,16,,,132,0.47,21,,0.47,43,0.116,0.233
4011,堀之内紀代子,A2,34,12,,,97,0.464,10,,0.464,32,,
4225,土屋千明,A2,40,16,,,87,0.437,0,,0.437,27,,
4552,杉山勝匡,B1,31,13,,,110,0.373,4,,0.373,42,0.048,0.119
5139,大場恒季,A1,43,14,,,95,0.505,5,,0.505,23,,
4901,出口舞有子,B1,30,14,,,97,0.392,0,,0.392,20,,
4432,黄金井力良,B1,42,24,0.5,中間,113,0.354,0,,0.354,30,,
3544,豊田訓靖,B1,27,23,,,97,0.268,0,,0.268,27,,
4649,和田操拓,B1,45,20,0.45,中間,129,0.341,0,,0.341,44,0.045,0.159
4866,橋本英一,B1,17,11,,,81,0.247,0,,0.247,24,,
4625,渡邊裕貴,B1,23,8,,,88,0.307,4,,0.307,24,,
4390,松本弓雄,B1,27,20,,,104,0.269,5,,0.269,26,,
4895,門間雄大,A2,30,19,,,100,0.43,1,,0.43,29,,
3784,中島友和,B1,28,17,,,97,0.34,4,,0.34,29,,
4998,中村かなえ,B2,12,7,,,55,0.364,0,,0.364,13,,
4547,中田竜太,A1,51,26,0.462,中間,121,0.504,0,,0.504,36,,
5338,香月大輝,B1,14,7,,,133,0.248,0,,0.248,46,0.043,0.152
3951,石川吉鎬,B1,37,22,,,103,0.34,5,,0.34,26,,
4504,前田将太,A1,58,19,,,108,0.491,4,,0.491,34,,
5219,森口和紀,B1,22,7,,,94,0.351,8,,0.351,32,,
4917,岩橋裕馬,B1,29,20,,,97,0.216,0,,0.216,32,,
4528,黒井達矢,A1,42,10,,,107,0.579,4,,0.579,29,,
5283,植木美帆,B2,10,8,,,63,0.127,0,,0.127,23,,
4340,土性雅也,B2,4,3,,,34,0.176,0,,0.176,11,,
4269,杉山裕也,A2,57,21,0.619,残す,120,0.575,0,,0.575,31,,
4229,市川美宏,B1,25,17,,,81,0.272,0,,0.272,25,,
4252,松下哲也,B1,30,21,,,116,0.362,0,,0.362,35,,
4184,渡邊雄一郎,A1,49,13,,,99,0.707,0,,0.707,24,,
3081,岡本慎治,B1,15,10,,,50,0.26,6,,0.26,19,,
4452,松尾祭,A2,51,27,0.63,残す,126,0.365,19,,0.365,39,,
4422,永井亮次,B1,26,9,,,97,0.268,4,,0.268,28,,
3997,北村征嗣,A1,68,20,0.4,飛ぶ,131,0.511,8,,0.511,29,,
5310,土屋蘭,B1,21,14,,,92,0.326,9,,0.326,35,,
4644,山田亮太,A1,43,15,,,111,0.541,4,,0.541,28,,
5167,小川竜太朗,B1,29,22,,,92,0.337,0,,0.337,25,,
3978,齊藤仁,A2,44,15,,,109,0.404,0,,0.404,37,,
3900,香川素子,A2,46,18,,,105,0.505,11,,0.505,31,,
4367,山口修路,B1,21,15,,,89,0.337,6,,0.337,24,,
3984,坂口周,A1,62,16,,,126,0.437,0,,0.437,33,,
4750,井上尚悟,B1,26,16,,,101,0.337,0,,0.337,20,,
3581,加木郁,B1,36,20,,,104,0.327,0,,0.327,27,,
5249,三木晴斗,B1,31,19,,,102,0.343,10,,0.343,36,,
4568,廣瀬真也,B1,35,10,,,100,0.39,6,,0.39,40,0.05,0.15
3771,折下寛法,B1,35,15,,,104,0.375,7,,0.375,24,,
5206,梅原祥平,B1,18,13,,,69,0.246,0,,0.246,20,,
5130,上野拓馬,B1,29,20,,,101,0.337,0,,0.337,35,,
3950,石川哲秀,B1,25,23,,,82,0.256,0,,0.256,23,,
5444,林風音,B2,0,0,,,120,0.017,0,,0.017,117,0.009,0.009
4643,近江翔吾,A2,45,9,,,103,0.466,13,,0.466,31,,
4155,長野壮志郎,A2,51,21,0.524,中間,103,0.515,2,,0.515,34,,
5240,高橋龍治,B1,27,14,,,92,0.272,0,,0.272,38,,
4907,小池修平,A1,54,15,,,112,0.554,5,,0.554,36,,
5197,中野仁照,B2,15,6,,,63,0.413,0,,0.413,30,,
3579,中里優子,B1,20,14,,,76,0.303,3,,0.303,21,,
4342,谷野錬志,A2,39,9,,,104,0.548,3,,0.548,30,,
4960,黒野元基,A1,59,9,,,124,0.653,0,,0.653,33,,
4027,松江秀徳,A2,34,16,,,95,0.358,0,,0.358,19,,
3907,村越篤,B1,44,15,,,119,0.37,25,0.36,0.36,39,,
4803,飯田庄吾,B1,23,18,,,85,0.224,5,,0.224,27,,
3159,江口晃生,A1,50,22,0.591,残す,0,,0,,,0,,
5109,川崎智稔,B1,30,20,,,109,0.312,7,,0.312,39,,
3684,清水攻二,A2,37,18,,,96,0.417,4,,0.417,30,,
5279,石渡翔一郎,B1,35,17,,,93,0.43,0,,0.43,29,,
3538,菊池峰晴,B2,13,11,,,59,0.271,0,,0.271,14,,
4819,蜂須瑞生,A2,38,16,,,102,0.373,0,,0.373,38,,
5108,柴田愛梨,B2,13,10,,,57,0.105,0,,0.105,18,,
3226,浦田信義,B1,34,21,,,89,0.36,0,,0.36,27,,
5396,近藤来希,B2,0,0,,,146,0.062,6,,0.062,91,0.0,0.022
4103,山崎善庸,B1,26,21,,,86,0.244,8,,0.244,27,,
3964,宮地博士,B1,23,19,,,97,0.186,5,,0.186,25,,
4174,赤坂俊輔,A1,68,24,0.25,飛ぶ,110,0.491,13,,0.491,11,,
3596,河上年昭,B1,20,11,,,77,0.247,4,,0.247,24,,
5256,中山翔太,A1,52,7,,,107,0.514,0,,0.514,32,,
