登番,名前,級,全国3/4進入,全国まくり率,丸亀3/4進入,丸亀まくり率,採用値,絞りまくり型
4129,宇野博之,B1,61,0.016,2,,0.016,
3349,吉田一郎,A1,105,0.114,5,,0.114,
4109,谷津幸宏,A2,96,0.104,4,,0.104,
4757,山田祐也,A1,80,0.138,4,,0.138,●
3783,瓜生正義,A1,86,0.093,0,,0.093,
4561,藤山翔大,A2,97,0.33,0,,0.33,●
4430,永田秀二,A2,90,0.156,0,,0.156,●
4856,豊田健士郎,A1,97,0.165,0,,0.165,●
4643,近江翔吾,A2,75,0.133,13,,0.133,●
4286,平田さやか,A2,102,0.088,0,,0.088,
5287,滝沢織寧,B1,64,0.031,1,,0.031,
4623,中北将史,B1,77,0.039,4,,0.039,
5378,鈴木結平太,B2,22,0.0,0,,0.0,
4209,藤田竜弘,A2,73,0.068,5,,0.068,
5354,渡邊雄斗,B1,41,0.0,0,,0.0,
3474,松瀬弘美,B1,75,0.013,3,,0.013,
5155,内山七海,A2,76,0.092,7,,0.092,
4689,豊田結,B1,69,0.072,0,,0.072,
4893,渡邉真奈美,B1,66,0.121,4,,0.121,●
4073,大橋純一郎,A1,91,0.165,2,,0.165,●
4981,牧山敦也,B1,76,0.026,6,,0.026,
3814,金子貴志,B1,74,0.027,0,,0.027,
3994,小野桜,B1,66,0.061,4,,0.061,
4400,加藤奈月,B1,72,0.0,5,,0.0,
5248,本田愛,B1,58,0.052,0,,0.052,
3518,倉田郁美,B1,59,0.068,1,,0.068,
4822,百武翔,A2,94,0.085,3,,0.085,
4193,郷原章平,A2,100,0.17,0,,0.17,●
4433,川野芽唯,A1,88,0.091,7,,0.091,
4017,向井美鈴,B1,80,0.062,3,,0.062,
4514,上條嘉嗣,A1,97,0.186,4,,0.186,●
3455,谷本幸司,B1,82,0.049,0,,0.049,
3891,谷口健一,B1,86,0.0,0,,0.0,
4191,赤羽克也,A1,82,0.159,3,,0.159,●
5061,中村駿平,B1,59,0.085,0,,0.085,
4901,出口舞有子,B1,59,0.085,0,,0.085,
4137,君島秀三,A1,91,0.154,4,,0.154,●
4533,峰重侑治,B1,45,0.044,1,,0.044,
4761,山田晃大,A2,97,0.124,3,,0.124,●
4197,渥美卓郎,B1,73,0.041,4,,0.041,
4879,山崎鉄平,B1,68,0.103,0,,0.103,
5031,渡辺空依,B1,69,0.043,7,,0.043,
4176,樋口喜彦,B2,43,0.047,4,,0.047,
3202,三品隆浩,B1,70,0.043,2,,0.043,
4740,齋藤達希,B1,80,0.062,5,,0.062,
5082,一色凌雅,B1,90,0.089,1,,0.089,
5170,佐藤太亮,B1,67,0.03,3,,0.03,
4064,原田篤志,A1,91,0.055,10,,0.055,
4563,齋藤真之,B1,71,0.085,3,,0.085,
5369,岡崎凪汰,B1,48,0.062,1,,0.062,
4846,佐藤駿介,B1,72,0.028,0,,0.028,
3502,渡邉英児,A2,87,0.092,4,,0.092,
4389,伊藤喜智,A2,72,0.083,6,,0.083,
4225,土屋千明,A2,54,0.056,0,,0.056,
4124,池田雄一,A2,74,0.095,0,,0.095,
4439,近藤友宝,B1,67,0.015,3,,0.015,
4105,松下直也,B1,91,0.055,6,,0.055,
4511,中岡健人,B1,74,0.041,12,,0.041,
4348,宮崎奨,A2,84,0.024,25,0.0,0.0,
5029,中亮太,A1,90,0.189,4,,0.189,●
4154,森安弘雅,B1,83,0.084,20,0.1,0.1,
4381,田路朋史,A2,70,0.157,4,,0.157,●
3434,松尾宣邦,B1,70,0.014,3,,0.014,
4724,吉田祐貴,B1,46,0.0,3,,0.0,
4808,松尾拓,A2,80,0.163,1,,0.163,●
4710,福田宗平,A2,84,0.06,5,,0.06,
5020,宮村勇哉,B1,61,0.082,0,,0.082,
5284,嘉手苅徹哉,B2,52,0.038,1,,0.038,
5053,山口広樹,B1,62,0.065,0,,0.065,
4236,松村敏,A1,86,0.174,3,,0.174,●
4632,長尾京志郎,B1,61,0.066,0,,0.066,
4736,高倉和士,A1,79,0.089,3,,0.089,
4204,柴田大輔,B1,74,0.095,6,,0.095,
4952,吉武真也,B1,62,0.016,0,,0.016,
5351,齊藤廉,B1,61,0.016,0,,0.016,
5101,表健太,B1,59,0.017,0,,0.017,
4861,田中宏樹,A2,71,0.0,3,,0.0,
5240,高橋龍治,B1,59,0.051,0,,0.051,
5263,花田凱成,B1,77,0.026,3,,0.026,
4958,溝口海義也,A1,87,0.092,0,,0.092,
4702,三浦敬太,A1,66,0.242,0,,0.242,●
4172,森定晃史,A2,85,0.035,4,,0.035,
4000,松本博昭,A2,98,0.122,4,,0.122,●
3277,齋藤勇,B1,81,0.037,7,,0.037,
4143,浦田晃嗣,B1,69,0.058,9,,0.058,
3284,渡邊伸太郎,B1,71,0.056,4,,0.056,
4550,石岡将太,A2,82,0.049,9,,0.049,
3660,長谷川親王,B1,57,0.0,11,,0.0,
4111,奥田誠,A2,81,0.062,10,,0.062,
3834,細川明人,B1,62,0.032,7,,0.032,
4051,清水敦揮,A2,63,0.111,9,,0.111,
4216,星栄爾,B1,81,0.062,7,,0.062,
5128,坪井爽佑,B1,59,0.102,4,,0.102,
5400,高村諒,B2,25,0.0,3,,0.0,
5395,日高龍之介,B1,21,0.0,3,,0.0,
4705,吉川勇作,B1,61,0.066,5,,0.066,
4404,岸蔭亮,B1,75,0.08,2,,0.08,
3908,重成一人,A1,75,0.107,7,,0.107,
3947,寺本昇平,B1,74,0.054,7,,0.054,
4475,末永祐輝,A1,89,0.124,7,,0.124,●
