regno,選手名,n2,壁力,判定,タイプ
5017,澤田尚也,42,3.2,,
4043,桐本康臣,41,3.3,,
3999,大瀧明日香,47,3.4,,
4398,船岡洋一郎,44,3.5,,
4531,武富智亮,44,3.6,,
3627,井上恵一,43,3.7,,
3833,中辻博訓,45,3.9,,
4446,和田兼輔,46,3.9,,
4904,松本一毅,43,4.0,,
3679,飯島昌弘,40,4.2,,
3614,谷勝幸,42,4.3,,
3743,林美憲,54,4.3,,
4504,前田将太,42,4.3,,
4191,赤羽克也,45,4.4,,
5114,小林孝彰,49,4.4,,
3746,岡瀬正人,41,4.4,,
4732,堀本和也,43,4.5,,
3300,川崎智幸,48,4.6,,
5222,津田陸翔,44,4.7,,
4319,三宅潤,44,4.7,,
4471,新田泰章,44,5.0,,
4407,鹿島敏弘,42,5.0,,
3984,坂口周,40,5.0,,
5247,大森翼,41,5.1,,
4623,中北将史,43,5.3,,
4614,石倉洋行,40,5.4,,
4019,笠原亮,45,5.5,,
3563,堤昇,43,5.6,,
4133,高橋正男,46,5.6,,
4146,柳橋宏紀,42,5.8,,
4297,山田哲也,42,5.8,,
4466,南佑典,45,6.0,,
4924,中北涼,41,6.1,,
4588,田中京介,42,6.1,,
4030,森高一真,47,6.2,,
4000,松本博昭,43,6.3,,
4649,和田操拓,40,6.3,,
4645,上村純一,41,6.4,,
3618,海野ゆかり,43,6.5,,
4171,榎幸司,40,6.6,,
3843,上之晃弘,40,6.9,,
3973,崎利仁,45,6.9,,
5264,登みひ果,42,7.0,,
4227,安達裕樹,44,7.0,,
4844,村上奈穂,48,7.0,,
4424,松尾昂明,44,7.1,,
4876,梅木敬太,41,7.2,,
4049,荒川健太,49,7.2,,
5263,花田凱成,40,7.3,壁強,
4366,前沢丈史,49,7.4,壁強,
3721,守田俊介,40,7.6,壁強,
4788,小池哲也,49,7.6,壁強,
4798,浜先真範,42,7.7,壁強,
3303,渡辺豊,42,7.9,壁強,
4808,松尾拓,42,8.1,壁強,
4137,君島秀三,49,8.2,壁強,
4460,後藤翔之,43,8.3,壁強,
5038,金田智博,44,8.5,壁強,
5026,安河内健,43,8.6,壁強,
5105,富田恕生,41,8.6,壁強,
5002,上田健太,40,9.6,壁強,
3711,江本真治,46,9.7,壁強,
3888,山本英志,43,9.7,壁強,
4872,山下流心,47,9.8,壁強,
4123,細川裕子,41,10.0,壁強,
4379,桑島和宏,47,10.6,壁強,
4640,山ノ内雅人,41,10.8,壁強,
3905,天野友和,44,10.8,壁強,
3804,中渡修作,43,11.0,壁強,
3874,山本寛久,43,11.3,壁強,
