regno,選手名,slow_st,slow_src,slow_flag,dash_st,dash_src,dash_flag
5415,阿部未侑,,全国,,0.231,全国,遅れ
5416,龍田真白,,全国,,0.153,全国,
5417,小柳勝希,0.151,全国,,0.192,全国,遅れ
5418,堀内亜海,,全国,,0.203,全国,遅れ
5419,櫻井隼,,全国,,0.237,全国,遅れ
5420,吉原快誓,,全国,,0.213,当地,遅れ
5421,原田朱理,,全国,,0.238,全国,遅れ
5422,真田聖也,,全国,,0.147,全国,
5423,高橋嗣穏,,全国,,0.216,全国,遅れ
5424,熊倉幹太,,全国,,0.209,全国,遅れ
5425,西山育,,全国,,0.245,全国,遅れ
5426,甲斐貴大,,全国,,0.185,当地,遅れ
5427,港理樹,,全国,,0.218,全国,遅れ
5428,古園井綾南,,全国,,0.169,当地,
5429,吉川颯汰,,全国,,0.218,全国,遅れ
5430,鳥本智史,,全国,,0.18,全国,
5431,得山大輝,,全国,,0.165,全国,
5432,安藤瑠希,,全国,,0.169,全国,
5433,米本圭佑,,全国,,0.239,全国,遅れ
5434,藤田康生,,全国,,0.158,全国,
5435,中西月輝,,全国,,0.222,全国,遅れ
5436,市川瑚幸,,全国,,0.212,全国,遅れ
5437,中澤里桜,,全国,,0.219,全国,遅れ
5438,星田夢結,,全国,,0.204,当地,遅れ
5439,志賀美優,,全国,,0.205,全国,遅れ
5440,薗頭心,,全国,,0.184,全国,遅れ
5441,鈴木雄登,,全国,,0.176,全国,
5442,池田美優,,全国,,0.213,全国,遅れ
5443,西村仁吾,,全国,,0.228,全国,遅れ
5444,林風音,,全国,,0.196,全国,遅れ
5445,一ノ木匠,,全国,,0.165,全国,
5446,長嶺真李愛,,全国,,0.227,全国,遅れ
5447,岡本亜子,,全国,,0.192,全国,遅れ
5448,福田柊人,,全国,,0.231,全国,遅れ
5449,堀井涼平,,全国,,0.164,全国,
5450,藤本遼磨,,全国,,0.213,全国,遅れ
5451,知念伶奈,,全国,,0.307,全国,遅れ
5452,上馬場風依,,全国,,0.2,全国,遅れ
5453,久保翔耶,,全国,,0.182,全国,遅れ
5454,谷島咲希,,全国,,0.215,全国,遅れ
5455,澁澤周羽,,全国,,0.202,全国,遅れ
5456,今村天次朗,,全国,,0.142,全国,
5457,山田陽翔,,全国,,0.201,全国,遅れ
5458,田中大輝,,全国,,0.191,当地,遅れ
5459,田中きら,,全国,,0.255,全国,遅れ
5460,早川理稀,,全国,,0.196,全国,遅れ
5461,板頭里緒,,全国,,0.225,全国,遅れ
5462,山浦槙,,全国,,0.227,全国,遅れ
5463,出口飛龍,,全国,,0.21,全国,遅れ
5464,宮田栞,,全国,,0.221,全国,遅れ
5465,直江健成,,全国,,0.23,全国,遅れ
5466,成田華音,,全国,,0.199,全国,遅れ
5467,野村羽玖,,全国,,0.182,全国,遅れ
5468,山口隼人,,全国,,0.192,全国,遅れ
5469,今泉博人,,全国,,0.241,全国,遅れ
5470,坂口諒宗,,全国,,0.222,全国,遅れ
5471,田中結,,全国,,0.198,全国,遅れ
5472,中川海虹,,全国,,0.255,全国,遅れ
