regno,選手名,外3着率,外3着源,艇番5乗艇,艇番5率,艇番6乗艇,艇番6率,残し率,型,6コ2着率,6コ3着率
3792,田中豪,0.196,全国,34.0,0.441,32.0,0.438,,,,
3793,高橋真吾,0.118,全国,28.0,0.25,24.0,0.083,,,,
3796,長野道臣,0.146,全国,32.0,0.281,32.0,0.188,,,0.071,0.071
3797,岩井繁,0.162,全国,35.0,0.257,30.0,0.167,,,,
3800,牧宏次,0.148,全国,26.0,0.423,31.0,0.161,,,,
3801,五反田忍,0.111,全国,21.0,0.238,18.0,0.278,,,,
3804,中渡修作,0.14,全国,40.0,0.25,30.0,0.267,,,,
3805,高橋英之,0.222,全国,28.0,0.429,33.0,0.242,,,,
3807,岡部哲,0.132,全国,35.0,0.171,29.0,0.172,,,,
3808,秋田健太郎,0.122,全国,35.0,0.2,23.0,0.087,,,,
3809,吉田光,0.238,全国,35.0,0.371,36.0,0.278,,,,
3811,石田章央,0.144,全国,36.0,0.5,52.0,0.269,0.65,残す型,0.146,0.104
3812,山崎聖司,0.282,全国,32.0,0.312,31.0,0.161,,,,
3813,佐藤大介,0.286,全国,35.0,0.6,36.0,0.417,,,,
3814,金子貴志,0.183,全国,40.0,0.275,29.0,0.207,,,,
3820,樫葉次郎,0.038,全国,18.0,0.0,23.0,0.13,,,,
3822,平尾崇典,0.16,全国,38.0,0.632,41.0,0.439,,,,
3825,宮嵜隆太郎,0.1,全国,28.0,0.25,28.0,0.071,,,,
3826,村田修次,0.226,全国,37.0,0.541,34.0,0.441,,,,
3827,今泉徹,0.11,全国,34.0,0.294,27.0,0.111,,,,
3828,明石正之,0.222,全国,35.0,0.257,33.0,0.212,,,,
3831,安藤裕貴,0.165,全国,28.0,0.286,29.0,0.138,,,,
3832,下田哲也,0.109,全国,19.0,0.105,17.0,0.176,,,,
3833,中辻博訓,0.185,全国,35.0,0.514,40.0,0.325,,,,
3834,細川明人,0.118,全国,34.0,0.176,24.0,0.083,,,,
3837,秋山広一,0.2,全国,31.0,0.484,34.0,0.324,,,,
3838,伊藤啓三,0.152,全国,31.0,0.29,29.0,0.276,,,,
3839,川合理司,0.105,全国,39.0,0.154,28.0,0.179,,,,
3841,佐々木和伸,0.229,全国,36.0,0.444,42.0,0.357,0.591,,0.089,0.244
3842,星野太郎,0.156,全国,34.0,0.324,26.0,0.115,,,,
3843,上之晃弘,0.152,全国,34.0,0.265,30.0,0.167,,,,
3845,中谷朋子,0.226,全国,25.0,0.44,23.0,0.217,,,,
3848,川上聡介,0.182,全国,36.0,0.417,35.0,0.286,,,0.109,0.13
3849,中岡正彦,0.216,全国,30.0,0.633,36.0,0.694,,,,
3850,小川知行,0.155,全国,40.0,0.3,29.0,0.31,,,,
3851,森田昭彦,0.023,全国,17.0,0.0,,,,,,
3852,澤大介,0.125,全国,32.0,0.344,30.0,0.333,,,,
3853,岩崎正哉,0.179,全国,38.0,0.184,43.0,0.186,,,,
3854,吉川元浩,0.268,全国,35.0,0.514,39.0,0.513,0.174,飛ぶ型,,
3857,阿波勝哉,0.147,全国,37.0,0.243,30.0,0.333,,,0.104,0.09
3859,多羅尾達之,0.141,全国,28.0,0.214,28.0,0.107,,,,
3860,松本浩貴,0.088,全国,38.0,0.105,28.0,0.179,,,,
3863,海老澤泰行,0.168,全国,33.0,0.333,29.0,0.069,,,,
3866,木山誠一,0.129,全国,28.0,0.357,23.0,0.087,,,,
3867,松浦勝,0.113,全国,33.0,0.091,24.0,0.125,,,,
3868,尾形栄治,0.121,全国,37.0,0.162,26.0,0.192,,,,
3869,井芹大志,0.156,全国,38.0,0.211,22.0,0.091,,,,
3870,寺嶋雄,0.107,全国,37.0,0.351,28.0,0.107,,,,
3871,池田紫乃,0.086,全国,27.0,0.185,23.0,0.13,,,,
3872,岡田憲行,0.13,全国,34.0,0.5,45.0,0.333,0.217,飛ぶ型,,
3873,別府昌樹,0.125,全国,34.0,0.382,39.0,0.231,,,0.1,0.083
3874,山本寛久,0.222,全国,31.0,0.548,39.0,0.41,,,,
3875,廣中良一,0.118,全国,34.0,0.088,27.0,0.185,,,,
3876,中辻崇人,0.205,全国,23.0,0.652,31.0,0.484,,,,
3878,胡本悟志,0.138,全国,33.0,0.303,21.0,0.19,,,,
3880,浅見宗孝,0.232,全国,31.0,0.419,36.0,0.389,,,,
3882,新田智彰,0.202,全国,43.0,0.349,27.0,0.222,,,,
3885,久田武,0.228,全国,34.0,0.382,40.0,0.2,,,,
3888,山本英志,0.151,全国,38.0,0.342,43.0,0.372,0.35,,0.122,0.171
3889,須藤隆雄,0.12,全国,33.0,0.182,27.0,0.111,,,,
3891,谷口健一,0.075,全国,42.0,0.167,26.0,0.038,,,,
3892,草場康幸,0.167,全国,35.0,0.286,27.0,0.074,,,,
3893,汐崎正則,0.192,全国,34.0,0.265,29.0,0.207,,,,
3895,堀本裕也,0.091,全国,17.0,0.294,,,,,,
3896,上田洋平,0.223,全国,27.0,0.407,30.0,0.3,,,,
3897,白井英治,0.196,全国,36.0,0.417,36.0,0.472,,,,
3898,平田忠則,0.27,全国,38.0,0.605,44.0,0.545,,,,
3900,香川素子,0.221,全国,40.0,0.55,33.0,0.333,0.55,,,
3901,松田憲幸,0.164,全国,23.0,0.217,16.0,0.125,,,,
3904,森貴洋,0.137,全国,26.0,0.346,21.0,0.19,,,,
3905,天野友和,0.256,全国,38.0,0.5,41.0,0.488,,,0.122,0.268
3906,飯山晃三,0.101,全国,38.0,0.289,30.0,0.267,,,,
3907,村越篤,0.187,全国,40.0,0.375,40.0,0.2,,,0.025,0.125
3908,重成一人,0.207,全国,46.0,0.457,43.0,0.419,0.318,飛ぶ型,0.043,0.196
3909,佐々木康幸,0.173,全国,35.0,0.514,38.0,0.526,,,,
3910,松下知幸,0.104,全国,37.0,0.135,27.0,0.148,,,,
3911,鈴木猛,0.123,全国,46.0,0.391,35.0,0.171,0.4,,,
3912,川原正明,0.131,全国,36.0,0.306,44.0,0.159,,,,
3915,繁野谷圭介,0.22,全国,40.0,0.5,39.0,0.205,,,,
3918,深井利寿,0.312,全国,31.0,0.516,44.0,0.409,0.5,,0.095,0.286
3920,正木聖賢,0.235,全国,24.0,0.333,23.0,0.435,,,,
3921,川村正輝,0.051,全国,,,,,,,,
3922,菅沼佳昭,0.113,全国,45.0,0.244,25.0,0.12,,,,
3928,林恵祐,0.127,全国,38.0,0.237,24.0,0.042,,,,
3929,杢野誓良,0.167,全国,37.0,0.324,28.0,0.25,,,,
3930,岸本隆,0.177,全国,35.0,0.229,32.0,0.25,,,,
3931,黒崎竜也,0.245,全国,29.0,0.31,39.0,0.41,,,0.093,0.256
3932,池田浩美,0.076,全国,28.0,0.25,25.0,0.12,,,,
3933,山地正樹,0.35,全国,30.0,0.6,30.0,0.5,,,,
3934,鋤柄貴俊,0.227,全国,43.0,0.349,33.0,0.273,,,,
3935,岩津徹郎,0.233,全国,29.0,0.31,27.0,0.296,,,,
3939,渡辺真至,0.207,全国,,,,,,,,
3940,飯山泰,0.246,全国,45.0,0.556,43.0,0.372,0.731,残す型,,
3941,池田浩二,0.282,全国,38.0,0.579,39.0,0.436,,,,
3942,寺田祥,0.253,全国,32.0,0.594,31.0,0.355,0.538,,,
